window,variable,surrogate_mode,n_years,n_days,n_finite,n_pair_for_phi,nan_fraction,mu,raw_phi_before_clip,phi,phi_after_clip,phi_clip_limit,phi_clipped_flag,phi_clip_amount,phi_clip_direction,phi_clip_severity,sigma,stationary_std,ar1_estimation_scope
S1,P_main_band_share,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,-1.403541206439704e-17,0.9638004715025144,0.95,0.95,0.95,True,0.0138004715025144,upper,moderate,0.03801928761283315,0.12175916668855179,window_variable_pooled_across_years
S1,P_south_band_share_18_24,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,2.631639762074445e-18,0.95127222739232,0.95,0.95,0.95,True,0.0012722273923200245,upper,minor,0.027706350084939022,0.08873133375557407,window_variable_pooled_across_years
S1,P_main_minus_south,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,7.01770603219852e-18,0.9574633644571958,0.95,0.95,0.95,True,0.007463364457195865,upper,minor,0.05986094306931755,0.19170844597442488,window_variable_pooled_across_years
S1,P_spread_lat,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,-2.386020050947497e-16,0.9447671787246248,0.9447671787246248,0.9447671787246248,0.95,False,0.0,none,none,0.2851887420828677,0.8701616833478061,window_variable_pooled_across_years
S1,P_north_band_share_35_45,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,7.237009345704723e-18,0.9260198868695667,0.9260198868695667,0.9260198868695667,0.95,False,0.0,none,none,0.01950419161629823,0.05167019206503832,window_variable_pooled_across_years
S1,P_north_minus_main_35_45,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,-4.386066270124075e-18,0.9446631832168824,0.9446631832168824,0.9446631832168824,0.95,False,0.0,none,none,0.04281192937283562,0.1305075142221723,window_variable_pooled_across_years
S1,P_total_centroid_lat_10_50,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,1.1930100254737485e-16,0.9625746454251383,0.95,0.95,0.95,True,0.012574645425138309,upper,moderate,0.6500757898003948,2.081908721082422,window_variable_pooled_across_years
S1,V_strength,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,2.807082412879408e-17,0.9577345767210864,0.95,0.95,0.95,True,0.007734576721086461,upper,minor,0.29549933992113014,0.9463552750438489,window_variable_pooled_across_years
S1,V_pos_centroid_lat,pooled_window_variable_ar1,45,49,2015,1967,0.08616780045351469,-4.513621348749024e-16,0.9247390340812752,0.9247390340812752,0.9247390340812752,0.95,False,0.0,none,none,0.7307788497051545,1.9200615400418493,window_variable_pooled_across_years
S1,V_NS_diff,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,4.042198674546348e-15,0.9592841979227804,0.95,0.95,0.95,True,0.009284197922780457,upper,minor,19.719666288563243,63.15347512880092,window_variable_pooled_across_years
S1,H_strength,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,-5.703991462970957e-14,0.9843266383035535,0.95,0.95,0.95,True,0.034326638303553536,upper,severe,1.8660012396064034,5.9759866699235475,window_variable_pooled_across_years
S1,H_centroid_lat,pooled_window_variable_ar1,45,49,2025,1980,0.08163265306122447,-1.2631870857957337e-16,0.9712195974021037,0.95,0.95,0.95,True,0.021219597402103774,upper,moderate,0.5576488676083982,1.7859056728326046,window_variable_pooled_across_years
