window,sector,P_n_bands,P_multiband,P_primary_peak_lat,P_primary_peak_value,P_total_centroid_lat,V850_mean_peak_lat,V850_positive_peak_lat,V850_positive_centroid_lat,V850_positive_north_edge,V850_positive_integrated_strength,V850_abs_peak_lat,V850_abs_centroid_lat
S3,east_sector,6,True,33.75,10.438171509659838,31.129952322970677,28.25,28.25,30.986993683494305,60.0,118.59872931040927,28.25,30.986993683494305
S3,full_easm_lon,7,True,10.5,9.66275511866941,29.97809105059959,25.5,25.5,25.95410723974089,52.0,88.88115477180583,25.5,26.57275597683555
S3,mid_sector,7,True,12.5,11.090382273374958,29.74488173694707,25.75,25.75,24.787620322136533,52.75,105.28980094252132,25.75,25.601336553675715
S3,south_scs_ref,6,True,10.0,9.35168388962335,30.24256735299256,25.75,25.75,25.75691820835991,54.25,101.17767385853965,25.75,26.426876503093634
S3,west_sector,10,True,22.0,10.776965517642367,28.88754172797521,22.25,22.25,23.581655961124348,42.5,58.22646374354401,22.25,29.93776825117029
S4,east_sector,5,True,15.75,11.660701157879906,30.01805396135096,33.25,33.25,30.029262950903362,55.5,73.07627483870027,33.25,30.493963305894372
S4,full_easm_lon,8,True,18.0,10.505105167579815,28.958328540433516,21.25,21.25,26.141085377348947,49.0,53.18311011571829,21.25,27.900992745164057
S4,mid_sector,8,True,17.0,11.176694682877661,28.483266082402398,11.5,11.5,22.530081758787176,46.0,57.2265405121014,11.5,25.18829683255299
S4,south_scs_ref,8,True,21.0,10.192411206692235,29.17885361307237,28.75,28.75,25.59567243989851,47.0,57.868059195648414,28.75,27.728270051646483
S4,west_sector,9,True,21.5,11.522258359941748,28.187233150673684,21.75,21.75,26.49303002209482,45.25,34.144210161619505,21.75,31.762419614974153
T3_early,east_sector,6,True,13.25,11.69647833669657,31.096423394211918,29.25,29.25,33.4593898442812,60.0,107.1965122805392,29.25,33.4593898442812
T3_early,full_easm_lon,8,True,11.75,9.728457570812056,30.045979316175842,25.75,25.75,27.74130999029194,54.75,86.56009200782171,25.75,28.32222486879094
T3_early,mid_sector,8,True,17.25,11.149796194591968,30.071571673266003,25.75,25.75,26.368965423843264,52.75,106.9034429399505,25.75,27.14017217007903
T3_early,south_scs_ref,7,True,14.25,9.988701240134812,30.447132525276153,25.75,25.75,27.53981887434209,55.25,100.6231825089007,25.75,28.199555165662456
T3_early,west_sector,9,True,21.75,11.808635063459723,28.842001213496744,24.25,24.25,24.51106702635065,44.75,59.32074714361384,24.25,30.09460981121524
T3_full,east_sector,7,True,13.25,12.058571781092127,30.92404375115647,33.25,33.25,33.57416036017082,60.0,101.94227253397891,33.25,33.57416036017082
T3_full,full_easm_lon,9,True,12.0,9.916425215903796,29.96678774843678,25.75,25.75,28.098202177206975,55.0,82.06295346007416,25.75,28.59002551815592
T3_full,mid_sector,8,True,12.5,11.19867355307862,30.030549182258998,28.5,28.5,26.6177292149829,53.25,98.58500613049539,28.5,27.288750140511624
T3_full,south_scs_ref,7,True,14.25,10.087131329331156,30.356738375554563,25.75,25.75,27.875055878349087,55.25,94.85784633939286,25.75,28.444921714019635
T3_full,west_sector,9,True,21.75,12.054567648429504,28.82257401942768,22.25,22.25,25.05018005221695,45.0,57.56773609848811,22.25,30.05449438317868
T3_late,east_sector,8,True,13.0,12.518747067048524,30.721364422108586,35.25,35.25,33.72843937015803,60.0,95.63718483810655,35.25,33.72843937015803
T3_late,full_easm_lon,8,True,12.0,10.143973423221592,29.87170291417535,25.75,25.75,28.583277945677455,55.25,76.67126877775645,25.75,28.95845636993457
T3_late,mid_sector,9,True,12.5,11.421201585168404,29.98021191273215,28.5,28.5,26.99581650399041,54.5,88.66302768555059,28.5,27.540339693959435
T3_late,south_scs_ref,7,True,14.75,10.213149350268786,30.247100959951428,28.5,28.5,28.33553535550566,55.5,87.94038985302286,28.5,28.784561330604316
T3_late,west_sector,9,True,21.75,12.349686750393246,28.79919715964163,22.25,22.25,25.795696379418594,47.25,55.611376352080725,22.25,30.07187497440185
