window,sector,lat,value
S3,full_easm_lon,10.0,9.590295864715452
S3,full_easm_lon,10.25,9.647256769987429
S3,full_easm_lon,10.5,9.662592673714283
S3,full_easm_lon,10.75,9.67841591230652
S3,full_easm_lon,11.0,9.534792326227516
S3,full_easm_lon,11.25,9.524082914158528
S3,full_easm_lon,11.5,9.482699535968084
S3,full_easm_lon,11.75,9.375399545830382
S3,full_easm_lon,12.0,9.509074440802054
S3,full_easm_lon,12.25,9.298779953051028
S3,full_easm_lon,12.5,8.854253483311599
S3,full_easm_lon,12.75,8.8134039778142
S3,full_easm_lon,13.0,8.689241247500274
S3,full_easm_lon,13.25,8.69760349076484
S3,full_easm_lon,13.5,8.695027864890553
S3,full_easm_lon,13.75,8.722629596764314
S3,full_easm_lon,14.0,8.825217205173864
S3,full_easm_lon,14.25,8.86409735069546
S3,full_easm_lon,14.5,8.844363569204033
S3,full_easm_lon,14.75,8.597993441188683
S3,full_easm_lon,15.0,8.660446187968514
S3,full_easm_lon,15.25,8.566269117729599
S3,full_easm_lon,15.5,8.327726104357565
S3,full_easm_lon,15.75,8.258206584605768
S3,full_easm_lon,16.0,8.298324946575603
S3,full_easm_lon,16.25,8.25527205723792
S3,full_easm_lon,16.5,8.157460557749745
S3,full_easm_lon,16.75,8.10454896727277
S3,full_easm_lon,17.0,8.012385636521289
S3,full_easm_lon,17.25,8.127675729735051
S3,full_easm_lon,17.5,8.21445086716817
S3,full_easm_lon,17.75,8.232990035616947
S3,full_easm_lon,18.0,8.28211748902942
S3,full_easm_lon,18.25,8.305203659601716
S3,full_easm_lon,18.5,8.157097907689348
S3,full_easm_lon,18.75,7.893197780146193
S3,full_easm_lon,19.0,7.628041360069019
S3,full_easm_lon,19.25,7.373276110132814
S3,full_easm_lon,19.5,7.09637235069425
S3,full_easm_lon,19.75,6.983331094409652
S3,full_easm_lon,20.0,6.88027339173265
S3,full_easm_lon,20.25,6.92084229074152
S3,full_easm_lon,20.5,7.015442671665346
S3,full_easm_lon,20.75,7.020671332080502
S3,full_easm_lon,21.0,7.061812031835338
S3,full_easm_lon,21.25,7.320325359317426
S3,full_easm_lon,21.5,7.599875846655371
S3,full_easm_lon,21.75,7.817778331705492
S3,full_easm_lon,22.0,7.66049170943035
S3,full_easm_lon,22.25,7.538511976141366
S3,full_easm_lon,22.5,7.381636705252765
S3,full_easm_lon,22.75,7.084628060084615
S3,full_easm_lon,23.0,6.706142697976834
S3,full_easm_lon,23.25,6.460814994418216
S3,full_easm_lon,23.5,6.3736730001733655
S3,full_easm_lon,23.75,6.412062298680778
S3,full_easm_lon,24.0,6.145454105734919
S3,full_easm_lon,24.25,6.011439544151671
S3,full_easm_lon,24.5,5.952124638478525
S3,full_easm_lon,24.75,5.893668224172388
S3,full_easm_lon,25.0,5.674920545669688
S3,full_easm_lon,25.25,5.540805025730481
S3,full_easm_lon,25.5,5.474098262816925
S3,full_easm_lon,25.75,5.288854466786247
S3,full_easm_lon,26.0,5.4090724432203485
S3,full_easm_lon,26.25,5.366266912401709
S3,full_easm_lon,26.5,5.1958697165060075
S3,full_easm_lon,26.75,5.377690823572279
S3,full_easm_lon,27.0,5.535608885426144
S3,full_easm_lon,27.25,5.6905508764791515
S3,full_easm_lon,27.5,5.928050859570033
S3,full_easm_lon,27.75,6.163370389143252
S3,full_easm_lon,28.0,6.450504642805217
S3,full_easm_lon,28.25,6.712160641143413
S3,full_easm_lon,28.5,6.859239459588642
S3,full_easm_lon,28.75,7.113175989197596
S3,full_easm_lon,29.0,7.285482356688464
S3,full_easm_lon,29.25,7.52251929810256
S3,full_easm_lon,29.5,7.8455767182665035
S3,full_easm_lon,29.75,8.05502134513404
S3,full_easm_lon,30.0,8.072165809814711
S3,full_easm_lon,30.25,8.118872206333961
S3,full_easm_lon,30.5,8.364366279364567
S3,full_easm_lon,30.75,8.470868781526407
S3,full_easm_lon,31.0,8.694243933323715
S3,full_easm_lon,31.25,8.700967460782627
S3,full_easm_lon,31.5,8.93850146831576
S3,full_easm_lon,31.75,8.980876161847366
S3,full_easm_lon,32.0,8.885946321765488
S3,full_easm_lon,32.25,8.906986015494175
S3,full_easm_lon,32.5,8.845928725874638
S3,full_easm_lon,32.75,8.616208618185109
S3,full_easm_lon,33.0,8.428426689731127
S3,full_easm_lon,33.25,8.386738744592929
S3,full_easm_lon,33.5,8.323097547460488
S3,full_easm_lon,33.75,8.235861670738322
S3,full_easm_lon,34.0,8.040393697196057
S3,full_easm_lon,34.25,7.71287525094335
S3,full_easm_lon,34.5,7.363654640759889
S3,full_easm_lon,34.75,7.199629745844126
S3,full_easm_lon,35.0,6.9997858719821995
S3,full_easm_lon,35.25,6.913141370071401
S3,full_easm_lon,35.5,6.524946398152619
S3,full_easm_lon,35.75,6.167998812375623
S3,full_easm_lon,36.0,5.880133227108594
S3,full_easm_lon,36.25,5.699064948473512
S3,full_easm_lon,36.5,5.541309165263196
S3,full_easm_lon,36.75,5.343782794555591
S3,full_easm_lon,37.0,5.223597212831272
S3,full_easm_lon,37.25,5.176356714271202
S3,full_easm_lon,37.5,5.0268847124897835
S3,full_easm_lon,37.75,4.821788109261563
S3,full_easm_lon,38.0,4.602781519956716
S3,full_easm_lon,38.25,4.38335219841815
S3,full_easm_lon,38.5,4.228662708204314
S3,full_easm_lon,38.75,4.1364263822046015
S3,full_easm_lon,39.0,4.02360091573897
S3,full_easm_lon,39.25,3.8794166237671037
S3,full_easm_lon,39.5,3.8252121574486044
S3,full_easm_lon,39.75,3.85294126839183
S3,full_easm_lon,40.0,3.741842778163035
S3,full_easm_lon,40.25,3.619400829805175
S3,full_easm_lon,40.5,3.523278090270324
S3,full_easm_lon,40.75,3.42782503505313
S3,full_easm_lon,41.0,3.3749051894750814
S3,full_easm_lon,41.25,3.34798812734846
S3,full_easm_lon,41.5,3.200664351154444
S3,full_easm_lon,41.75,3.166022434270692
S3,full_easm_lon,42.0,3.234306436185484
S3,full_easm_lon,42.25,3.0374157470871452
S3,full_easm_lon,42.5,2.974016160855245
S3,full_easm_lon,42.75,2.899196347341093
S3,full_easm_lon,43.0,2.8073571710789462
S3,full_easm_lon,43.25,2.784690524405622
S3,full_easm_lon,43.5,2.7953806454453343
S3,full_easm_lon,43.75,2.754586696110719
S3,full_easm_lon,44.0,2.73828259138163
S3,full_easm_lon,44.25,2.7182593250650418
S3,full_easm_lon,44.5,2.7117627775253896
S3,full_easm_lon,44.75,2.7691352290220386
S3,full_easm_lon,45.0,2.78408593875353
S3,full_easm_lon,45.25,2.766260502754374
S3,full_easm_lon,45.5,2.8096324246393785
S3,full_easm_lon,45.75,2.9072394328076037
S3,full_easm_lon,46.0,2.9595764017578574
S3,full_easm_lon,46.25,3.067893896254711
S3,full_easm_lon,46.5,3.260459139043088
S3,full_easm_lon,46.75,3.2641053421435338
S3,full_easm_lon,47.0,3.3502500749201745
S3,full_easm_lon,47.25,3.393757870225478
S3,full_easm_lon,47.5,3.3885493995239653
S3,full_easm_lon,47.75,3.3798614470118884
S3,full_easm_lon,48.0,3.4335704046118622
S3,full_easm_lon,48.25,3.538632486858924
S3,full_easm_lon,48.5,3.5988956548451805
S3,full_easm_lon,48.75,3.629857180052052
S3,full_easm_lon,49.0,3.622119519154796
S3,full_easm_lon,49.25,3.6417803150865407
S3,full_easm_lon,49.5,3.623043388111185
S3,full_easm_lon,49.75,3.673791808498854
S3,full_easm_lon,50.0,3.815399903002079
S3,full_easm_lon,50.25,3.8974104934433873
S3,full_easm_lon,50.5,3.8261781552873146
S3,full_easm_lon,50.75,3.835703321789079
S3,full_easm_lon,51.0,3.857276401712164
S3,full_easm_lon,51.25,4.035880516004147
S3,full_easm_lon,51.5,3.8816731321186038
S3,full_easm_lon,51.75,3.828085258243402
S3,full_easm_lon,52.0,3.745724002666789
S3,full_easm_lon,52.25,3.6834862040346112
S3,full_easm_lon,52.5,3.6449404823026677
S3,full_easm_lon,52.75,3.607567817420448
S3,full_easm_lon,53.0,3.554306943395929
S3,full_easm_lon,53.25,3.669852919726603
S3,full_easm_lon,53.5,3.5564956202495748
S3,full_easm_lon,53.75,3.6465359277206675
