comparison,target_window,reference_window,sector,lat,V850_target,V850_reference,V850_delta
T3_full_minus_S3,T3_full,S3,full_easm_lon,10.0,1.2850284488547885,1.1921689328982812,0.09285951595650732
T3_full_minus_S3,T3_full,S3,full_easm_lon,10.25,1.3016304180993215,1.2279731126096938,0.07365730548962768
T3_full_minus_S3,T3_full,S3,full_easm_lon,10.5,1.3222203131454233,1.267125705424566,0.05509460772085739
T3_full_minus_S3,T3_full,S3,full_easm_lon,10.75,1.341523299354535,1.307132016001336,0.034391283353198965
T3_full_minus_S3,T3_full,S3,full_easm_lon,11.0,1.359514440373901,1.3479134839111446,0.011600956462756384
T3_full_minus_S3,T3_full,S3,full_easm_lon,11.25,1.378281402626428,1.3899812813486778,-0.011699878722249757
T3_full_minus_S3,T3_full,S3,full_easm_lon,11.5,1.3887831696951496,1.4247567852261847,-0.035973615531035064
T3_full_minus_S3,T3_full,S3,full_easm_lon,11.75,1.4114998526418068,1.4712329303753728,-0.059733077733566065
T3_full_minus_S3,T3_full,S3,full_easm_lon,12.0,1.4495615437646159,1.531065125136732,-0.08150358137211611
T3_full_minus_S3,T3_full,S3,full_easm_lon,12.25,1.4627834634997476,1.5660247576543997,-0.10324129415465211
T3_full_minus_S3,T3_full,S3,full_easm_lon,12.5,1.4501319254009581,1.5765551958376678,-0.12642327043670964
T3_full_minus_S3,T3_full,S3,full_easm_lon,12.75,1.446375274231544,1.5967358463198518,-0.15036057208830766
T3_full_minus_S3,T3_full,S3,full_easm_lon,13.0,1.4631868197494249,1.637402295527766,-0.17421547577834118
T3_full_minus_S3,T3_full,S3,full_easm_lon,13.25,1.4933575075960375,1.6929857897906047,-0.19962828219456719
T3_full_minus_S3,T3_full,S3,full_easm_lon,13.5,1.53156834898399,1.7596473029876907,-0.2280789540037007
T3_full_minus_S3,T3_full,S3,full_easm_lon,13.75,1.5768914768176894,1.833172697545219,-0.25628122072752957
T3_full_minus_S3,T3_full,S3,full_easm_lon,14.0,1.6299871326893762,1.9108340876486272,-0.28084695495925094
T3_full_minus_S3,T3_full,S3,full_easm_lon,14.25,1.6891761609474407,1.9926917802020674,-0.30351561925462667
T3_full_minus_S3,T3_full,S3,full_easm_lon,14.5,1.7308451283116824,2.0576568625033147,-0.32681173419163234
T3_full_minus_S3,T3_full,S3,full_easm_lon,14.75,1.7565513170121456,2.1086876779081862,-0.3521363608960406
T3_full_minus_S3,T3_full,S3,full_easm_lon,15.0,1.814652785803421,2.193580004445911,-0.3789272186424901
T3_full_minus_S3,T3_full,S3,full_easm_lon,15.25,1.8764516904106645,2.2807287919047314,-0.4042771014940669
T3_full_minus_S3,T3_full,S3,full_easm_lon,15.5,1.9018995821206737,2.329139423122289,-0.42723984100161516
T3_full_minus_S3,T3_full,S3,full_easm_lon,15.75,1.9329304849632125,2.3814574326309335,-0.44852694766772094
T3_full_minus_S3,T3_full,S3,full_easm_lon,16.0,1.9769706167268548,2.446287749011368,-0.4693171322845131
T3_full_minus_S3,T3_full,S3,full_easm_lon,16.25,2.004245866708097,2.496324469844826,-0.49207860313672924
T3_full_minus_S3,T3_full,S3,full_easm_lon,16.5,2.0119152910516815,2.5288195001994973,-0.5169042091478158
