window,target_variable,n_pairs,n_stable_lag_dominant,n_tau0_coupled,n_audit_sensitive,n_failed_or_not_candidate,mean_T_pos,mean_T_0,mean_T_neg,mean_D_pos_0,mean_D_pos_neg,mean_margin_pos
S1,P_main_band_share,3,3,0,0,0,0.5954043285107734,0.46943294302744326,0.3739201563669996,0.10860177213011397,0.2160595514154701,0.43387541933725987
S1,P_main_minus_south,3,2,1,0,0,0.6038513875402001,0.5170229436796231,0.3696616392227539,0.06884916457343802,0.22885534747050848,0.4424326462137617
S1,P_north_band_share_35_45,3,0,1,0,2,0.30835441986886253,0.32842703818853836,0.2744941749525223,-0.036753621950014,0.026434963106884198,0.1655367382767943
S1,P_north_minus_main_35_45,3,2,0,0,1,0.44639957442256,0.32713908753949933,0.2729123925638332,0.10465629636198259,0.16811673784320977,0.2957338505985649
S1,P_south_band_share_18_24,3,1,0,0,2,0.4594702685168833,0.44482291481453945,0.3401261897463625,-0.0024386701487020324,0.11422121167340327,0.3025412025980835
S1,P_spread_lat,3,2,1,0,0,0.4026098018019331,0.25482759178346975,0.20531614143773813,0.13249936946247798,0.19579812789128845,0.2537822696626942
S1,P_total_centroid_lat_10_50,3,2,1,0,0,0.5618012258275034,0.4973953986815516,0.3729191162316377,0.0467112442552882,0.17953717105360875,0.39612088626198444
T1,P_main_band_share,3,0,2,0,1,0.6783594945645044,0.6501958924371886,0.5581254001839876,0.009000158882034634,0.12229975658047047,0.429047268791866
T1,P_main_minus_south,3,0,3,0,0,0.6275710208150568,0.6022425692534878,0.5034862290747432,0.0049116347253318334,0.12747852054024317,0.37822982754820716
T1,P_north_band_share_35_45,3,0,2,0,1,0.417992017720324,0.4101190934014653,0.3530893406240258,-0.013059173425317165,0.06470769661304455,0.17559891528248417
T1,P_north_minus_main_35_45,3,0,3,0,0,0.5223896252864505,0.49563450742715753,0.4248274938835379,0.007457091422551433,0.10259040141077973,0.27869254584032227
T1,P_south_band_share_18_24,3,0,1,0,2,0.34309998687228843,0.3296759034319585,0.2527822370342203,-0.009778526320080567,0.0884828331652317,0.08793820285190512
T1,P_spread_lat,3,0,1,0,2,0.27311882670172155,0.26907251018558204,0.2269760984713184,-0.016283391600336834,0.046532624319643834,0.029450923174338273
T1,P_total_centroid_lat_10_50,3,0,2,0,1,0.706399931280331,0.6898724761924101,0.6071512698907963,-0.0018304154202865655,0.09850237811809097,0.4534656161794115
S2,P_main_band_share,3,3,0,0,0,0.6746868436965547,0.6186285893454945,0.5018734277650091,0.045766056192653774,0.17142448932777823,0.4833248043812947
