v_index,map_kind,window_a,window_b,region_vector_similarity
V_strength,positive_lag_max_R2,T3_early,S3,0.7778577666143561
V_strength,positive_lag_max_R2,T3_late,S4,-0.019673380565513435
V_strength,positive_lag_max_R2,T3_full,T3_early,0.9355406617275513
V_strength,positive_lag_max_R2,T3_full,T3_late,-0.011445725219032846
V_strength,positive_lag_max_R2,T3_early,S4,0.7225871166979807
V_strength,positive_lag_max_R2,T3_late,S3,-0.23837678893034078
V_NS_diff,positive_lag_max_R2,T3_early,S3,0.8849144375831666
V_NS_diff,positive_lag_max_R2,T3_late,S4,0.819009580683011
V_NS_diff,positive_lag_max_R2,T3_full,T3_early,0.9763895527519947
V_NS_diff,positive_lag_max_R2,T3_full,T3_late,0.879341738652675
V_NS_diff,positive_lag_max_R2,T3_early,S4,0.9005416102380819
V_NS_diff,positive_lag_max_R2,T3_late,S3,0.929074490752714
V_pos_centroid_lat,positive_lag_max_R2,T3_early,S3,0.8981139736072073
V_pos_centroid_lat,positive_lag_max_R2,T3_late,S4,0.7421844422403432
V_pos_centroid_lat,positive_lag_max_R2,T3_full,T3_early,0.9265974841899478
V_pos_centroid_lat,positive_lag_max_R2,T3_full,T3_late,0.9634159869015363
V_pos_centroid_lat,positive_lag_max_R2,T3_early,S4,0.9777775402430811
V_pos_centroid_lat,positive_lag_max_R2,T3_late,S3,0.9508449967339491
