comparison,target_window,reference_window,v_component,region,P_delta,V850_delta,support_R2_delta,P_direction,V850_direction,support_direction,correspondence_type
T3_full_minus_S3,T3_full,S3,V_strength,north_northeast,0.26195827686033635,0.4327945603297991,0.011187940761308798,increase,increase,increase,P_and_support_increase_together
T3_late_minus_T3_early,T3_late,T3_early,V_strength,north_northeast,-0.09331942904727075,0.02939206355812174,0.013490014802219202,decrease,increase,increase,support_increase_without_P_increase
S4_minus_T3_full,S4,T3_full,V_strength,north_northeast,-0.4948279278300278,-0.7883483479725973,-0.0166557973628225,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_strength,north_northeast,-0.04241792229421382,-0.016032034668066242,-0.0178681508866994,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_strength,main_meiyu,-1.1343705386407317,-0.20630515494387414,-0.004773090919171601,decrease,decrease,near_zero,mixed
T3_late_minus_T3_early,T3_late,T3_early,V_strength,main_meiyu,-0.7688456365140262,-0.48789571068654425,-0.0343570393458425,decrease,decrease,decrease,P_and_support_decrease_together
S4_minus_T3_full,S4,T3_full,V_strength,main_meiyu,-0.2844915303451465,-1.5807466894397952,-0.011102154962790198,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_strength,main_meiyu,-0.3494752893245572,-0.2217707775847928,-0.026911549779125903,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_strength,south_china,1.077922480746218,-0.9389855977333581,-0.007310808013301501,increase,decrease,decrease,P_increase_without_support_increase
T3_late_minus_T3_early,T3_late,T3_early,V_strength,south_china,-0.1822833477990784,-0.8390181133879406,-0.002583183795991595,decrease,decrease,near_zero,mixed
S4_minus_T3_full,S4,T3_full,V_strength,south_china,0.7878838265808419,-1.6794312774759041,-0.002117290564202401,increase,decrease,near_zero,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_strength,south_china,-0.0828560671813996,-0.3813718697217916,-0.011879138711862296,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_strength,scs,0.9198090799848533,-0.45541740795138885,-0.0349367222492408,increase,decrease,decrease,P_increase_without_support_increase
T3_late_minus_T3_early,T3_late,T3_early,V_strength,scs,0.41934401829207957,-0.3306264241766399,-0.019010181978563905,increase,decrease,decrease,P_increase_without_support_increase
S4_minus_T3_full,S4,T3_full,V_strength,scs,0.012519830312465174,-0.18539936348548758,-0.006161283780309099,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_strength,scs,-0.22873310088658805,-0.15028473826210886,-0.017424234251364704,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_strength,south_china_scs,0.8518963718085706,-0.7095703473826989,-0.030312678635128196,increase,decrease,decrease,P_increase_without_support_increase
T3_late_minus_T3_early,T3_late,T3_early,V_strength,south_china_scs,0.343312583044165,-0.5241683408439308,-0.030981692039565495,increase,decrease,decrease,P_increase_without_support_increase
S4_minus_T3_full,S4,T3_full,V_strength,south_china_scs,0.4847307103355192,-0.6101980681574855,-0.013708019746168802,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_strength,south_china_scs,-0.18726140893318188,-0.23825833674724128,-0.02592768171729319,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_strength,main_easm_domain,0.10239203631448301,-0.24510751595904434,-0.009137206428375497,increase,decrease,decrease,P_increase_without_support_increase
T3_late_minus_T3_early,T3_late,T3_early,V_strength,main_easm_domain,-0.016977684143063776,-0.2730897138741124,-0.013833017653610197,decrease,decrease,decrease,P_and_support_decrease_together
S4_minus_T3_full,S4,T3_full,V_strength,main_easm_domain,0.08681861029960025,-0.6897029916222048,-0.0137479056307813,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_strength,main_easm_domain,-0.0077171291559379185,-0.12413168812459663,-0.017982471957470096,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_NS_diff,north_northeast,0.26195827686033635,0.4327945603297991,0.0087548129387801,increase,increase,increase,P_and_support_increase_together
T3_late_minus_T3_early,T3_late,T3_early,V_NS_diff,north_northeast,-0.09331942904727075,0.02939206355812174,0.003369051346072502,decrease,increase,near_zero,mixed
S4_minus_T3_full,S4,T3_full,V_NS_diff,north_northeast,-0.4948279278300278,-0.7883483479725973,-0.0217221195854788,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_NS_diff,north_northeast,-0.04241792229421382,-0.016032034668066242,-0.012206144502420701,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_NS_diff,main_meiyu,-1.1343705386407317,-0.20630515494387414,0.0014808184973221991,decrease,decrease,near_zero,mixed
T3_late_minus_T3_early,T3_late,T3_early,V_NS_diff,main_meiyu,-0.7688456365140262,-0.48789571068654425,-0.0343706237344986,decrease,decrease,decrease,P_and_support_decrease_together
S4_minus_T3_full,S4,T3_full,V_NS_diff,main_meiyu,-0.2844915303451465,-1.5807466894397952,-0.018453925812068,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_NS_diff,main_meiyu,-0.3494752893245572,-0.2217707775847928,-0.024513202620899593,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_NS_diff,south_china,1.077922480746218,-0.9389855977333581,-0.010835479067874701,increase,decrease,decrease,P_increase_without_support_increase
T3_late_minus_T3_early,T3_late,T3_early,V_NS_diff,south_china,-0.1822833477990784,-0.8390181133879406,-0.017260841805909005,decrease,decrease,decrease,P_and_support_decrease_together
S4_minus_T3_full,S4,T3_full,V_NS_diff,south_china,0.7878838265808419,-1.6794312774759041,-0.026855470743757298,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_NS_diff,south_china,-0.0828560671813996,-0.3813718697217916,-0.016302430280785207,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_NS_diff,scs,0.9198090799848533,-0.45541740795138885,-0.0186628003939006,increase,decrease,decrease,P_increase_without_support_increase
T3_late_minus_T3_early,T3_late,T3_early,V_NS_diff,scs,0.41934401829207957,-0.3306264241766399,-0.007929110166118296,increase,decrease,decrease,P_increase_without_support_increase
S4_minus_T3_full,S4,T3_full,V_NS_diff,scs,0.012519830312465174,-0.18539936348548758,-0.010838485939265202,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_NS_diff,scs,-0.22873310088658805,-0.15028473826210886,-0.012152615508702891,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_NS_diff,south_china_scs,0.8518963718085706,-0.7095703473826989,-0.0153858843896338,increase,decrease,decrease,P_increase_without_support_increase
T3_late_minus_T3_early,T3_late,T3_early,V_NS_diff,south_china_scs,0.343312583044165,-0.5241683408439308,-0.021745068570609205,increase,decrease,decrease,P_increase_without_support_increase
S4_minus_T3_full,S4,T3_full,V_NS_diff,south_china_scs,0.4847307103355192,-0.6101980681574855,-0.025151505704560997,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_NS_diff,south_china_scs,-0.18726140893318188,-0.23825833674724128,-0.019008778466368212,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_NS_diff,main_easm_domain,0.10239203631448301,-0.24510751595904434,-0.0033996259455848984,increase,decrease,near_zero,P_increase_without_support_increase
T3_late_minus_T3_early,T3_late,T3_early,V_NS_diff,main_easm_domain,-0.016977684143063776,-0.2730897138741124,-0.010940912466306497,decrease,decrease,decrease,P_and_support_decrease_together
S4_minus_T3_full,S4,T3_full,V_NS_diff,main_easm_domain,0.08681861029960025,-0.6897029916222048,-0.0192719241503373,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_NS_diff,main_easm_domain,-0.0077171291559379185,-0.12413168812459663,-0.015375726503815197,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_pos_centroid_lat,north_northeast,0.26195827686033635,0.4327945603297991,-0.002501479293303601,increase,increase,near_zero,P_increase_without_support_increase
T3_late_minus_T3_early,T3_late,T3_early,V_pos_centroid_lat,north_northeast,-0.09331942904727075,0.02939206355812174,-0.002563687603458098,decrease,increase,near_zero,mixed
