window,_pair_id,_source_family,_target_family,_family_direction,_failure_reason,_evidence_tier,dominant_positive_lag_blocker,positive_lag_support_profile,near_positive_lag_pass_candidate,effect_size_bin,secondary_dominance_issue,source_variable,target_variable,_m_positive_peak_abs_r,_m_lag0_abs_r,_m_negative_peak_abs_r,_m_p_pos_surrogate,_m_q_pos_within_window,_m_p_pos_audit_surrogate,_m_D_pos_0,_m_D_pos_neg,_m_P_D_pos_0_gt_0,_m_P_D_pos_neg_gt_0,_m_positive_peak_lag,_m_negative_peak_lag,_m_positive_peak_signed_r,_m_negative_peak_signed_r
T1,H_strength -> P_main_minus_south,H,P,H→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,H_strength,P_main_minus_south,0.258131976186944,0.1324881311238967,0.0974457347052713,0.0569430569430569,0.1473820297349709,0.1758241758241758,0.0968706699464843,0.1508400209768783,0.889,0.894,4,-1,0.258131976186944,0.0974457347052713
T1,P_north_minus_main_35_45 -> H_strength,P,H,P→H,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,would_later_face_tau0_and_reverse_competition,P_north_minus_main_35_45,H_strength,0.2535406637840595,0.2068049885391701,0.3250480537116089,0.0569430569430569,0.1473820297349709,0.2237762237762237,0.0238251924614494,-0.0748975102142857,0.589,0.266,5,-4,-0.2535406637840595,-0.3250480537116089
T1,P_spread_lat -> H_strength,P,H,P→H,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,P_spread_lat,H_strength,0.2470365119646581,0.1235379646721176,0.0888827147803157,0.0649350649350649,0.1626016260162601,0.1048951048951049,0.0989779175241868,0.1613202297778319,0.937,0.896,3,-1,-0.2470365119646581,-0.0888827147803157
T1,P_main_band_share -> H_strength,P,H,P→H,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,would_later_face_tau0_and_reverse_competition,P_main_band_share,H_strength,0.2469102153790227,0.2235537229639868,0.3575631852381624,0.0659340659340659,0.1637717121588089,0.3686313686313686,0.0014866367222313,-0.1078870467582784,0.513,0.195,5,-4,0.2469102153790227,0.3575631852381624
T1,Jw_strength -> Je_axis_lat,Jw,Je,Jw→Je,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,Jw_strength,Je_axis_lat,0.225752738738521,0.1299088374745926,0.1138626626288241,0.0559440559440559,0.1472715318869165,0.0719280719280719,0.0751789002743658,0.1079113043683242,0.821,0.749,5,-1,-0.225752738738521,-0.1138626626288241
T2,P_north_minus_main_35_45 -> Je_strength,P,Je,P→Je,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,would_later_face_reverse_competition,P_north_minus_main_35_45,Je_strength,0.2312412545678709,0.1472461301258674,0.2072354982273078,0.0649350649350649,0.1818181818181818,0.0819180819180819,0.0663232054061805,0.0275829420267458,0.718,0.591,5,-2,0.2312412545678709,-0.2072354982273078
S3,P_main_band_share -> V_pos_centroid_lat,P,V,P→V,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,P_main_band_share,V_pos_centroid_lat,0.215031524167984,0.1272775497309516,0.1032707577144694,0.0529470529470529,0.1482517482517482,0.0449550449550449,0.0706561724216064,0.104609789721299,0.983,0.812,3,-5,0.215031524167984,-0.1032707577144694
T3,H_west_extent_lon -> P_total_centroid_lat_10_50,H,P,H→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,would_later_face_tau0_competition,H_west_extent_lon,P_total_centroid_lat_10_50,0.2198860307890192,0.187026367210415,0.1237481868347018,0.0529470529470529,0.1888111888111887,0.1318681318681318,0.0007916558280865,0.0873142104007458,0.578,0.876,2,-1,-0.2198860307890192,-0.1237481868347018
T1,P_total_centroid_lat_10_50 -> Jw_axis_lat,P,Jw,P→Jw,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,P_total_centroid_lat_10_50,Jw_axis_lat,0.2071302521887508,0.0630084543974833,0.0944540444127402,0.0579420579420579,0.1487179487179487,0.0909090909090909,0.1165327713978238,0.110220229055819,0.788,0.69,5,-2,-0.2071302521887508,0.0944540444127402
T2,H_west_extent_lon -> P_north_minus_main_35_45,H,P,H→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,H_west_extent_lon,P_north_minus_main_35_45,0.20971398316561,0.1740099650842041,0.119866697737554,0.0619380619380619,0.1782890007189072,0.0849150849150849,0.0182374964579492,0.0936720701802595,0.741,0.92,2,-1,0.20971398316561,0.119866697737554
T2,V_pos_centroid_lat -> Je_axis_lat,V,Je,V→Je,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,V_pos_centroid_lat,Je_axis_lat,0.2074756368744145,0.108363358693871,0.1612777845542608,0.0639360639360639,0.1806633733239238,0.1808191808191808,0.0771126495132262,0.044254025691524,0.838,0.675,5,-4,0.2074756368744145,0.1612777845542608
S3,H_strength -> P_south_band_share_18_24,H,P,H→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,H_strength,P_south_band_share_18_24,0.2062352593467203,0.1075375591671815,0.1136663207061517,0.0669330669330669,0.1747066492829204,0.1428571428571428,0.092655462964724,0.0972939672072217,0.98,0.877,5,-5,-0.2062352593467203,-0.1136663207061517
T1,P_main_band_share -> Jw_axis_lat,P,Jw,P→Jw,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,P_main_band_share,Jw_axis_lat,0.2018409467599153,0.0695686765690848,0.0827572853190745,0.0639360639360639,0.1614123581336696,0.1018981018981019,0.1071985376636065,0.1258337079314319,0.865,0.862,5,-5,-0.2018409467599153,-0.0827572853190745
T2,P_spread_lat -> H_west_extent_lon,P,H,P→H,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,P_spread_lat,H_west_extent_lon,0.204528709162661,0.1634617042168743,0.095890608385957,0.0639360639360639,0.1806633733239238,0.0969030969030969,0.0281467554051633,0.1097417941086896,0.928,0.844,2,-1,-0.204528709162661,-0.095890608385957
T2,Jw_axis_lat -> P_spread_lat,Jw,P,Jw→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,near_pass_moderate_effect_and_near_fdr,True,strong_abs_r,dominance_metrics_not_main_blocker,Jw_axis_lat,P_spread_lat,0.2084610063549308,0.1567920081650963,0.1034849084168606,0.0759240759240759,0.1998685075608152,0.1658341658341658,0.0275813050550092,0.1107214856223456,0.764,0.879,3,-1,0.2084610063549308,0.1034849084168606
T3,V_strength -> P_south_band_share_18_24,V,P,V→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,moderate_effect_surrogate_pass_fdr_failed_or_missing,False,strong_abs_r,dominance_metrics_not_main_blocker,V_strength,P_south_band_share_18_24,0.2531746182209919,0.0274503109207566,0.1008920441587263,0.0729270729270729,0.2268842268842269,0.1098901098901098,0.208920651590768,0.1474683478460583,0.991,0.88,5,-3,-0.2531746182209919,0.1008920441587263
T3,V_strength -> P_total_centroid_lat_10_50,V,P,V→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,moderate_effect_surrogate_pass_fdr_failed_or_missing,False,strong_abs_r,dominance_metrics_not_main_blocker,V_strength,P_total_centroid_lat_10_50,0.2472497720943924,0.1190883345109186,0.1037740748061268,0.0649350649350649,0.2127659574468084,0.1018981018981019,0.10906500298083,0.1413065672720392,0.974,0.832,3,-4,0.2472497720943924,-0.1037740748061268
T3,V_strength -> P_spread_lat,V,P,V→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,moderate_effect_surrogate_pass_fdr_failed_or_missing,False,strong_abs_r,dominance_metrics_not_main_blocker,V_strength,P_spread_lat,0.2400051097152036,0.0839821839452392,0.0545637404748189,0.0619380619380619,0.2051282051282051,0.1028971028971029,0.140552398155989,0.1890022662215752,0.927,0.911,5,-1,0.2400051097152036,0.0545637404748189
