window,failure_reason,count
S1,positive_lag_not_supported,123
S1,NONE,44
S1,reverse_lag_dominant,36
S1,same_day_only_without_positive_lag_support,34
S1,positive_and_negative_supported_but_direction_difference_uncertain,25
S1,same_day_exceeds_positive_lag,22
S1,direction_difference_not_stable,15
S1,positive_support_with_same_day_or_uncertain_direction,9
T1,positive_lag_not_supported,173
T1,NONE,30
T1,positive_and_negative_supported_but_direction_difference_uncertain,22
T1,reverse_lag_dominant,20
T1,same_day_only_without_positive_lag_support,20
T1,same_day_exceeds_positive_lag,18
T1,marginal_statistical_support,16
T1,direction_difference_not_stable,5
T1,positive_support_with_same_day_or_uncertain_direction,4
S2,positive_lag_not_supported,132
S2,NONE,46
S2,positive_and_negative_supported_but_direction_difference_uncertain,32
S2,same_day_only_without_positive_lag_support,30
S2,reverse_lag_dominant,27
S2,same_day_exceeds_positive_lag,25
S2,positive_support_with_same_day_or_uncertain_direction,8
S2,direction_difference_not_stable,6
S2,marginal_statistical_support,2
T2,positive_lag_not_supported,188
T2,NONE,28
T2,positive_and_negative_supported_but_direction_difference_uncertain,22
T2,reverse_lag_dominant,17
T2,same_day_only_without_positive_lag_support,16
T2,same_day_exceeds_positive_lag,15
T2,positive_support_with_same_day_or_uncertain_direction,10
T2,marginal_statistical_support,8
T2,direction_difference_not_stable,4
S3,positive_lag_not_supported,180
S3,NONE,33
S3,positive_and_negative_supported_but_direction_difference_uncertain,28
S3,same_day_exceeds_positive_lag,22
S3,same_day_only_without_positive_lag_support,21
S3,reverse_lag_dominant,16
S3,positive_support_with_same_day_or_uncertain_direction,4
S3,marginal_statistical_support,3
S3,direction_difference_not_stable,1
T3,positive_lag_not_supported,211
T3,positive_and_negative_supported_but_direction_difference_uncertain,32
T3,marginal_statistical_support,23
T3,same_day_only_without_positive_lag_support,13
T3,NONE,10
T3,reverse_lag_dominant,9
T3,same_day_exceeds_positive_lag,5
T3,direction_difference_not_stable,4
T3,positive_support_with_same_day_or_uncertain_direction,1
S4,positive_lag_not_supported,186
S4,positive_and_negative_supported_but_direction_difference_uncertain,35
S4,NONE,24
S4,same_day_only_without_positive_lag_support,17
S4,reverse_lag_dominant,13
S4,marginal_statistical_support,12
S4,same_day_exceeds_positive_lag,12
S4,direction_difference_not_stable,6
S4,positive_support_with_same_day_or_uncertain_direction,3
T4,positive_lag_not_supported,214
T4,marginal_statistical_support,26
T4,same_day_only_without_positive_lag_support,22
T4,positive_and_negative_supported_but_direction_difference_uncertain,12
T4,reverse_lag_dominant,11
T4,NONE,11
T4,same_day_exceeds_positive_lag,6
T4,direction_difference_not_stable,4
T4,positive_support_with_same_day_or_uncertain_direction,2
S5,positive_lag_not_supported,207
S5,NONE,22
S5,marginal_statistical_support,21
S5,same_day_only_without_positive_lag_support,15
S5,same_day_exceeds_positive_lag,10
S5,positive_and_negative_supported_but_direction_difference_uncertain,10
S5,direction_difference_not_stable,10
S5,reverse_lag_dominant,9
S5,positive_support_with_same_day_or_uncertain_direction,4
