field,mode,region,loading_mean,loading_abs_mean,loading_integrated,loading_sign,explained_variance_ratio,abs_loading_rank_within_mode
P,1,main_28_35,0.003091316194738683,0.0031816854130093477,0.0031304003483464513,positive,0.11762265008761566,5.0
P,1,south_10_25,-0.009514017510168983,0.00994734126308814,-0.00955456833828105,negative,0.11762265008761566,2.0
P,1,scs_10_20,-0.011398585368246247,0.011430551395729694,-0.011356488817248005,negative,0.11762265008761566,1.0
P,1,highlat_40_60,2.201239362417016e-05,0.0002446412377615541,4.483821755725468e-06,positive,0.11762265008761566,7.0
P,1,highlat_35_60,-1.7258666499911932e-05,0.0003373438132245799,-3.616037350569235e-05,negative,0.11762265008761566,6.0
P,1,lowlat_20_30,-0.0012013525267722846,0.00508275669884793,-0.0013214213805329772,negative,0.11762265008761566,3.0
P,1,main_easm_domain,-0.002026453794470482,0.003504288477295206,-0.0025099647844614064,negative,0.11762265008761566,4.0
P,2,main_28_35,0.0020517655737467546,0.003504698602001964,0.002018820040505282,positive,0.07768528807897376,5.0
P,2,south_10_25,-0.0008568501272843028,0.009425133839937658,-0.000631259384722373,negative,0.07768528807897376,1.0
P,2,scs_10_20,0.004738900691633803,0.007962037611731204,0.004823752429654576,positive,0.07768528807897376,3.0
P,2,highlat_40_60,-3.530688424523799e-05,0.00025411997816901613,-4.391059693966458e-05,negative,0.07768528807897376,7.0
P,2,highlat_35_60,8.110296571442655e-05,0.00036235395760799896,9.869672238387955e-05,positive,0.07768528807897376,6.0
P,2,lowlat_20_30,-0.00787101146525385,0.008443624728086067,-0.007926263831927178,negative,0.07768528807897376,2.0
P,2,main_easm_domain,-0.0004773535799497787,0.003608938605328814,-0.0004900078409147244,negative,0.07768528807897376,4.0
P,3,main_28_35,-0.002528687525505304,0.003138105269554899,-0.0025771524597466766,negative,0.04831980267367039,5.0
P,3,south_10_25,0.0018356525727636678,0.008227985717069793,0.001771305815011457,positive,0.04831980267367039,1.0
P,3,scs_10_20,0.0004257692561498146,0.006701389081535948,0.00038032021648454884,positive,0.04831980267367039,3.0
P,3,highlat_40_60,3.778089274065573e-05,0.0003436016131225461,3.5160036686981736e-05,positive,0.04831980267367039,7.0
P,3,highlat_35_60,1.9071291591341548e-05,0.000606215393217045,1.2101230627454906e-05,positive,0.04831980267367039,6.0
P,3,lowlat_20_30,-0.0006833594453991384,0.007958592671751495,-0.0005876083184097723,negative,0.04831980267367039,2.0
P,3,main_easm_domain,-0.0006206042179777531,0.003668870259835025,-0.0006838066191707314,negative,0.04831980267367039,4.0
P,4,main_28_35,0.0026298163262051793,0.006681420041574154,0.002756750924681305,positive,0.04246645282648838,2.0
P,4,south_10_25,0.003922022015323003,0.0061006016304530845,0.0039370183047514,positive,0.04246645282648838,3.0
P,4,scs_10_20,0.0041250884545942605,0.00525562509118349,0.004151899481052466,positive,0.04246645282648838,4.0
P,4,highlat_40_60,-0.0005302559388647443,0.000541102877277266,-0.0005358236092310706,negative,0.04246645282648838,7.0
P,4,highlat_35_60,-0.0007708332238805031,0.0009358528967604909,-0.0008194550375834627,negative,0.04246645282648838,6.0
P,4,lowlat_20_30,0.005107887215248894,0.008540786796595262,0.005005186192916684,positive,0.04246645282648838,1.0
P,4,main_easm_domain,0.0017045617543397225,0.003931134435789615,0.002055363417506965,positive,0.04246645282648838,5.0
P,5,main_28_35,-0.0037397505784227503,0.00445799573587824,-0.003729116510564595,negative,0.03438301973817842,4.0
P,5,south_10_25,0.00013117690450856323,0.007906275727938622,0.00020213972319256933,positive,0.03438301973817842,2.0
P,5,scs_10_20,0.0018767655256151023,0.008251081664705168,0.0019089921453509405,positive,0.03438301973817842,1.0
P,5,highlat_40_60,-0.0004851387858182806,0.0006970277409341337,-0.0005664259761463063,negative,0.03438301973817842,7.0
P,5,highlat_35_60,-0.001050322403861581,0.0012208305634439352,-0.001220308639359981,negative,0.03438301973817842,6.0
P,5,lowlat_20_30,0.0006829887384981602,0.007477438828345058,0.0006363796713049611,positive,0.03438301973817842,3.0
P,5,main_easm_domain,-0.0002759220442361932,0.004158933972901601,-0.000195366815257862,negative,0.03438301973817842,5.0
