window,source_variable,target_variable,source_family,target_family,source_index_type,target_index_type,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,p_pos_surrogate,q_pos_within_window,q_pos_global,evidence_tier,lead_lag_label,lead_lag_group,lag_vs_tau0_label,forward_vs_reverse_label,v1_stability_judgement,v1_stability_use_class,v1_stability_interpretation_guardrail,D_pos_0_used,D_pos_neg_used,same_day_coupling_detected,failure_reason,risk_note
S1,V_strength,P_main_band_share,V,P,old_v1,old_v1,1,0.7008638404837266,0.7008638404837266,0.6394357292102134,0.6394357292102134,0.0009990009990009,0.0017170329670329,0.0033563721346526,Tier1b_audit_stable_with_same_day,lead_lag_yes_with_same_day_coupling,lead_lag_yes,stable_lag_dominant,stable_forward_over_reverse,stable_lag_dominant,core_stable_lag_candidate,"Positive-lag band is stably stronger than both lag0 and reverse. Still temporal eligibility, not causal proof.",0.0434137265021359,0.1974485365414136,True,,same_day_coupling_present
S1,V_strength,P_south_band_share_18_24,V,P,old_v1,old_v1,1,-0.3375973262222616,0.3375973262222616,-0.3654287782428007,0.3654287782428007,0.0009990009990009,0.0017170329670329,0.0033563721346526,Tier4b_ambiguous_same_day_dominant,lead_lag_ambiguous_same_day_dominant,lead_lag_ambiguous,stable_tau0_dominant,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0492939512166729,0.0187847255425368,True,same_day_exceeds_positive_lag,same_day_dominant
S1,V_strength,P_main_minus_south,V,P,old_v1,old_v1,1,0.6279248840291017,0.6279248840291017,0.5982293098780112,0.5982293098780112,0.0009990009990009,0.0017170329670329,0.0033563721346526,Tier1b_audit_stable_with_same_day,lead_lag_yes_with_same_day_coupling,lead_lag_yes,lag_tau0_close_or_coupled,stable_forward_over_reverse,significant_lagged_but_tau0_coupled,temporal_candidate_with_tau0_coupling,"Forward direction is stable versus reverse, but positive lag is not stably stronger than lag0 or has same-day coupling.",0.0125270607238218,0.1437157155406454,True,,same_day_coupling_present
S1,V_strength,P_spread_lat,V,P,old_v1,old_v1,3,-0.4464681886117549,0.4464681886117549,-0.2412005737149276,0.2412005737149276,0.0009990009990009,0.0017170329670329,0.0033563721346526,Tier1b_audit_stable_with_same_day,lead_lag_yes_with_same_day_coupling,lead_lag_yes,stable_lag_dominant,stable_forward_over_reverse,stable_lag_dominant,core_stable_lag_candidate,"Positive-lag band is stably stronger than both lag0 and reverse. Still temporal eligibility, not causal proof.",0.1877634058550304,0.2751347115803752,True,,same_day_coupling_present
S1,V_strength,P_north_band_share_35_45,V,P,old_v1,old_v1,1,0.2524890933712406,0.2524890933712406,0.2936558918249923,0.2936558918249923,0.0009990009990009,0.0017170329670329,0.0033563721346526,Tier4b_ambiguous_same_day_dominant,lead_lag_ambiguous_same_day_dominant,lead_lag_ambiguous,stable_tau0_dominant,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.061365703355896,-0.02154305552684,True,same_day_exceeds_positive_lag,same_day_dominant
S1,V_strength,P_north_minus_main_35_45,V,P,old_v1,old_v1,2,-0.5526002177848343,0.5526002177848343,-0.4665293964668331,0.4665293964668331,0.0009990009990009,0.0017170329670329,0.0033563721346526,Tier1b_audit_stable_with_same_day,lead_lag_yes_with_same_day_coupling,lead_lag_yes,stable_lag_dominant,stable_forward_over_reverse,stable_lag_dominant,core_stable_lag_candidate,"Positive-lag band is stably stronger than both lag0 and reverse. Still temporal eligibility, not causal proof.",0.0682130410720969,0.1988382325338932,True,,same_day_coupling_present
S1,V_strength,P_total_centroid_lat_10_50,V,P,old_v1,old_v1,1,0.6341974119223507,0.6341974119223507,0.6171585562180889,0.6171585562180889,0.0009990009990009,0.0017170329670329,0.0033563721346526,Tier1b_audit_stable_with_same_day,lead_lag_yes_with_same_day_coupling,lead_lag_yes,lag_tau0_close_or_coupled,stable_forward_over_reverse,significant_lagged_but_tau0_coupled,temporal_candidate_with_tau0_coupling,"Forward direction is stable versus reverse, but positive lag is not stably stronger than lag0 or has same-day coupling.",-0.0005022184791967,0.1125807782026302,True,,same_day_coupling_present
S1,V_strength,P_main_28_35_mean,V,P,old_v1,new_v1_1,1,0.6855415769753809,0.6855415769753809,0.6221104695502674,0.6221104695502674,0.0009990009990009,0.0017170329670329,0.0033563721346526,Tier1b_audit_stable_with_same_day,lead_lag_yes_with_same_day_coupling,lead_lag_yes,stable_lag_dominant,stable_forward_over_reverse,stable_lag_dominant,core_stable_lag_candidate,"Positive-lag band is stably stronger than both lag0 and reverse. Still temporal eligibility, not causal proof.",0.0467953167899959,0.2489804589059221,True,,same_day_coupling_present
S1,V_strength,P_south_10_25_mean,V,P,old_v1,new_v1_1,1,-0.2612203799191727,0.2612203799191727,-0.2782549270849028,0.2782549270849028,0.0019980019980019,0.0032967032967032,0.0059459578497654,Tier4b_ambiguous_same_day_dominant,lead_lag_ambiguous_same_day_dominant,lead_lag_ambiguous,stable_tau0_dominant,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0347405388741983,-0.0144034840754685,True,same_day_exceeds_positive_lag,same_day_dominant
S1,V_strength,P_scs_10_20_mean,V,P,old_v1,new_v1_1,1,-0.4132258381934863,0.4132258381934863,-0.3935208244417416,0.3935208244417416,0.0009990009990009,0.0017170329670329,0.0033563721346526,Tier3_surrogate_or_persistence_sensitive_yes,lead_lag_yes_with_same_day_coupling,lead_lag_yes,lag_tau0_close_or_coupled,stable_forward_over_reverse,audit_sensitive,sensitive_candidate_keep_separate,"Tier3/sensitive V1 yes: keep as risk pool, not as a stable V1 core candidate.",0.0067469215862298,0.0598302189897428,True,,same_day_coupling_present
