window,variable,surrogate_mode,n_years,n_days,n_finite,n_pair_for_phi,nan_fraction,mu,raw_phi_before_clip,phi,phi_after_clip,phi_clip_limit,phi_clipped_flag,phi_clip_amount,phi_clip_direction,phi_clip_severity,sigma,stationary_std,ar1_estimation_scope,family,n_as_source_pairs,n_as_source_yes,n_as_source_tier1,n_as_source_surrogate_sensitive,n_as_target_pairs,n_as_target_yes,n_as_target_tier1,n_as_target_surrogate_sensitive
S3_equal11,V_strength,pooled_window_variable_ar1,45,31,1395,1350,0.0,-2.0373985254769898e-17,0.9420546920005252,0.9420546920005252,0.9420546920005252,0.95,False,0.0,none,none,0.38968226145125673,1.1616378944339028,window_variable_pooled_across_years,V,15,8,8,0,0,0,0,0
S3_equal11,V_pos_centroid_lat,pooled_window_variable_ar1,45,31,1395,1350,0.0,-1.0186992627384949e-16,0.9195220708144204,0.9195220708144204,0.9195220708144204,0.95,False,0.0,none,none,0.7780776736370294,1.9796481222342535,window_variable_pooled_across_years,V,15,1,1,0,0,0,0,0
S3_equal11,V_NS_diff,pooled_window_variable_ar1,45,31,1395,1350,0.0,3.91180516891582e-15,0.9540550740895044,0.95,0.95,0.95,True,0.004055074089504451,upper,minor,28.481355417712283,91.21333721809566,window_variable_pooled_across_years,V,15,5,5,0,0,0,0,0
S3_equal11,V_pos_north_edge_lat,pooled_window_variable_ar1,45,31,1395,1350,0.0,3.2598376407631836e-16,0.8220907519289429,0.8220907519289429,0.8220907519289429,0.95,False,0.0,none,none,4.884183553945192,8.57842804752971,window_variable_pooled_across_years,V,15,2,2,0,0,0,0,0
S3_equal11,V_pos_south_edge_lat,pooled_window_variable_ar1,45,31,1395,1350,0.0,-1.3370427823442746e-16,0.7641995295796448,0.7641995295796448,0.7641995295796448,0.95,False,0.0,none,none,0.8172866967527866,1.2671506341526106,window_variable_pooled_across_years,V,15,0,0,0,0,0,0,0
S3_equal11,V_pos_band_width,pooled_window_variable_ar1,45,31,1395,1350,0.0,3.2598376407631836e-16,0.8221633135850966,0.8221633135850966,0.8221633135850966,0.95,False,0.0,none,none,4.960882599625051,8.714743746378083,window_variable_pooled_across_years,V,15,2,2,0,0,0,0,0
S3_equal11,V_pos_centroid_lat_recomputed,pooled_window_variable_ar1,45,31,1395,1350,0.0,5.500976018787873e-16,0.9305605828703412,0.9305605828703412,0.9305605828703412,0.95,False,0.0,none,none,1.265610120148214,3.4566482527900493,window_variable_pooled_across_years,V,15,7,7,0,0,0,0,0
S3_equal11,V_highlat_35_55_mean,pooled_window_variable_ar1,45,31,1395,1350,0.0,-1.782723709792366e-17,0.9382431682341511,0.9382431682341511,0.9382431682341511,0.95,False,0.0,none,none,0.342398251294695,0.9896574609413744,window_variable_pooled_across_years,V,15,7,7,0,0,0,0,0
S3_equal11,V_lowlat_20_30_mean,pooled_window_variable_ar1,45,31,1395,1350,0.0,-2.2284046372404576e-17,0.9606086263094635,0.95,0.95,0.95,True,0.010608626309463576,upper,moderate,0.3090496249313296,0.9897509174881686,window_variable_pooled_across_years,V,15,5,4,0,0,0,0,0
S3_equal11,V_high_minus_low_35_55_minus_20_30,pooled_window_variable_ar1,45,31,1395,1350,0.0,-1.5280488941077423e-17,0.9590640921381516,0.95,0.95,0.95,True,0.009064092138151625,upper,minor,0.4414800385255003,1.4138676702177417,window_variable_pooled_across_years,V,15,9,9,0,0,0,0,0
S3_equal11,V_lowlat_weakening_proxy_20_30,pooled_window_variable_ar1,45,31,1395,1350,0.0,2.2284046372404576e-17,0.9606086263094635,0.95,0.95,0.95,True,0.010608626309463576,upper,moderate,0.3090496249313296,0.9897509174881686,window_variable_pooled_across_years,V,15,5,5,0,0,0,0,0
S3_equal11,P_main_band_share,pooled_window_variable_ar1,45,31,1395,1350,0.0,-6.366870392115593e-19,0.9466640146616659,0.9466640146616659,0.9466640146616659,0.95,False,0.0,none,none,0.04913206153479974,0.15247875082309603,window_variable_pooled_across_years,P,0,0,0,0,11,3,3,0
S3_equal11,P_south_band_share_18_24,pooled_window_variable_ar1,45,31,1395,1350,0.0,2.0851500534178567e-17,0.94291500260263,0.94291500260263,0.94291500260263,0.95,False,0.0,none,none,0.035417685839010456,0.10634872502351309,window_variable_pooled_across_years,P,0,0,0,0,11,5,5,0
S3_equal11,P_main_minus_south,pooled_window_variable_ar1,45,31,1395,1350,0.0,-1.2733740784231186e-18,0.9511670173824597,0.95,0.95,0.95,True,0.001167017382459723,upper,minor,0.07277227071425574,0.23305778715355557,window_variable_pooled_across_years,P,0,0,0,0,11,4,4,0
S3_equal11,P_spread_lat,pooled_window_variable_ar1,45,31,1395,1350,0.0,1.5535163756762047e-16,0.9303789143364207,0.9303789143364207,0.9303789143364207,0.95,False,0.0,none,none,0.393162050919148,1.0724570628038002,window_variable_pooled_across_years,P,0,0,0,0,11,5,4,0
S3_equal11,P_north_band_share_35_45,pooled_window_variable_ar1,45,31,1395,1350,0.0,-6.366870392115593e-19,0.9175036666425079,0.9175036666425079,0.9175036666425079,0.95,False,0.0,none,none,0.03116736410985683,0.0783636488649197,window_variable_pooled_across_years,P,0,0,0,0,11,2,2,0
S3_equal11,P_north_minus_main_35_45,pooled_window_variable_ar1,45,31,1395,1350,0.0,-6.2076986323127034e-18,0.9290547604335182,0.9290547604335182,0.9290547604335182,0.95,False,0.0,none,none,0.06214154203605148,0.16797634149198856,window_variable_pooled_across_years,P,0,0,0,0,11,3,3,0
S3_equal11,P_total_centroid_lat_10_50,pooled_window_variable_ar1,45,31,1395,1350,0.0,1.0594472332480348e-15,0.9409618724566441,0.9409618724566441,0.9409618724566441,0.95,False,0.0,none,none,0.9420408574090227,2.7828830104393476,window_variable_pooled_across_years,P,0,0,0,0,11,2,2,0
S3_equal11,P_main_28_35_mean,pooled_window_variable_ar1,45,31,1395,1350,0.0,2.0373985254769898e-16,0.9344712706904647,0.9344712706904647,0.9344712706904647,0.95,False,0.0,none,none,1.0259710508798248,2.881629167498146,window_variable_pooled_across_years,P,0,0,0,0,11,3,3,0
S3_equal11,P_south_10_25_mean,pooled_window_variable_ar1,45,31,1395,1350,0.0,-2.0373985254769898e-17,0.9580075402494127,0.95,0.95,0.95,True,0.008007540249412748,upper,minor,1.0794386718545386,3.45697043339765,window_variable_pooled_across_years,P,0,0,0,0,11,1,1,0
S3_equal11,P_scs_10_20_mean,pooled_window_variable_ar1,45,31,1395,1350,0.0,2.1392684517508394e-16,0.948170058353178,0.948170058353178,0.948170058353178,0.95,False,0.0,none,none,1.3374883198900898,4.209070557357008,window_variable_pooled_across_years,P,0,0,0,0,11,1,1,0
S3_equal11,P_highlat_40_60_mean,pooled_window_variable_ar1,45,31,1395,1350,0.0,-4.0747970509539796e-17,0.9164572540441981,0.9164572540441981,0.9164572540441981,0.95,False,0.0,none,none,0.3658449724120564,0.9143093262718872,window_variable_pooled_across_years,P,0,0,0,0,11,5,5,0
