window,source_variable,target_variable,source_index_type,target_index_type,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,p_pos_surrogate,q_pos_within_window,v1_stability_judgement,is_new_source,is_new_target,interpretation_tag_derived_not_claim
T3_expand23,V_strength,P_south_band_share_18_24,old_v1,old_v1,4,-0.2654321591726988,0.2654321591726988,0.0109890109890109,0.0612244897959183,stable_lag_dominant,False,False,south_p_target
T3_expand23,V_strength,P_spread_lat,old_v1,old_v1,4,0.2637110909907365,0.2637110909907365,0.0079920079920079,0.0573339703774486,stable_lag_dominant,False,False,old_or_unlabeled
T3_expand23,V_strength,P_north_band_share_35_45,old_v1,old_v1,4,0.2877684020945504,0.2877684020945504,0.0069930069930069,0.0549450549450549,stable_lag_dominant,False,False,old_or_unlabeled
T3_expand23,V_strength,P_total_centroid_lat_10_50,old_v1,old_v1,3,0.3317105445089611,0.3317105445089611,0.0019980019980019,0.0206043956043956,stable_lag_dominant,False,False,old_or_unlabeled
T3_expand23,V_strength,P_south_minus_main,old_v1,new_v1_1,3,-0.3125160330468221,0.3125160330468221,0.0019980019980019,0.0206043956043956,stable_lag_dominant,False,True,south_p_target;main_p_target
T3_expand23,V_NS_diff,P_south_band_share_18_24,old_v1,old_v1,3,-0.3846987359058673,0.3846987359058673,0.0009990009990009,0.0137362637362637,stable_lag_dominant,False,False,south_p_target
T3_expand23,V_NS_diff,P_main_minus_south,old_v1,old_v1,2,0.2881888796249363,0.2881888796249363,0.0129870129870129,0.0612244897959183,stable_lag_dominant,False,False,south_p_target;main_p_target
T3_expand23,V_NS_diff,P_spread_lat,old_v1,old_v1,3,0.4255863201838112,0.4255863201838112,0.0009990009990009,0.0137362637362637,stable_lag_dominant,False,False,old_or_unlabeled
T3_expand23,V_NS_diff,P_north_band_share_35_45,old_v1,old_v1,2,0.3497846504806083,0.3497846504806083,0.0019980019980019,0.0206043956043956,stable_lag_dominant,False,False,old_or_unlabeled
T3_expand23,V_NS_diff,P_south_10_25_mean,old_v1,new_v1_1,1,-0.383841345765526,0.383841345765526,0.0009990009990009,0.0137362637362637,stable_lag_dominant,False,True,south_p_target
T3_expand23,V_pos_north_edge_lat,P_highlat_40_60_mean,new_v1_1,new_v1_1,4,0.2226674389632499,0.2226674389632499,0.0089910089910089,0.0593406593406593,stable_lag_dominant,True,True,boundary_or_latband_v;highlat_p_target
T3_expand23,V_pos_south_edge_lat,P_spread_lat,new_v1_1,old_v1,2,0.2379402371141484,0.2379402371141484,0.0019980019980019,0.0206043956043956,stable_lag_dominant,True,False,old_or_unlabeled
T3_expand23,V_pos_band_width,P_highlat_40_60_mean,new_v1_1,new_v1_1,4,0.2195369224764858,0.2195369224764858,0.0039960039960039,0.0329670329670329,stable_lag_dominant,True,True,boundary_or_latband_v;highlat_p_target
T3_expand23,V_pos_centroid_lat_recomputed,P_highlat_40_60_mean,new_v1_1,new_v1_1,4,0.247568486154889,0.247568486154889,0.0109890109890109,0.0612244897959183,stable_lag_dominant,True,True,highlat_p_target
T3_expand23,V_highlat_35_55_mean,P_north_minus_main_35_45,new_v1_1,old_v1,4,0.258961303960755,0.258961303960755,0.0129870129870129,0.0612244897959183,stable_lag_dominant,True,False,main_p_target
T3_expand23,V_highlat_35_55_mean,P_highlat_40_60_mean,new_v1_1,new_v1_1,3,0.4563223548858749,0.4563223548858749,0.0009990009990009,0.0137362637362637,stable_lag_dominant,True,True,highlat_p_target
T3_expand23,V_highlat_35_55_mean,P_highlat_35_60_mean,new_v1_1,new_v1_1,3,0.3786553308195453,0.3786553308195453,0.0009990009990009,0.0137362637362637,stable_lag_dominant,True,True,highlat_p_target
