variant,family,comparison_role,window_name,start_day,end_day,duration_days,pair_group,n_pairs,n_stable,positive_abs_r_mean,positive_abs_r_median,positive_abs_r_q75,positive_abs_r_q90,positive_abs_r_max,lag0_abs_r_median,lag0_abs_r_q90
T3_current_107_117_len11,T3_current,baseline_T3_current,T3_current,107,117,11,all,165,9,0.19858374544883872,0.1818167787046985,0.2662051351103568,0.32840908570723526,0.5697633549128992,0.1211651738311136,0.30358422145747077
T3_current_107_117_len11,T3_current,baseline_T3_current,T3_current,107,117,11,oldV_oldP,21,2,0.27152526362918433,0.2472497720943924,0.3401094190099263,0.4003044190028558,0.5697633549128992,0.1806793992533153,0.4254510364761468
T3_current_107_117_len11,T3_current,baseline_T3_current,T3_current,107,117,11,newV_oldP,56,1,0.1571606613355991,0.129954259659328,0.2190442310942648,0.28480163186884944,0.3154908560175801,0.0977166019402146,0.15870673000844
T3_current_107_117_len11,T3_current,baseline_T3_current,T3_current,107,117,11,oldV_newP,24,0,0.2377718070479665,0.23188405998424524,0.297156385004117,0.32927039362347965,0.3717492089194589,0.21041027415121194,0.33514532026457167
T3_current_107_117_len11,T3_current,baseline_T3_current,T3_current,107,117,11,newV_newP,64,6,0.19619948529532455,0.17361139032087675,0.2706654250099312,0.3282234340661572,0.5465361960678417,0.11781314735604725,0.2106491971211984
T3_current_107_117_len11,T3_current,baseline_T3_current,T3_current,107,117,11,any_new,144,7,0.18794644071420497,0.17361139032087675,0.2521077905629874,0.3165565149392855,0.5465361960678417,0.1190237188927434,0.27261349661173984
S3_center_equal11_092_102,equal_length_control,S3_11day_control,S3_equal11,92,102,11,all,165,26,0.27878591263559666,0.2743462418643126,0.3940857724579535,0.4693959711899994,0.5902468044367555,0.212536679717409,0.44527383042139385
S3_center_equal11_092_102,equal_length_control,S3_11day_control,S3_equal11,92,102,11,oldV_oldP,21,6,0.3378244161664032,0.349565388764219,0.4339193122961605,0.4728441507348517,0.5902468044367555,0.3185083352183306,0.4710469296040966
S3_center_equal11_092_102,equal_length_control,S3_11day_control,S3_equal11,92,102,11,newV_oldP,56,7,0.23997337321845766,0.2228151047206876,0.330571586413164,0.4070818755779045,0.4554765407617509,0.16786301544885956,0.36946815954741363
S3_center_equal11_092_102,equal_length_control,S3_11day_control,S3_equal11,92,102,11,oldV_newP,24,1,0.3355947449442926,0.33364071053019806,0.4141925223284216,0.494317192126766,0.5468253274488961,0.34701444031086315,0.48886316738029334
S3_center_equal11_092_102,equal_length_control,S3_11day_control,S3_equal11,92,102,11,newV_newP,64,12,0.27207156353878625,0.25421357238637304,0.40555415713669946,0.4927542388229088,0.5898602576441323,0.17341528205018192,0.44591363285117525
S3_center_equal11_092_102,equal_length_control,S3_11day_control,S3_equal11,92,102,11,any_new,144,20,0.2701761308706873,0.25701449169795454,0.37761619942946145,0.46522014206152507,0.5898602576441323,0.2014430306907988,0.4207376046645815
S4_center_equal11_131_141,equal_length_control,S4_11day_control,S4_equal11,131,141,11,all,165,4,0.1701612013715173,0.1571858031453156,0.2241416488543633,0.2988109603972642,0.5551316923373385,0.1324730424648126,0.3062492157988766
S4_center_equal11_131_141,equal_length_control,S4_11day_control,S4_equal11,131,141,11,oldV_oldP,21,1,0.19007069148866018,0.1741184377795286,0.2502841867203474,0.3206317830969179,0.4575869656323736,0.155224436869621,0.3377196805531189
S4_center_equal11_131_141,equal_length_control,S4_11day_control,S4_equal11,131,141,11,newV_oldP,56,0,0.13847659114065441,0.11860714074023676,0.1873942109671909,0.2152300623450284,0.2784705324782296,0.11039840607724336,0.21290529833297817
S4_center_equal11_131_141,equal_length_control,S4_11day_control,S4_equal11,131,141,11,oldV_newP,24,0,0.20461004170127692,0.2104449433516301,0.25554682594718603,0.34789566926869764,0.4022234432992755,0.1885073868668658,0.3740755369915523
S4_center_equal11_131_141,equal_length_control,S4_11day_control,S4_equal11,131,141,11,newV_newP,64,3,0.178434118755175,0.16675622161078854,0.25133824741354327,0.3292680986756908,0.5551316923373385,0.09874842861896921,0.3031162951203382
S4_center_equal11_131_141,equal_length_control,S4_11day_control,S4_equal11,131,141,11,any_new,144,3,0.16725773406276734,0.15525035761155165,0.22193916164095404,0.2883385951395157,0.5551316923373385,0.1282056761202097,0.2954289439251535
T3_expand_symmetric17_104_120,T3_expansion,T3_symmetric_expansion_17day,T3_expand17,104,120,17,all,165,11,0.18433954387554108,0.1673308922990477,0.2452070588446142,0.29774068635019846,0.548651189260556,0.0991934887668567,0.264582863517388
T3_expand_symmetric17_104_120,T3_expansion,T3_symmetric_expansion_17day,T3_expand17,104,120,17,oldV_oldP,21,3,0.2724447608694458,0.2565739412697878,0.3530731736544666,0.3952157198745664,0.548651189260556,0.2080987554092276,0.3925725450756268
T3_expand_symmetric17_104_120,T3_expansion,T3_symmetric_expansion_17day,T3_expand17,104,120,17,newV_oldP,56,2,0.14432095118718877,0.142263630522302,0.18512436677860328,0.2274589879183113,0.2805511310904348,0.07303086864883505,0.153968087231714
T3_expand_symmetric17_104_120,T3_expansion,T3_symmetric_expansion_17day,T3_expand17,104,120,17,oldV_newP,24,1,0.2212863305983521,0.20215999866362117,0.28926327008638225,0.32115574405168706,0.3751021807058206,0.18107477975552105,0.32626414070118853
T3_expand_symmetric17_104_120,T3_expansion,T3_symmetric_expansion_17day,T3_expand17,104,120,17,newV_newP,64,5,0.1765912431306702,0.14677335087014576,0.23644810241338987,0.2682186213524494,0.4850191939963287,0.09340787162987599,0.2187921712260676
T3_expand_symmetric17_104_120,T3_expansion,T3_symmetric_expansion_17day,T3_expand17,104,120,17,any_new,144,8,0.1714908663972633,0.15051505281438798,0.2273630815836023,0.2719067216427455,0.4850191939963287,0.0969121847477942,0.22552792341064196
T3_expand_symmetric23_101_123,T3_expansion,T3_symmetric_expansion_23day,T3_expand23,101,123,23,all,165,17,0.17933655096916673,0.1640638678296387,0.2379402371141484,0.30440564484291244,0.5397103094096466,0.0950831823844079,0.2506641784665089
T3_expand_symmetric23_101_123,T3_expansion,T3_symmetric_expansion_23day,T3_expand23,101,123,23,oldV_oldP,21,8,0.27657661598491146,0.2654321591726988,0.3533444863235837,0.3846987359058673,0.5397103094096466,0.1991349287954435,0.3720531008301726
T3_expand_symmetric23_101_123,T3_expansion,T3_symmetric_expansion_23day,T3_expand23,101,123,23,newV_oldP,56,2,0.13783257891600964,0.1309716077203062,0.17863261768919791,0.2246871132655458,0.258961303960755,0.08036834124300565,0.1516572840423715
T3_expand_symmetric23_101_123,T3_expansion,T3_symmetric_expansion_23day,T3_expand23,101,123,23,oldV_newP,24,2,0.22204195554151504,0.22248471542274406,0.27783680792751436,0.3416983861239485,0.3888548572232654,0.1914899363600783,0.3272715180455283
T3_expand_symmetric23_101_123,T3_expansion,T3_symmetric_expansion_23day,T3_expand23,101,123,23,newV_newP,64,5,0.16773110346775733,0.1513758887063465,0.22031955159817682,0.2685211455491273,0.4563223548858749,0.0921619322937248,0.2182737707945314
T3_expand_symmetric23_101_123,T3_expansion,T3_symmetric_expansion_23day,T3_expand23,101,123,23,any_new,144,9,0.16515570815437064,0.15509119268947455,0.218529131226714,0.26840950899534566,0.4563223548858749,0.09176732052170844,0.22517729169639872
T3_expand_backward17_101_117,T3_expansion,T3_backward_expansion_17day,T3_back17,101,117,17,all,165,19,0.20274095240876716,0.1955285622297796,0.2754595891711465,0.33527660627517286,0.5647891659485996,0.1216588091221137,0.29460233142586795
T3_expand_backward17_101_117,T3_expansion,T3_backward_expansion_17day,T3_back17,101,117,17,oldV_oldP,21,8,0.29561373029054405,0.3025851680453209,0.3682608237569332,0.4303188893246819,0.5647891659485996,0.2155695963924339,0.4210752370025547
T3_expand_backward17_101_117,T3_expansion,T3_backward_expansion_17day,T3_back17,101,117,17,newV_oldP,56,3,0.16026059015537714,0.1540797672345509,0.22729745716831604,0.26363925258974524,0.3209944184152087,0.102812234458455,0.15484105457472924
T3_expand_backward17_101_117,T3_expansion,T3_backward_expansion_17day,T3_back17,101,117,17,oldV_newP,24,3,0.24516767305761636,0.25737712812739333,0.2888925541899714,0.3599988271680466,0.4144979052364795,0.20646037176752974,0.358511682185133
T3_expand_backward17_101_117,T3_expansion,T3_backward_expansion_17day,T3_back17,101,117,17,newV_newP,64,5,0.1935273688947069,0.19127036490043892,0.2626061381982884,0.32957919646248324,0.5185395503186937,0.1156764589147588,0.22433358895619063
T3_expand_backward17_101_117,T3_expansion,T3_backward_expansion_17day,T3_back17,101,117,17,any_new,144,11,0.18919700563434136,0.17495144659075465,0.2578509098831804,0.3136552712005864,0.5185395503186937,0.1201709532226101,0.2528775353405373
