window,source_family,target_family,family_edge,n_candidate_lagged_tests,n_graph_selected,n_pcmci_plus_supported,min_q,max_abs_val
S1,P,V,P->V,105,2,1,0.00029238651585918344,0.13351545897387668
S1,V,P,V->P,105,1,1,0.01874252960752761,0.10842515238623282
S1,V,Je,V->Je,45,1,1,0.039439559431900674,0.10144227795842403
S1,H,Je,H->Je,60,0,0,0.5761612552511544,0.047958828572333786
S1,H,Jw,H->Jw,60,0,0,0.5761612552511544,0.04944615046690121
S1,H,P,H->P,140,0,0,0.5761612552511544,0.05013079780402612
S1,H,V,H->V,60,1,0,0.5761612552511544,0.07543582607986536
S1,Je,H,Je->H,60,0,0,0.5761612552511544,0.04964593534535609
S1,Je,Jw,Je->Jw,45,0,0,0.5761612552511544,0.04590120588301769
S1,Je,P,Je->P,105,0,0,0.5761612552511544,0.04968310300035877
S1,Je,V,Je->V,45,0,0,0.5761612552511544,0.05006056156016121
S1,Jw,H,Jw->H,60,0,0,0.5761612552511544,0.047928367766772506
S1,Jw,Je,Jw->Je,45,1,0,0.5761612552511544,0.07337702373341087
S1,Jw,P,Jw->P,105,0,0,0.5761612552511544,0.049697402203477736
S1,Jw,V,Jw->V,45,0,0,0.5761612552511544,0.049006508934836976
S1,P,H,P->H,140,1,0,0.5761612552511544,0.07907818162975103
S1,P,Je,P->Je,105,0,0,0.5761612552511544,0.05001823990245549
S1,P,Jw,P->Jw,105,0,0,0.5761612552511544,0.049632185667210886
S1,V,H,V->H,60,0,0,0.5761612552511544,0.048722477575912373
S1,V,Jw,V->Jw,45,0,0,0.5761612552511544,0.04886419051777495
S2,H,Je,H->Je,60,0,0,0.640006940535501,0.061440050742421204
S2,H,Jw,H->Jw,60,0,0,0.640006940535501,0.06343325010773082
S2,H,P,H->P,140,0,0,0.640006940535501,0.06355650138256283
S2,H,V,H->V,60,0,0,0.640006940535501,0.06290996907241667
S2,Je,H,Je->H,60,0,0,0.640006940535501,0.06116506909981477
S2,Je,Jw,Je->Jw,45,0,0,0.640006940535501,0.06307358264091575
S2,Je,P,Je->P,105,0,0,0.640006940535501,0.06337563234066454
S2,Je,V,Je->V,45,0,0,0.640006940535501,0.061754614734635394
S2,Jw,H,Jw->H,60,0,0,0.640006940535501,0.06258622164122146
S2,Jw,Je,Jw->Je,45,2,0,0.640006940535501,0.1086779776658994
S2,Jw,P,Jw->P,105,1,0,0.640006940535501,0.08829973551330057
S2,Jw,V,Jw->V,45,0,0,0.640006940535501,0.06279806217621611
S2,P,H,P->H,140,0,0,0.640006940535501,0.06339757167407946
S2,P,Je,P->Je,105,1,0,0.640006940535501,0.10450563842042035
S2,P,Jw,P->Jw,105,0,0,0.640006940535501,0.06309959996946128
S2,P,V,P->V,105,0,0,0.640006940535501,0.06369329396392515
S2,V,H,V->H,60,0,0,0.640006940535501,0.06382565203662374
S2,V,Je,V->Je,45,0,0,0.640006940535501,0.06349175378103841
S2,V,Jw,V->Jw,45,0,0,0.640006940535501,0.06382903150150936
S2,V,P,V->P,105,1,0,0.640006940535501,0.07961062538567434
S3,Jw,Je,Jw->Je,45,2,1,0.009862023619021701,0.17385282135674351
S3,Je,H,Je->H,60,1,1,0.037152641008902046,0.15667763809380522
S3,V,P,V->P,105,3,0,0.18421714305297998,0.1378793060049464
S3,H,Je,H->Je,60,1,0,0.6421488325647786,0.08539462522961043
S3,H,Jw,H->Jw,60,1,0,0.6421488325647786,0.08446007227763509
S3,H,P,H->P,140,0,0,0.6421488325647786,0.07498264123294111
S3,H,V,H->V,60,0,0,0.6421488325647786,0.0753447492225371
S3,Je,Jw,Je->Jw,45,0,0,0.6421488325647786,0.07330449285989138
S3,Je,P,Je->P,105,0,0,0.6421488325647786,0.07533393169232197
S3,Je,V,Je->V,45,0,0,0.6421488325647786,0.06611018448401451
S3,Jw,H,Jw->H,60,0,0,0.6421488325647786,0.07544044833056747
