window,source,target,source_family,target_family,any_lagged_graph_selected,any_lagged_raw_p05,any_lagged_graph_selected_and_raw_p05,any_lagged_window_fdr_q05,any_lagged_supported,supported_taus,graph_selected_taus,raw_p05_taus,graph_raw_p05_taus,best_lagged_tau,best_lagged_layer,best_lagged_val,best_lagged_abs_val,best_lagged_p,best_lagged_q,min_lagged_p,min_lagged_q,max_lagged_abs_val,n_lagged_tests,n_lagged_graph_selected,n_lagged_raw_p05,n_lagged_graph_raw_p05,n_lagged_supported,lead_lag_label,lead_lag_group,direction_label,same_day_coupling_flag,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,evidence_tier,recommended_usage,failure_reason,risk_note,suggested_reverse_direction,pair_phi_risk,v1_lead_lag_yes,v1_available,tau0_graph_selected_bool,tau0_raw_p05,tau0_q05,tau0_supported_bool,tau0_val,abs_tau0_val,tau0_p,tau0_q,tau0_graph_entry,tau0_abs_ge_best_lagged_abs,lagged_layer_pair,tau0_layer_pair,tau0_lagged_joint_class,v1_to_pcmci_fate
S1,P_main_minus_south,V_NS_diff,P,V,True,True,True,True,True,1,1,1,1,1,L4_supported_graph_and_window_fdr,-0.1335154589738766,0.1335154589738766,1.898613739345347e-07,0.0002923865158591,1.898613739345347e-07,0.0002923865158591,0.1335154589738766,5,1,1,1,1,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,1,0.5256393997832023,0.5256393997832023,0.6833742011652862,0.6833742011652862,Tier5b_no_reverse_dominant,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,V_NS_diff -> P_main_minus_south,none,False,True,False,False,False,False,-0.0012151923353516,0.0012151923353516,0.9623309912622892,0.9791675942444572,,False,lagged_L4_supported,tau0_L0_none,lagged_supported_only,not_v1_lead_lag_yes
S1,V_NS_diff,Je_axis_lat,V,Je,True,True,True,True,True,1,1,1,1,1,L4_supported_graph_and_window_fdr,0.101442277958424,0.101442277958424,7.683031058162469e-05,0.0394395594319006,7.683031058162469e-05,0.0394395594319006,0.101442277958424,5,1,1,1,1,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,2,0.5351567575785658,0.5351567575785658,0.4043788377551237,0.4043788377551237,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,none,True,True,False,False,False,False,0.0281625957102504,0.0281625957102504,0.2731455943179544,0.763378462691161,,False,lagged_L4_supported,tau0_L0_none,lagged_supported_only,V1_yes_and_PCMCI_lagged_supported
S1,V_NS_diff,P_total_centroid_lat_10_50,V,P,True,True,True,True,True,1,1,1,1,1,L4_supported_graph_and_window_fdr,0.1084251523862328,0.1084251523862328,2.434094754224365e-05,0.0187425296075276,2.434094754224365e-05,0.0187425296075276,0.1084251523862328,5,1,1,1,1,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,1,0.7085268180583004,0.7085268180583004,0.672254583555458,0.672254583555458,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,none,True,True,True,True,True,True,0.1883695244475511,0.1883695244475511,1.6135217118252758e-13,2.4848234362109243e-11,x-x,True,lagged_L4_supported,tau0_L4_supported,both_lagged_and_tau0_supported,V1_yes_and_PCMCI_lagged_supported
S3,Je_meridional_width,H_centroid_lat,Je,H,True,True,True,True,True,2,2,2,2,2,L4_supported_graph_and_window_fdr,0.1566776380938052,0.1566776380938052,4.825018312844421e-05,0.037152641008902,4.825018312844421e-05,0.037152641008902,0.1566776380938052,5,1,1,1,1,lead_lag_ambiguous_bidirectional_close,lead_lag_ambiguous,bidirectional_close,False,2,0.0832292510057505,0.0832292510057505,0.0125562785826453,0.0125562785826453,Tier4a_ambiguous_bidirectional_close,expanded temporal risk pool only; useful for feedback/same-day/transition audit,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,none,False,True,False,False,False,False,0.0345638906769285,0.0345638906769285,0.3727945994802034,0.7087699792586584,,False,lagged_L4_supported,tau0_L0_none,lagged_supported_only,not_v1_lead_lag_yes
S3,Jw_strength,Je_strength,Jw,Je,True,True,True,True,True,5,5,5,5,5,L4_supported_graph_and_window_fdr,0.1738528213567435,0.1738528213567435,6.403911440923183e-06,0.0098620236190217,6.403911440923183e-06,0.0098620236190217,0.1738528213567435,5,1,1,1,1,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_strong,False,5,0.3739883553395981,0.3739883553395981,-0.0173589322935702,0.0173589322935702,Tier1a_audit_stable_clear_leadlag,strict temporal core for pathway candidate screening,,,,minor,True,True,False,False,False,False,-0.0676473984314247,0.0676473984314247,0.080844293887673,0.4596110248103263,,False,lagged_L4_supported,tau0_L0_none,lagged_supported_only,V1_yes_and_PCMCI_lagged_supported
S4,Jw_strength,Je_strength,Jw,Je,True,True,True,True,True,5,5,5,5,5,L4_supported_graph_and_window_fdr,0.1105683401219203,0.1105683401219203,2.895140651403475e-05,0.0232965959818517,2.895140651403475e-05,0.0232965959818517,0.1105683401219203,5,1,1,1,1,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_strong,False,5,0.3215843115739784,0.3215843115739784,0.0815850648228385,0.0815850648228385,Tier1a_audit_stable_clear_leadlag,strict temporal core for pathway candidate screening,,,,minor,True,True,True,True,True,True,-0.0891012079524295,0.0891012079524295,0.0007559823181695,0.019403546166352,x-x,False,lagged_L4_supported,tau0_L4_supported,both_lagged_and_tau0_supported,V1_yes_and_PCMCI_lagged_supported
S4,V_NS_diff,P_north_band_share_35_45,V,P,True,True,True,True,True,1,1,1,1,1,L4_supported_graph_and_window_fdr,0.1101125678693161,0.1101125678693161,3.025531945695033e-05,0.0232965959818517,3.025531945695033e-05,0.0232965959818517,0.1101125678693161,5,1,1,1,1,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,2,0.2473506127427333,0.2473506127427333,0.2209358899563375,0.2209358899563375,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,minor,True,True,False,False,False,False,0.0425575780775731,0.0425575780775731,0.1075695230669382,0.4184693127401435,,False,lagged_L4_supported,tau0_L0_none,lagged_supported_only,V1_yes_and_PCMCI_lagged_supported
S5,Jw_meridional_width,Je_meridional_width,Jw,Je,True,True,True,True,True,2;5,2;3;5,2;3;5,2;3;5,5,L4_supported_graph_and_window_fdr,0.3496932486665154,0.3496932486665154,2.491963288355652e-19,3.837623464067703e-16,2.491963288355652e-19,3.837623464067703e-16,0.3496932486665154,5,3,3,3,2,lead_lag_ambiguous_direction_uncertain,lead_lag_ambiguous,direction_uncertain,False,5,0.444237015001926,0.444237015001926,-0.0072416747356177,0.0072416747356177,Tier4c_ambiguous_direction_uncertain,expanded temporal risk pool only; useful for feedback/same-day/transition audit,direction_difference_not_stable,direction_uncertain,,none,False,True,False,False,False,False,-0.0416591653186353,0.0416591653186353,0.299578815243483,0.5991576304869661,,False,lagged_L4_supported,tau0_L0_none,lagged_supported_only,not_v1_lead_lag_yes
T4,Jw_meridional_width,Je_meridional_width,Jw,Je,True,True,True,True,True,2,2,2,2,2,L4_supported_graph_and_window_fdr,0.3013159794253869,0.3013159794253869,5.105218057779915e-06,0.007862035808981,5.105218057779915e-06,0.007862035808981,0.3013159794253869,5,1,1,1,1,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,2,0.1129223388773825,0.1129223388773825,-0.0502369575087322,0.0502369575087322,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,False,False,False,False,0.0256047507067032,0.0256047507067032,0.7050254121425696,0.9201179107623366,,False,lagged_L4_supported,tau0_L0_none,lagged_supported_only,not_v1_lead_lag_yes
S1,H_strength,V_strength,H,V,True,True,True,False,False,,1,1,1,1,L3_graph_selected_raw_p_lost_by_fdr,-0.0754358260798653,0.0754358260798653,0.0033350799006049,0.5761612552511544,0.0033350799006049,0.5761612552511544,0.0754358260798653,5,1,1,1,0,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,2,0.3183656451424766,0.3183656451424766,0.2969565108050688,0.2969565108050688,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,moderate,True,True,False,False,False,False,0.0353325407906756,0.0353325407906756,0.1696967982674463,0.6877186035049141,,False,lagged_L3_graph_raw_p05_lost_by_fdr,tau0_L0_none,lagged_pre_fdr_signal_only,V1_yes_graph_raw_p05_lost_by_fdr
S1,Jw_axis_lat,Je_axis_lat,Jw,Je,True,True,True,False,False,,1,1,1,1,L3_graph_selected_raw_p_lost_by_fdr,0.0733770237334108,0.0733770237334108,0.0041812450640387,0.5761612552511544,0.0041812450640387,0.5761612552511544,0.0733770237334108,5,1,1,1,0,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,3,0.3546741189457124,0.3546741189457124,0.2001879685557387,0.2001879685557387,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,none,True,True,False,False,False,False,-0.0108477735498499,0.0108477735498499,0.6722908232678102,0.8742594735702358,,False,lagged_L3_graph_raw_p05_lost_by_fdr,tau0_L0_none,lagged_pre_fdr_signal_only,V1_yes_graph_raw_p05_lost_by_fdr
S2,P_north_band_share_35_45,Je_axis_lat,P,Je,True,True,True,False,False,,1,1,1,1,L3_graph_selected_raw_p_lost_by_fdr,0.1045056384204203,0.1045056384204203,0.0013740821966658,0.640006940535501,0.0013740821966658,0.640006940535501,0.1045056384204203,5,1,1,1,0,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,1,0.3559949460294327,0.3559949460294327,0.3072431146920485,0.3072431146920485,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,none,True,True,False,False,False,False,0.0406396151479702,0.0406396151479702,0.2136781775678897,0.5595273278428275,,False,lagged_L3_graph_raw_p05_lost_by_fdr,tau0_L0_none,lagged_pre_fdr_signal_only,V1_yes_graph_raw_p05_lost_by_fdr
S2,V_strength,P_total_centroid_lat_10_50,V,P,True,True,True,False,False,,1,1,1,1,L3_graph_selected_raw_p_lost_by_fdr,0.0796106253856743,0.0796106253856743,0.0152209701041701,0.640006940535501,0.0152209701041701,0.640006940535501,0.0796106253856743,5,1,1,1,0,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,1,0.6220597154881994,0.6220597154881994,0.5601038778900362,0.5601038778900362,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,none,True,True,True,True,True,True,0.1817952238613286,0.1817952238613286,2.4033987196698045e-08,1.4386236120829535e-06,x-x,True,lagged_L3_graph_raw_p05_lost_by_fdr,tau0_L4_supported,tau0_supported_only,V1_yes_graph_raw_p05_lost_by_fdr
S3,V_NS_diff,P_spread_lat,V,P,True,True,True,False,False,,1;2;3,1;2;3,1;2;3,1,L3_graph_selected_raw_p_lost_by_fdr,0.1378793060049464,0.1378793060049464,0.0003588645643889,0.1842171430529799,0.0003588645643889,0.1842171430529799,0.1378793060049464,5,3,3,3,0,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,3,0.4963352406636387,0.4963352406636387,0.3526569915920742,0.3526569915920742,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,none,True,True,False,False,False,False,0.0599340104225156,0.0599340104225156,0.1220168532722096,0.4818101385620584,,False,lagged_L3_graph_raw_p05_lost_by_fdr,tau0_L0_none,lagged_pre_fdr_signal_only,V1_yes_graph_raw_p05_lost_by_fdr
