window,pcmci_lagged_layer,n_tests
S1,L0_not_selected_not_raw_p05,1533
S1,L3_graph_selected_raw_p_lost_by_fdr,4
S1,L4_supported_graph_and_window_fdr,3
S2,L0_not_selected_not_raw_p05,1535
S2,L3_graph_selected_raw_p_lost_by_fdr,5
S3,L0_not_selected_not_raw_p05,1532
S3,L3_graph_selected_raw_p_lost_by_fdr,6
S3,L4_supported_graph_and_window_fdr,2
S4,L0_not_selected_not_raw_p05,1532
S4,L3_graph_selected_raw_p_lost_by_fdr,6
S4,L4_supported_graph_and_window_fdr,2
S5,L0_not_selected_not_raw_p05,1532
S5,L3_graph_selected_raw_p_lost_by_fdr,6
S5,L4_supported_graph_and_window_fdr,2
T1,L0_not_selected_not_raw_p05,1535
T1,L3_graph_selected_raw_p_lost_by_fdr,5
T2,L0_not_selected_not_raw_p05,1537
T2,L3_graph_selected_raw_p_lost_by_fdr,3
T3,L0_not_selected_not_raw_p05,1538
T3,L3_graph_selected_raw_p_lost_by_fdr,2
T4,L0_not_selected_not_raw_p05,1538
T4,L3_graph_selected_raw_p_lost_by_fdr,1
T4,L4_supported_graph_and_window_fdr,1
