source_family,target_family,n_rows,n_pcmci_graph_selected_bool,n_raw_p_le_alpha,n_graph_selected_and_raw_p,n_window_fdr_q_le_alpha,n_pcmci_plus_supported_bool,n_graph_selected_raw_p_lost_by_window_fdr,n_raw_p_sig_but_not_graph_selected
H,Je,540,1,1,1,0,0,1,0
H,Jw,540,2,2,2,0,0,2,0
H,P,1260,0,0,0,0,0,0,0
H,V,540,1,1,1,0,0,1,0
Je,H,540,5,5,5,1,1,4,0
Je,Jw,405,2,2,2,0,0,2,0
Je,P,945,0,0,0,0,0,0,0
Je,V,405,0,0,0,0,0,0,0
Jw,H,540,0,0,0,0,0,0,0
Jw,Je,405,16,16,16,5,5,11,0
Jw,P,945,2,2,2,0,0,2,0
Jw,V,405,0,0,0,0,0,0,0
P,H,1260,1,1,1,0,0,1,0
P,Je,945,4,4,4,0,0,4,0
P,Jw,945,0,0,0,0,0,0,0
P,V,945,5,5,5,1,1,4,0
V,H,540,0,0,0,0,0,0,0
V,Je,405,1,1,1,1,1,0,0
V,Jw,405,0,0,0,0,0,0,0
V,P,945,8,8,8,2,2,6,0
