window,source_family,target_family,tau0_lagged_joint_class,n_pairs
S1,H,Je,no_pcmci_signal,11
S1,H,Je,tau0_supported_only,1
S1,H,Jw,no_pcmci_signal,11
S1,H,Jw,tau0_pre_fdr_signal_only,1
S1,H,P,no_pcmci_signal,28
S1,H,V,lagged_pre_fdr_signal_only,1
S1,H,V,no_pcmci_signal,9
S1,H,V,tau0_pre_fdr_signal_only,2
S1,Je,H,no_pcmci_signal,11
S1,Je,H,tau0_supported_only,1
S1,Je,Jw,no_pcmci_signal,8
S1,Je,Jw,tau0_pre_fdr_signal_only,1
S1,Je,P,no_pcmci_signal,19
S1,Je,P,tau0_pre_fdr_signal_only,1
S1,Je,P,tau0_supported_only,1
S1,Je,V,no_pcmci_signal,8
S1,Je,V,tau0_pre_fdr_signal_only,1
S1,Jw,H,no_pcmci_signal,11
S1,Jw,H,tau0_pre_fdr_signal_only,1
S1,Jw,Je,lagged_pre_fdr_signal_only,1
S1,Jw,Je,no_pcmci_signal,7
S1,Jw,Je,tau0_pre_fdr_signal_only,1
S1,Jw,P,no_pcmci_signal,21
S1,Jw,V,no_pcmci_signal,9
S1,P,H,lagged_pre_fdr_signal_only,1
S1,P,H,no_pcmci_signal,27
S1,P,Je,no_pcmci_signal,19
S1,P,Je,tau0_pre_fdr_signal_only,1
S1,P,Je,tau0_supported_only,1
S1,P,Jw,no_pcmci_signal,21
S1,P,V,lagged_pre_fdr_signal_only,1
S1,P,V,lagged_supported_only,1
S1,P,V,no_pcmci_signal,15
S1,P,V,tau0_pre_fdr_signal_only,1
S1,P,V,tau0_supported_only,3
S1,V,H,no_pcmci_signal,10
S1,V,H,tau0_pre_fdr_signal_only,2
S1,V,Je,lagged_supported_only,1
S1,V,Je,no_pcmci_signal,7
S1,V,Je,tau0_pre_fdr_signal_only,1
S1,V,Jw,no_pcmci_signal,9
S1,V,P,both_lagged_and_tau0_supported,1
S1,V,P,no_pcmci_signal,17
S1,V,P,tau0_pre_fdr_signal_only,1
S1,V,P,tau0_supported_only,2
S2,H,Je,no_pcmci_signal,10
S2,H,Je,tau0_pre_fdr_signal_only,2
S2,H,Jw,no_pcmci_signal,11
S2,H,Jw,tau0_pre_fdr_signal_only,1
S2,H,P,no_pcmci_signal,28
S2,H,V,no_pcmci_signal,8
S2,H,V,tau0_supported_only,4
S2,Je,H,no_pcmci_signal,10
S2,Je,H,tau0_pre_fdr_signal_only,2
S2,Je,Jw,no_pcmci_signal,8
S2,Je,Jw,tau0_supported_only,1
S2,Je,P,no_pcmci_signal,18
S2,Je,P,tau0_pre_fdr_signal_only,2
S2,Je,P,tau0_supported_only,1
S2,Je,V,no_pcmci_signal,9
S2,Jw,H,no_pcmci_signal,11
S2,Jw,H,tau0_pre_fdr_signal_only,1
S2,Jw,Je,lagged_pre_fdr_signal_only,1
S2,Jw,Je,no_pcmci_signal,7
S2,Jw,Je,tau0_supported_only,1
S2,Jw,P,lagged_pre_fdr_signal_only,1
S2,Jw,P,no_pcmci_signal,20
S2,Jw,V,no_pcmci_signal,9
S2,P,H,no_pcmci_signal,28
S2,P,Je,lagged_pre_fdr_signal_only,1
S2,P,Je,no_pcmci_signal,17
S2,P,Je,tau0_pre_fdr_signal_only,2
S2,P,Je,tau0_supported_only,1
S2,P,Jw,no_pcmci_signal,21
S2,P,V,no_pcmci_signal,17
S2,P,V,tau0_supported_only,4
S2,V,H,no_pcmci_signal,8
S2,V,H,tau0_supported_only,4
S2,V,Je,no_pcmci_signal,9
S2,V,Jw,no_pcmci_signal,9
S2,V,P,no_pcmci_signal,17
S2,V,P,tau0_supported_only,4
S3,H,Je,both_have_pre_fdr_signal,1
S3,H,Je,no_pcmci_signal,9
S3,H,Je,tau0_pre_fdr_signal_only,1
S3,H,Je,tau0_supported_only,1
S3,H,Jw,lagged_pre_fdr_signal_only,1
S3,H,Jw,no_pcmci_signal,11
S3,H,P,no_pcmci_signal,27
S3,H,P,tau0_pre_fdr_signal_only,1
S3,H,V,no_pcmci_signal,11
S3,H,V,tau0_pre_fdr_signal_only,1
S3,Je,H,lagged_supported_only,1
S3,Je,H,no_pcmci_signal,8
