window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_variant_window,pcmci_plus_supported,support_rule,variant_id,variant_role,pcmci_variable_scope,conditioning_family_rule,n_pcmci_variables,conditioning_variables,q_within_family_edge_window,pcmci_plus_supported_family_fdr
S1,P_main_minus_south,V_strength,P,V,False,1,-->,True,-0.169682736984486,3.074192595619287e-11,lagged_direct_edge_control,source(t-tau)->target(t),1.475612445897258e-08,True,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,9.222577786857862e-10,True
S1,P_main_minus_south,V_strength,P,V,False,2,,False,-0.0033664540200110966,0.8953907358810896,lagged_direct_edge_control,source(t-tau)->target(t),0.9593472170154531,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9181880727290781,False
S1,P_main_minus_south,V_strength,P,V,False,3,,False,-0.01205022015212314,0.6379863448914093,lagged_direct_edge_control,source(t-tau)->target(t),0.8478463690131507,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.832156102032273,False
S1,P_main_minus_south,V_strength,P,V,False,4,,False,0.00611966276004906,0.8111493679953388,lagged_direct_edge_control,source(t-tau)->target(t),0.9217321876034582,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9012770755503764,False
S1,P_main_minus_south,V_strength,P,V,False,5,-->,True,0.062111488529405026,0.0156101600608671,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.11707620045650324,False
S1,P_main_minus_south,V_NS_diff,P,V,False,1,-->,True,-0.08656502973209357,0.0007528394703332858,lagged_direct_edge_control,source(t-tau)->target(t),0.10583282596739224,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.011292592054999287,True
S1,P_main_minus_south,V_NS_diff,P,V,False,2,,False,0.007697968233593377,0.763742070923621,lagged_direct_edge_control,source(t-tau)->target(t),0.9029462907471381,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9012770755503764,False
S1,P_main_minus_south,V_NS_diff,P,V,False,3,,False,0.0026307236526300565,0.9181880727290781,lagged_direct_edge_control,source(t-tau)->target(t),0.9707715306386728,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9181880727290781,False
S1,P_main_minus_south,V_NS_diff,P,V,False,4,,False,0.0255431782897645,0.31852564146380896,lagged_direct_edge_control,source(t-tau)->target(t),0.6934241020122753,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.5621040731714275,False
S1,P_main_minus_south,V_NS_diff,P,V,False,5,,False,0.049333646165793214,0.05504410656054607,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.26039139361240704,False
