window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_variant_window_tau0,tau0_supported,support_rule,variant_id,variant_role,pcmci_variable_scope,conditioning_family_rule,n_pcmci_variables,conditioning_variables
S1,P_main_minus_south,V_strength,P,V,False,0,x-x,True,-0.08015235851885026,0.0017949300891027119,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.014359440712821697,True,tau0_graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat
S1,P_main_minus_south,V_NS_diff,P,V,False,0,x-x,True,0.23334876377275754,3.702109773573859e-20,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",1.7770126913154526e-18,True,tau0_graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat
S1,P_main_minus_south,H_strength,P,H,False,0,,False,0.051937582919357184,0.3673361273109533,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.5772841176491976,False,tau0_graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat
S1,P_main_minus_south,H_centroid_lat,P,H,False,0,,False,0.005161180532170653,0.8407068595479675,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.902723911066808,False,tau0_graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat
S1,P_main_minus_south,Je_strength,P,Je,False,0,,False,0.034125010170237086,0.1840408716834843,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.384085297426402,False,tau0_graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat
S1,P_main_minus_south,Je_axis_lat,P,Je,False,0,,False,0.002615367562393011,0.9188502675954857,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9393069552174237,False,tau0_graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat
S1,P_main_minus_south,Jw_strength,P,Jw,False,0,,False,-0.011279085625056867,0.6602727145521208,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.792327257462545,False,tau0_graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat
S1,P_main_minus_south,Jw_axis_lat,P,Jw,False,0,,False,0.013591138486258217,0.5966013952805992,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7739693776613179,False,tau0_graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat
S1,P_spread_lat,V_strength,P,V,False,0,x-x,True,0.06409881057621118,0.012580627678588443,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.06038701285722452,False,tau0_graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat
S1,P_spread_lat,V_NS_diff,P,V,False,0,,False,0.03901593834254251,0.12940920327630678,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.3105820878631363,False,tau0_graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat
