variant_id,window,source_family,target_family,family_edge,n_lagged_tests,n_lagged_graph_selected,n_lagged_raw_p05,n_lagged_supported_window_fdr,n_lagged_supported_family_fdr,min_q_window,min_q_family,max_abs_val,n_tau0_tests,n_tau0_graph_selected,n_tau0_supported
c1_targeted_no_same_family_controls,S3,V,P,V->P,105,8,8,4,4,0.0008364086059129686,0.0008364086059129686,0.1704513330515585,21,12,11
c1_targeted_no_same_family_controls,T3,V,P,V->P,105,0,0,0,0,0.46313667005982095,0.46313667005982095,0.11771661184469892,21,7,5
c2_family_representative_standard,S1,P,V,P->V,30,4,4,1,2,1.475612445897258e-08,9.222577786857862e-10,0.169682736984486,6,4,3
c2_family_representative_standard,S1,V,Je,V->Je,20,1,1,1,1,0.04281894623341501,0.0035682455194512514,0.09614305635929828,4,0,0
c2_family_representative_standard,S1,V,P,V->P,30,2,2,0,0,0.5717509186962617,0.23651790636536577,0.06702707118585186,6,4,3
c2_family_representative_standard,S1,H,V,H->V,20,1,1,0,0,0.5717509186962617,0.4297774046057206,0.05287351127575914,4,2,2
c2_family_representative_standard,S1,V,H,V->H,20,0,0,0,0,0.5717509186962617,0.3701083466765268,0.04379208602809058,4,2,2
c2_family_representative_standard,S1,H,Jw,H->Jw,20,0,0,0,0,0.5717509186962617,0.5848879021314765,0.04724866972737449,4,1,1
c2_family_representative_standard,S1,Je,Jw,Je->Jw,20,0,0,0,0,0.5717509186962617,0.448641171942353,0.04590120588301769,4,1,1
c2_family_representative_standard,S1,Je,P,Je->P,30,0,0,0,0,0.5717509186962617,0.39959388745964647,0.04844281573682054,6,2,1
c2_family_representative_standard,S1,Jw,H,Jw->H,20,0,0,0,0,0.5717509186962617,0.34258550747549865,0.049089000565145056,4,1,1
c2_family_representative_standard,S1,Jw,Je,Jw->Je,20,2,2,0,1,0.10583282596739224,0.01763880432789871,0.08516163471641586,4,1,1
c2_family_representative_standard,S1,Jw,V,Jw->V,20,0,0,0,0,0.5717509186962617,0.36351859632142886,0.049006508934836976,4,1,1
c2_family_representative_standard,S1,P,Je,P->Je,30,1,1,0,0,0.5717509186962617,0.48220643668265945,0.06183808717770302,6,2,1
c2_family_representative_standard,S1,V,Jw,V->Jw,20,0,0,0,0,0.5717509186962617,0.5715381285145719,0.04886419051777495,4,1,1
c2_family_representative_standard,S1,H,Je,H->Je,20,0,0,0,0,0.5717509186962617,0.8892071494091697,0.04529668345741761,4,1,0
c2_family_representative_standard,S1,H,P,H->P,30,0,0,0,0,0.5717509186962617,0.5762177227485763,0.04834251907857469,6,0,0
c2_family_representative_standard,S1,Je,H,Je->H,20,0,0,0,0,0.5717509186962617,0.7371809114927056,0.04819659924299658,4,1,0
c2_family_representative_standard,S1,Je,V,Je->V,20,0,0,0,0,0.5717509186962617,0.4409352787773638,0.049991516657890894,4,0,0
c2_family_representative_standard,S1,Jw,P,Jw->P,30,0,0,0,0,0.5717509186962617,0.5434132760977829,0.048767390402228716,6,0,0
c2_family_representative_standard,S1,P,H,P->H,30,0,0,0,0,0.5717509186962617,0.7710928926774495,0.04947764748986664,6,0,0
c2_family_representative_standard,S1,P,Jw,P->Jw,30,0,0,0,0,0.5717509186962617,0.48851624518627745,0.04871445508367883,6,0,0
c2_family_representative_standard,S2,P,V,P->V,30,2,2,2,2,1.8647278783432645e-08,1.1654549239645403e-09,0.21423491011851498,6,4,4
c2_family_representative_standard,S2,V,P,V->P,30,2,2,1,1,0.00020191556302932346,3.785916806799815e-05,0.1578554814775584,6,4,4
c2_family_representative_standard,S2,H,V,H->V,20,0,0,0,0,0.5651097157764199,0.39354358621586666,0.06020681288513681,4,3,3
c2_family_representative_standard,S2,V,H,V->H,20,0,0,0,0,0.5651097157764199,0.48004933951137996,0.05926445819798051,4,3,3
c2_family_representative_standard,S2,H,Je,H->Je,20,0,0,0,0,0.5651097157764199,0.7347488418961938,0.061440050742421204,4,2,2
c2_family_representative_standard,S2,Je,H,Je->H,20,0,0,0,0,0.5651097157764199,0.5581289582038388,0.059294624418892744,4,2,2
c2_family_representative_standard,S2,Je,P,Je->P,30,0,0,0,0,0.5651097157764199,0.3344754326859617,0.06337563234066454,6,2,2
c2_family_representative_standard,S2,P,Je,P->Je,30,1,1,0,0,0.5651097157764199,0.40927496341352804,0.07234172931674257,6,2,2
c2_family_representative_standard,S2,H,Jw,H->Jw,20,0,0,0,0,0.5651097157764199,0.26240567880607635,0.06219831368712995,4,1,1
c2_family_representative_standard,S2,Je,Jw,Je->Jw,20,0,0,0,0,0.5651097157764199,0.47437032105077725,0.06307358264091575,4,1,1
c2_family_representative_standard,S2,Jw,H,Jw->H,20,0,0,0,0,0.5651097157764199,0.5774078326868303,0.06019166845650381,4,1,1
c2_family_representative_standard,S2,Jw,Je,Jw->Je,20,1,1,0,1,0.08125767640249575,0.013542946067082624,0.11095342621764898,4,1,1
c2_family_representative_standard,S2,H,P,H->P,30,0,0,0,0,0.5651097157764199,0.5140702172218092,0.06207665446171536,6,0,0
c2_family_representative_standard,S2,Je,V,Je->V,20,0,0,0,0,0.5651097157764199,0.3399861608700152,0.06168393890489551,4,0,0
c2_family_representative_standard,S2,Jw,P,Jw->P,30,0,0,0,0,0.5651097157764199,0.5357558820754467,0.062351249029801846,6,0,0
c2_family_representative_standard,S2,Jw,V,Jw->V,20,0,0,0,0,0.5651097157764199,0.5548867010370073,0.06279806217621611,4,0,0
c2_family_representative_standard,S2,P,H,P->H,30,0,0,0,0,0.5651097157764199,0.5857754473557111,0.06042807148146496,6,0,0
c2_family_representative_standard,S2,P,Jw,P->Jw,30,0,0,0,0,0.5651097157764199,0.580427576583586,0.06309959996946128,6,0,0
c2_family_representative_standard,S2,V,Je,V->Je,20,0,0,0,0,0.5651097157764199,0.8499215375426378,0.05914189939666945,4,0,0
c2_family_representative_standard,S2,V,Jw,V->Jw,20,0,0,0,0,0.5651097157764199,0.6615301504852636,0.06382903150150936,4,0,0
c2_family_representative_standard,S3,V,P,V->P,30,3,3,1,2,0.004675761875120608,0.000584470234390076,0.16454402888506706,6,3,2
c2_family_representative_standard,S3,Jw,Je,Jw->Je,20,2,2,1,2,0.0030738774916431277,0.00012807822881846366,0.17385282135674351,4,1,1
c2_family_representative_standard,S3,Je,P,Je->P,30,0,0,0,0,0.5293251872095357,0.4422516437728494,0.07235167697867854,6,3,2
c2_family_representative_standard,S3,P,Je,P->Je,30,0,0,0,0,0.5293251872095357,0.5600912181158376,0.07531808949083499,6,3,2
c2_family_representative_standard,S3,P,V,P->V,30,0,0,0,0,0.5293251872095357,0.4112877586103079,0.0714772698494402,6,3,2
c2_family_representative_standard,S3,H,Je,H->Je,20,0,0,0,0,0.5293251872095357,0.6303289789129967,0.07376338099130342,4,2,1
c2_family_representative_standard,S3,H,P,H->P,30,0,0,0,0,0.5293251872095357,0.4547714331342737,0.07498264123294111,6,1,1
c2_family_representative_standard,S3,H,V,H->V,20,0,0,0,0,0.5293251872095357,0.4794087127452224,0.06334950742954669,4,1,1
c2_family_representative_standard,S3,Je,H,Je->H,20,0,0,0,0,0.5293251872095357,0.37927191904559293,0.07061538540998519,4,2,1
c2_family_representative_standard,S3,Je,Jw,Je->Jw,20,0,0,0,0,0.5293251872095357,0.265972308152891,0.07330449285989138,4,1,1
c2_family_representative_standard,S3,P,H,P->H,30,0,0,0,0,0.5293251872095357,0.5840768517700319,0.074721104473175,6,1,1
c2_family_representative_standard,S3,V,H,V->H,20,0,0,0,0,0.5293251872095357,0.34409555476956444,0.0735008126957971,4,1,1
c2_family_representative_standard,S3,H,Jw,H->Jw,20,1,1,0,0,0.5293251872095357,0.20241725075318223,0.09951493274843243,4,0,0
c2_family_representative_standard,S3,Je,V,Je->V,20,0,0,0,0,0.5293251872095357,0.6576680916198187,0.06611018448401451,4,0,0
c2_family_representative_standard,S3,Jw,H,Jw->H,20,0,0,0,0,0.5293251872095357,0.29826154690709966,0.07544044833056747,4,0,0
c2_family_representative_standard,S3,Jw,P,Jw->P,30,0,0,0,0,0.5293251872095357,0.4556843800806268,0.07447815224443996,6,0,0
c2_family_representative_standard,S3,Jw,V,Jw->V,20,0,0,0,0,0.5293251872095357,0.4283480729123481,0.07445259422780547,4,0,0
c2_family_representative_standard,S3,P,Jw,P->Jw,30,0,0,0,0,0.5293251872095357,0.6993286899688382,0.0742265000638405,6,0,0
c2_family_representative_standard,S3,V,Je,V->Je,20,0,0,0,0,0.5293251872095357,0.41638170578396666,0.07466921265168946,4,0,0
