window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,variant_id,variant_role,pcmci_variable_scope,conditioning_family_rule,n_pcmci_variables,conditioning_variables,q_within_variant_window_tau0,tau0_supported,support_rule,lead_lag_label,lead_lag_group,same_day_coupling_flag,positive_peak_lag,positive_peak_abs_r,lag0_abs_r,evidence_tier,recommended_usage,pair_phi_risk,v1_lead_lag_yes
S3,V_strength,P_main_band_share,V,P,False,0,x-x,True,0.08046393186063344,0.03847765141029104,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous diagnostic only",c1_targeted_no_same_family_controls,targeted sensitivity: exclude other source-family and target-family variables from conditioning pool for this concrete source-target test,source_target_plus_other_families,source variable + target variable + variables from families other than source_family and target_family,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,0.06733588996800932,False,tau0_graph_selected_and_variant_window_BH_q_le_alpha,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,2,0.2780456906500418,0.243342000273657,Tier2_main_supported_audit_moderate,usable candidate with audit/moderate-risk flag; not a core-only claim,none,True
S3,V_strength,P_south_band_share_18_24,V,P,False,0,,False,-0.07608355223825933,0.050206385409621995,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous diagnostic only",c1_targeted_no_same_family_controls,targeted sensitivity: exclude other source-family and target-family variables from conditioning pool for this concrete source-target test,source_target_plus_other_families,source variable + target variable + variables from families other than source_family and target_family,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,0.08110262258477399,False,tau0_graph_selected_and_variant_window_BH_q_le_alpha,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,4,0.441685118601653,0.2685061870607236,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",none,True
S3,V_strength,P_main_minus_south,V,P,False,0,x-x,True,0.10132561585031075,0.008980743760750686,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous diagnostic only",c1_targeted_no_same_family_controls,targeted sensitivity: exclude other source-family and target-family variables from conditioning pool for this concrete source-target test,source_target_plus_other_families,source variable + target variable + variables from families other than source_family and target_family,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,0.01885956189757644,True,tau0_graph_selected_and_variant_window_BH_q_le_alpha,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,3,0.3726683421596655,0.2842465662666281,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",none,True
S3,V_strength,P_spread_lat,V,P,False,0,,False,0.059998800931579985,0.12161315285565924,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous diagnostic only",c1_targeted_no_same_family_controls,targeted sensitivity: exclude other source-family and target-family variables from conditioning pool for this concrete source-target test,source_target_plus_other_families,source variable + target variable + variables from families other than source_family and target_family,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,0.17025841399792294,False,tau0_graph_selected_and_variant_window_BH_q_le_alpha,lead_lag_yes_clear,lead_lag_yes,False,4,0.3771601831691562,0.1822035537887614,Tier1a_audit_stable_clear_leadlag,strict temporal core for pathway candidate screening,none,True
S3,V_strength,P_north_band_share_35_45,V,P,False,0,,False,0.00018031210682410356,0.9962858150803,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous diagnostic only",c1_targeted_no_same_family_controls,targeted sensitivity: exclude other source-family and target-family variables from conditioning pool for this concrete source-target test,source_target_plus_other_families,source variable + target variable + variables from families other than source_family and target_family,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,0.9962858150803,False,tau0_graph_selected_and_variant_window_BH_q_le_alpha,lead_lag_yes_clear,lead_lag_yes,False,3,0.3382241000092865,0.1682098876511718,Tier1a_audit_stable_clear_leadlag,strict temporal core for pathway candidate screening,none,True
S3,V_strength,P_north_minus_main_35_45,V,P,False,0,,False,-0.05040025600036898,0.1929184146161806,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous diagnostic only",c1_targeted_no_same_family_controls,targeted sensitivity: exclude other source-family and target-family variables from conditioning pool for this concrete source-target test,source_target_plus_other_families,source variable + target variable + variables from families other than source_family and target_family,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,0.23831098276116425,False,tau0_graph_selected_and_variant_window_BH_q_le_alpha,lead_lag_no_not_supported,lead_lag_no,False,1,0.0660865040122774,0.0901076883398308,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,none,False
S3,V_strength,P_total_centroid_lat_10_50,V,P,False,0,,False,0.0291812227631026,0.4514758565013426,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous diagnostic only",c1_targeted_no_same_family_controls,targeted sensitivity: exclude other source-family and target-family variables from conditioning pool for this concrete source-target test,source_target_plus_other_families,source variable + target variable + variables from families other than source_family and target_family,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,0.47404964932640975,False,tau0_graph_selected_and_variant_window_BH_q_le_alpha,lead_lag_yes_with_same_day_coupling,lead_lag_yes,True,3,0.4448482816617275,0.2950997876348205,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",none,True
S3,V_pos_centroid_lat,P_main_band_share,V,P,False,0,,False,0.03533771470190093,0.36290456831741075,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous diagnostic only",c1_targeted_no_same_family_controls,targeted sensitivity: exclude other source-family and target-family variables from conditioning pool for this concrete source-target test,source_target_plus_other_families,source variable + target variable + variables from families other than source_family and target_family,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,0.40110504919292767,False,tau0_graph_selected_and_variant_window_BH_q_le_alpha,lead_lag_no_not_supported,lead_lag_no,False,1,0.076312944572961,0.1272775497309516,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,none,False
S3,V_pos_centroid_lat,P_south_band_share_18_24,V,P,False,0,x-x,True,-0.18240242206817303,2.1943814887132033e-06,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous diagnostic only",c1_targeted_no_same_family_controls,targeted sensitivity: exclude other source-family and target-family variables from conditioning pool for this concrete source-target test,source_target_plus_other_families,source variable + target variable + variables from families other than source_family and target_family,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,1.1520502815744317e-05,True,tau0_graph_selected_and_variant_window_BH_q_le_alpha,lead_lag_ambiguous_bidirectional_close,lead_lag_ambiguous,True,1,0.4355870857860626,0.4432308722320857,Tier4a_ambiguous_bidirectional_close,expanded temporal risk pool only; useful for feedback/same-day/transition audit,none,False
S3,V_pos_centroid_lat,P_main_minus_south,V,P,False,0,x-x,True,0.11887952959029031,0.0021187452759284264,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous diagnostic only",c1_targeted_no_same_family_controls,targeted sensitivity: exclude other source-family and target-family variables from conditioning pool for this concrete source-target test,source_target_plus_other_families,source variable + target variable + variables from families other than source_family and target_family,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,0.004943738977166328,True,tau0_graph_selected_and_variant_window_BH_q_le_alpha,lead_lag_no_reverse_dominant,lead_lag_no,True,1,0.2461823807948805,0.2839973035719967,Tier5b_no_reverse_dominant,do not use original direction; inspect suggested reverse if scientifically relevant,none,False
