window,object,variable,n_years,n_days_train,n_days_extended,n_samples_train,n_gridpoints_total,n_gridpoints_used,grid_used_fraction,pc1_explained_variance_ratio,pc1_singular_value,eof_weighting,sign_reference_variable,sign_reference_corr_abs_after_flip,sign_flipped,pc1_score_train_mean,pc1_score_train_std,quality_flag,notes
S1,P,P_PC1,45,39,49,1755,13041,13041,1.0,0.1855522473261639,7061.433043852398,sqrt_cos_lat,P_total_centroid_lat_10_50,0.6264309226547231,False,-6.554916769534618e-15,173.05562755922182,pc1_low_variance,
S1,V,V_PC1,45,39,49,1755,6561,6561,1.0,0.5058069804039994,5006.318768304369,sqrt_cos_lat,V_NS_diff,0.9636992745904391,False,1.5294805795580776e-14,122.69062537733438,pc1_good,
S1,H,H_PC1,45,39,49,1755,14641,14641,1.0,0.6197226208206511,113740.1369565316,sqrt_cos_lat,H_centroid_lat,0.3104580996232486,True,-2.79676448833477e-13,2787.4470603131354,pc1_good,
S1,Je,Je_PC1,45,39,49,1755,14641,14641,1.0,0.4635688283819569,28544.947286201746,sqrt_cos_lat,Je_axis_lat,0.6775492275554494,False,3.058961159116155e-14,699.5554210570818,pc1_good,
S1,Jw,Jw_PC1,45,39,49,1755,14641,14641,1.0,0.3108868337452324,21246.046544842397,sqrt_cos_lat,Jw_axis_lat,0.10255400000212213,True,3.168209771941732e-14,520.6801360484585,pc1_moderate;sign_reference_weak,
T1,P,P_PC1,45,9,29,405,13041,13041,1.0,0.24338306715701352,5874.784111142662,sqrt_cos_lat,P_total_centroid_lat_10_50,0.8472803815578415,True,1.0666913168941752e-14,291.92036945890356,pc1_moderate,
T1,V,V_PC1,45,9,29,405,6561,6561,1.0,0.42017540538876336,2589.9483473710375,sqrt_cos_lat,V_NS_diff,0.9584850989101019,False,2.2737367544323207e-14,128.69556806521948,pc1_good,
T1,H,H_PC1,45,9,29,405,14641,14641,1.0,0.6120363568866078,49346.85569293819,sqrt_cos_lat,H_centroid_lat,0.413290584858937,False,-2.874452390788514e-13,2452.0649734507133,pc1_good,
T1,Je,Je_PC1,45,9,29,405,14641,14641,1.0,0.4653123748699067,13990.514783983906,sqrt_cos_lat,Je_axis_lat,0.7978817505860057,False,8.87038042469893e-14,695.1942688267509,pc1_good,
T1,Jw,Jw_PC1,45,9,29,405,14641,14641,1.0,0.3010365395489544,10083.22388887718,sqrt_cos_lat,Jw_axis_lat,0.1751374587683178,True,2.5825158198490555e-14,501.039423286204,pc1_moderate,
S2,P,P_PC1,45,26,46,1170,13041,13041,1.0,0.19734012600392128,9567.47653746877,sqrt_cos_lat,P_total_centroid_lat_10_50,0.7289121301863862,True,-2.7984452362243947e-14,279.70773405729483,pc1_low_variance,
