window,source,target,source_object,target_object,source_family,target_family,family_direction,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,p_pos_surrogate,q_pos_within_window,q_pos_global,p_pos_audit_surrogate,q_pos_audit_within_window,T_pos_null95,T_pos_audit_null95,strength_excess,strength_ratio,statistical_support,strength_tier,same_day_coupling_flag,direction_label,pc1_lead_lag_label,pc1_lead_lag_group,pc1_evidence_tier,pc1_evidence_tier_reason,failure_reason,risk_note,suggested_reverse_direction,sample_status,pair_phi_risk,pc1_mode_stability_source,pc1_mode_stability_target,D_pos_0_obs_raw,D_pos_0_CI90_low,D_pos_0_CI90_high,P_D_pos_0_gt_0,P_D_pos_0_lt_0,lag_vs_tau0_label,D_pos_neg_obs_raw,D_pos_neg_CI90_low,D_pos_neg_CI90_high,P_D_pos_neg_gt_0,P_D_pos_neg_lt_0,direction_vs_reverse_label,bootstrap_peak_lag_mode,bootstrap_peak_lag_mode_fraction,bootstrap_peak_lag_entropy,peak_lag_stability_label,stability_judgement,interpretation_guardrail
T3,P_PC1,V_PC1,P,V,P,V,P→V,1,0.5887596634330131,0.5887596634330131,-1,0.5697629735487466,0.5697629735487466,0.6099776850058374,0.6099776850058374,0.000999000999000999,0.0024975024975024975,0.003909134343916952,0.000999000999000999,0.004995004995004995,0.25156960610345086,0.35895657022615485,0.33719005732956225,2.3403449747061353,supported,strong_above_null,True,same_day_dominant,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,same-day dominant/mixed,same_day_exceeds_positive_lag,same_day_dominant,,ok,none,pc1_mode_unstable,pc1_mode_unstable,-0.021218021572824264,-0.052542711581038064,0.008126497391345936,0.121,0.879,lag_tau0_close_uncertain,0.01899668988426695,-0.04004102196249981,0.07441570997232698,0.713,0.287,forward_reverse_close,1.0,1.0,-1.000088900581841e-12,peak_lag_stable,pc1_mode_limited,source_or_target_PC1_mode_unstable; do not use as strong EOF-PC1 lead-lag evidence
T3,P_PC1,H_PC1,P,H,P,H,P→H,1,-0.5214485733152697,0.5214485733152697,-1,-0.538152611308918,0.538152611308918,-0.5460458618895198,0.5460458618895198,0.000999000999000999,0.0024975024975024975,0.003909134343916952,0.000999000999000999,0.004995004995004995,0.25540284111244854,0.3377322147838366,0.2660457322028212,2.041670997252872,supported,strong_above_null,True,same_day_dominant,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,same-day dominant/mixed,same_day_exceeds_positive_lag,same_day_dominant,,ok,moderate,pc1_mode_unstable,pc1_mode_unstable,-0.024597288574250253,-0.0544114632545903,0.0036631394708946273,0.076,0.924,lag_tau0_close_uncertain,-0.016704037993648613,-0.07283340945358333,0.04067512826608552,0.299,0.701,forward_reverse_close,1.0,0.999,0.00790725511023211,peak_lag_stable,pc1_mode_limited,source_or_target_PC1_mode_unstable; do not use as strong EOF-PC1 lead-lag evidence
T3,P_PC1,Je_PC1,P,Je,P,Je,P→Je,1,-0.28393570319511746,0.28393570319511746,-1,-0.2785711627794381,0.2785711627794381,-0.2868774802348282,0.2868774802348282,0.029970029970029972,0.03996003996003996,0.059940059940059943,0.08691308691308691,0.12416155273298131,0.25987524922256033,0.32460609504834537,0.024060453972557128,1.092584630681591,supported,moderate_above_null,True,bidirectional_close,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,bidirectional/feedback-like,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,ok,moderate,pc1_mode_unstable,pc1_mode_unstable,-0.0029417770397108245,-0.033090843238758154,0.04870218623476844,0.478,0.522,lag_tau0_close_uncertain,0.005364540415679464,-0.06201473394555093,0.08236465540949967,0.594,0.406,forward_reverse_close,1.0,0.753,0.7818864401019383,peak_lag_stable,pc1_mode_limited,source_or_target_PC1_mode_unstable; do not use as strong EOF-PC1 lead-lag evidence
T3,P_PC1,Jw_PC1,P,Jw,P,Jw,P→Jw,3,-0.3746129198085063,0.3746129198085063,-1,-0.26174702093703217,0.26174702093703217,-0.3025262353609217,0.3025262353609217,0.004995004995004995,0.009081827263645446,0.014048451548451548,0.024975024975024976,0.05994005994005994,0.27777567844873197,0.3386155605253744,0.09683724135977434,1.3486167035954058,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,moderate,pc1_mode_unstable,pc1_mode_unstable,0.07208668444758481,0.0025130239665804863,0.1825984074302457,0.962,0.038,stable_lag_dominant,0.11286589887147375,0.014449062458307849,0.24303231437071474,0.976,0.024,stable_forward_over_reverse,3.0,0.357,1.4817689009121398,peak_lag_unstable,pc1_mode_limited,source_or_target_PC1_mode_unstable; do not use as strong EOF-PC1 lead-lag evidence
T3,V_PC1,P_PC1,V,P,V,P,V→P,1,0.5867313911863782,0.5867313911863782,-1,0.56492233392926,0.56492233392926,0.6099776850058374,0.6099776850058374,0.000999000999000999,0.0024975024975024975,0.003909134343916952,0.000999000999000999,0.004995004995004995,0.2530726467875586,0.35589234952231413,0.3336587443988196,2.3184306902946683,supported,strong_above_null,True,same_day_dominant,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,same-day dominant/mixed,same_day_exceeds_positive_lag,same_day_dominant,,ok,none,pc1_mode_unstable,pc1_mode_unstable,-0.023246293819459307,-0.0505425407987745,0.0040584539699724835,0.084,0.916,lag_tau0_close_uncertain,0.02180905725711857,-0.03353171131798063,0.08270843157270213,0.709,0.291,forward_reverse_close,1.0,1.0,-1.000088900581841e-12,peak_lag_stable,pc1_mode_limited,source_or_target_PC1_mode_unstable; do not use as strong EOF-PC1 lead-lag evidence
T3,V_PC1,H_PC1,V,H,V,H,V→H,1,-0.24187826936116671,0.24187826936116671,-1,-0.25540207882951976,0.25540207882951976,-0.25812005286943623,0.25812005286943623,0.07292707292707293,0.07292707292707293,0.11933521024430116,0.10789210789210789,0.14385614385614384,0.2611202462241914,0.28165888947039946,-0.019241976863024673,0.9263099007401211,not_supported,not_supported,True,same_day_only,PC1_no_same_day_only,PC1_lead_lag_no,PC1_Tier5c_no_same_day_only,same-day coupling but no positive-lag support,same_day_only_without_positive_lag_support,same_day_coupling,,ok,moderate,pc1_mode_unstable,pc1_mode_unstable,-0.01624178350826941,-0.04967461650441131,0.039920729873875356,0.284,0.716,lag_tau0_close_uncertain,-0.013523809468353049,-0.10023818200843607,0.06437080196783142,0.396,0.604,forward_reverse_close,1.0,0.879,0.46446525232437735,peak_lag_stable,pc1_mode_limited,source_or_target_PC1_mode_unstable; do not use as strong EOF-PC1 lead-lag evidence
T3,V_PC1,Je_PC1,V,Je,V,Je,V→Je,1,-0.27603560493556234,0.27603560493556234,-2,-0.32917505887238296,0.32917505887238296,-0.30655566062224643,0.30655566062224643,0.03796203796203796,0.04583651642475172,0.0734749121845896,0.18581418581418582,0.20646020646020646,0.2619704281713304,0.36129070148859305,0.014065176764231913,1.0536899407403082,supported,moderate_above_null,True,same_day_dominant,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,same-day dominant/mixed,same_day_exceeds_positive_lag,same_day_dominant,,ok,moderate,pc1_mode_unstable,pc1_mode_unstable,-0.03052005568668381,-0.06598164158395416,0.018425530183080095,0.117,0.883,mixed_lag_tau0_unstable,-0.0531394539368204,-0.1900462566950427,0.019366252006483932,0.117,0.883,mixed_forward_reverse_unstable,1.0,0.905,0.44381805540195796,peak_lag_stable,pc1_mode_limited,source_or_target_PC1_mode_unstable; do not use as strong EOF-PC1 lead-lag evidence
T3,V_PC1,Jw_PC1,V,Jw,V,Jw,V→Jw,1,-0.24105840717422994,0.24105840717422994,-3,-0.2739309437454452,0.2739309437454452,-0.253059750229049,0.253059750229049,0.07092907092907093,0.07292707292707293,0.11821511821511822,0.21678321678321677,0.22819285977180712,0.2559861072919626,0.33264102541898516,-0.014927700117732645,0.9416855067814013,not_supported,not_supported,True,same_day_only,PC1_no_same_day_only,PC1_lead_lag_no,PC1_Tier5c_no_same_day_only,same-day coupling but no positive-lag support,same_day_only_without_positive_lag_support,same_day_coupling,,ok,moderate,pc1_mode_unstable,pc1_mode_unstable,-0.012001343054819147,-0.044377443624513416,0.06660738151665688,0.381,0.619,lag_tau0_close_uncertain,-0.03287253657121508,-0.175529104951317,0.05498316678173203,0.248,0.752,mixed_forward_reverse_unstable,1.0,0.69,1.041264612315458,peak_lag_stable,pc1_mode_limited,source_or_target_PC1_mode_unstable; do not use as strong EOF-PC1 lead-lag evidence
T3,H_PC1,P_PC1,H,P,H,P,H→P,1,-0.5618506548041226,0.5618506548041226,-1,-0.4989689704744113,0.4989689704744113,-0.5460458618895198,0.5460458618895198,0.000999000999000999,0.0024975024975024975,0.003909134343916952,0.000999000999000999,0.004995004995004995,0.2554620028034096,0.33918631746343175,0.30638865200071297,2.199351170187505,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,moderate,pc1_mode_unstable,pc1_mode_unstable,0.015804792914602794,-0.015476420001158203,0.057283666102683165,0.806,0.194,lag_tau0_close_uncertain,0.0628816843297117,0.0028685432839773706,0.13419109363189038,0.957,0.043,stable_forward_over_reverse,1.0,0.782,0.5553214346658666,peak_lag_stable,pc1_mode_limited,source_or_target_PC1_mode_unstable; do not use as strong EOF-PC1 lead-lag evidence
T3,H_PC1,V_PC1,H,V,H,V,H→V,4,-0.3593378309715851,0.3593378309715851,-1,-0.21524463685129322,0.21524463685129322,-0.25812005286943623,0.25812005286943623,0.003996003996003996,0.007992007992007992,0.011601301923882569,0.012987012987012988,0.03710575139146568,0.2524958880929458,0.2783423083970343,0.1068419428786393,1.4231432982358505,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,moderate,pc1_mode_unstable,pc1_mode_unstable,0.10121777810214916,0.014434814618940563,0.2259028199377456,0.988,0.012,stable_lag_dominant,0.14409319412029217,0.02886804543797965,0.27422489038810305,0.985,0.015,stable_forward_over_reverse,5.0,0.425,1.3140075126996613,peak_lag_moderate,pc1_mode_limited,source_or_target_PC1_mode_unstable; do not use as strong EOF-PC1 lead-lag evidence
