object_name,feature_name,lat_value
P,P_lat_15.0,15.0
P,P_lat_17.0,17.0
P,P_lat_19.0,19.0
P,P_lat_21.0,21.0
P,P_lat_23.0,23.0
P,P_lat_25.0,25.0
P,P_lat_27.0,27.0
P,P_lat_29.0,29.0
P,P_lat_31.0,31.0
P,P_lat_33.0,33.0
P,P_lat_35.0,35.0
P,P_lat_37.0,37.0
P,P_lat_39.0,39.0
V,V_lat_10.0,10.0
V,V_lat_12.0,12.0
V,V_lat_14.0,14.0
V,V_lat_16.0,16.0
V,V_lat_18.0,18.0
V,V_lat_20.0,20.0
V,V_lat_22.0,22.0
V,V_lat_24.0,24.0
V,V_lat_26.0,26.0
V,V_lat_28.0,28.0
V,V_lat_30.0,30.0
H,H_lat_15.0,15.0
H,H_lat_17.0,17.0
H,H_lat_19.0,19.0
H,H_lat_21.0,21.0
H,H_lat_23.0,23.0
H,H_lat_25.0,25.0
H,H_lat_27.0,27.0
H,H_lat_29.0,29.0
H,H_lat_31.0,31.0
H,H_lat_33.0,33.0
H,H_lat_35.0,35.0
Je,Je_lat_25.0,25.0
Je,Je_lat_27.0,27.0
Je,Je_lat_29.0,29.0
Je,Je_lat_31.0,31.0
Je,Je_lat_33.0,33.0
Je,Je_lat_35.0,35.0
Je,Je_lat_37.0,37.0
Je,Je_lat_39.0,39.0
Je,Je_lat_41.0,41.0
Je,Je_lat_43.0,43.0
Je,Je_lat_45.0,45.0
Jw,Jw_lat_25.0,25.0
Jw,Jw_lat_27.0,27.0
Jw,Jw_lat_29.0,29.0
Jw,Jw_lat_31.0,31.0
Jw,Jw_lat_33.0,33.0
Jw,Jw_lat_35.0,35.0
Jw,Jw_lat_37.0,37.0
Jw,Jw_lat_39.0,39.0
Jw,Jw_lat_41.0,41.0
Jw,Jw_lat_43.0,43.0
Jw,Jw_lat_45.0,45.0
