window_id,drop_block,peak_ratio_after_drop,min_peak_ratio_after_drop,most_critical_block
GW01,P,0.9999969080008859,0.018746001883033374,H
GW01,V,0.9999952942455286,0.018746001883033374,H
GW01,H,0.018746001883033374,0.018746001883033374,H
GW01,Je,0.999886034347535,0.018746001883033374,H
GW01,Jw,0.9999460491563805,0.018746001883033374,H
GW02,P,0.9999862940212529,0.011838127167566914,H
GW02,V,0.9999994586155997,0.011838127167566914,H
GW02,H,0.011838127167566914,0.011838127167566914,H
GW02,Je,0.9999818105256144,0.011838127167566914,H
GW02,Jw,0.999962365245971,0.011838127167566914,H
GW03,P,0.9999952909580181,0.007809656677600903,H
GW03,V,0.999994504738367,0.007809656677600903,H
GW03,H,0.007809656677600903,0.007809656677600903,H
GW03,Je,0.9999931608535508,0.007809656677600903,H
GW03,Jw,0.9999861112095638,0.007809656677600903,H
GW04,P,0.9999968658740307,0.007551367002514062,H
GW04,V,0.9999994235151294,0.007551367002514062,H
GW04,H,0.007551367002514062,0.007551367002514062,H
GW04,Je,0.9999882490615082,0.007551367002514062,H
GW04,Jw,0.9999869203281775,0.007551367002514062,H
GW05,P,0.9999960103735862,0.0070587349049361005,H
GW05,V,0.9999932519726119,0.0070587349049361005,H
GW05,H,0.0070587349049361005,0.0070587349049361005,H
GW05,Je,0.9999950189885825,0.0070587349049361005,H
GW05,Jw,0.9999904571573941,0.0070587349049361005,H
GW06,P,0.9999944803914429,0.010460790421080944,H
GW06,V,0.999997791964147,0.010460790421080944,H
GW06,H,0.010460790421080944,0.010460790421080944,H
GW06,Je,0.9999871404584812,0.010460790421080944,H
GW06,Jw,0.9999642846301587,0.010460790421080944,H
GW07,P,0.9999883368443948,0.010248019141925553,H
GW07,V,0.9999954285947827,0.010248019141925553,H
GW07,H,0.010248019141925553,0.010248019141925553,H
GW07,Je,0.9999837279359788,0.010248019141925553,H
GW07,Jw,0.9999796163845089,0.010248019141925553,H
GW08,P,0.9999924773451803,0.014997800155711958,H
GW08,V,0.9999990517450279,0.014997800155711958,H
GW08,H,0.014997800155711958,0.014997800155711958,H
GW08,Je,0.999965933347764,0.014997800155711958,H
GW08,Jw,0.9999279153144033,0.014997800155711958,H
GW09,P,0.999993239542747,0.0117802924786235,H
GW09,V,0.9999841562161373,0.0117802924786235,H
GW09,H,0.0117802924786235,0.0117802924786235,H
GW09,Je,0.9999908003399413,0.0117802924786235,H
GW09,Jw,0.9999583981563835,0.0117802924786235,H
GW10,P,0.9999981143614269,0.01830185649927651,H
GW10,V,0.9999969791382344,0.01830185649927651,H
GW10,H,0.01830185649927651,0.01830185649927651,H
GW10,Je,0.999882245512215,0.01830185649927651,H
GW10,Jw,0.9999514275467472,0.01830185649927651,H
GW11,P,0.9999923973937244,0.010362013834259035,H
GW11,V,0.9999952861415314,0.010362013834259035,H
GW11,H,0.010362013834259035,0.010362013834259035,H
GW11,Je,0.9999806044972129,0.010362013834259035,H
GW11,Jw,0.9999775497684856,0.010362013834259035,H
