object,replicate_id,replicate_kind,replicate_label,candidate_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
H,0,bootstrap,0,CP001,19,04-20,34,8.394381106915572,5.458767928569678,15,15,no_match
H,0,bootstrap,0,CP002,35,05-06,34,8.394381106915572,5.458767928569678,-1,1,strict
H,0,bootstrap,0,CP003,57,05-28,54,5.660463289402565,4.378295776683993,-3,3,matched
H,0,bootstrap,0,CP004,77,06-17,75,17.402449345286893,10.674552166740433,-2,2,strict
H,0,bootstrap,0,CP005,95,07-05,95,33.72819375224341,32.55875604548554,0,0,strict
H,0,bootstrap,0,CP006,115,07-25,115,27.65560289910064,26.99888616904867,0,0,strict
H,0,bootstrap,0,CP007,129,08-08,127,0.27820158477729207,0.07345214838759428,-2,2,strict
H,0,bootstrap,0,CP008,155,09-03,153,13.071576240182774,10.88642216397974,-2,2,strict
H,1,bootstrap,1,CP001,19,04-20,17,33.33647517069085,7.809714588450255,-2,2,strict
H,1,bootstrap,1,CP002,35,05-06,33,6.656010326547555,0.06329651934318115,-2,2,strict
H,1,bootstrap,1,CP003,57,05-28,61,1.1734650022724367,0.3661121777671248,4,4,matched
H,1,bootstrap,1,CP004,77,06-17,76,20.85628602466595,19.456639323750014,-1,1,strict
H,1,bootstrap,1,CP005,95,07-05,91,14.823662758743623,4.163360477735152,-4,4,matched
H,1,bootstrap,1,CP006,115,07-25,116,44.62329822884921,43.85526708275817,1,1,strict
H,1,bootstrap,1,CP007,129,08-08,131,22.435481152831507,21.784123509856535,2,2,strict
H,1,bootstrap,1,CP008,155,09-03,153,2.7299284677297946,2.48061734606994,-2,2,strict
H,2,bootstrap,2,CP001,19,04-20,16,38.09217817930226,4.7512601376312915,-3,3,matched
H,2,bootstrap,2,CP002,35,05-06,35,16.10151527811224,12.894132972456175,0,0,strict
H,2,bootstrap,2,CP003,57,05-28,54,6.560748512464119,5.532584956348595,-3,3,matched
H,2,bootstrap,2,CP004,77,06-17,77,13.201878791261937,10.718719409781322,0,0,strict
H,2,bootstrap,2,CP005,95,07-05,93,9.694631142547529,5.6130942419159995,-2,2,strict
H,2,bootstrap,2,CP006,115,07-25,116,38.511651676437666,37.6500784655001,1,1,strict
H,2,bootstrap,2,CP007,129,08-08,133,14.54864894702304,13.851934871927494,4,4,matched
