object,window_id,start_day,end_day,center_day,main_peak_day,n_member_points,member_candidate_ids,max_member_bootstrap_match_fraction,merge_reason,protected_split_flag
P,W001,16,20,18,18,1,CP001,0.793,non_overlap,False
P,W002,32,36,34,34,1,CP002,0.6,non_overlap,False
P,W003,38,48,43,45,1,CP003,0.985,non_overlap,False
P,W004,63,67,65,65,1,CP004,0.811,non_overlap,False
P,W005,74,91,82,82,1,CP005,0.916,non_overlap,False
P,W006,93,97,95,95,1,CP006,0.695,non_overlap,False
P,W007,110,116,113,113,1,CP007,0.938,non_overlap,False
P,W008,124,128,126,126,1,CP008,0.839,non_overlap,False
P,W009,136,140,138,138,1,CP009,0.918,non_overlap,False
P,W010,153,161,157,158,1,CP010,0.957,final_group,False
