object,window_id,main_peak_day,main_peak_candidate_id,main_peak_bootstrap_match_fraction,n_returned_replicates_for_interval,return_day_median,return_day_q02_5,return_day_q97_5,return_day_p10,return_day_p90,return_day_iqr,return_day_width95,return_day_width80
P,W001,18,CP001,0.793,822,19.0,15.0,24.0,15.0,22.0,3.0,9.0,7.0
P,W002,34,CP002,0.6,804,34.0,27.0,42.0,30.0,41.0,2.0,15.0,11.0
P,W003,45,CP003,0.985,995,45.0,40.0,47.0,41.0,46.0,2.0,7.0,5.0
P,W004,65,CP004,0.811,899,65.0,57.0,71.0,63.0,69.0,1.0,14.0,6.0
P,W005,82,CP005,0.916,993,82.0,76.0,88.0,77.2,86.0,5.0,12.0,8.799999999999997
P,W006,95,CP006,0.695,856,96.0,87.0,102.625,91.0,101.0,4.0,15.625,10.0
P,W007,113,CP007,0.938,967,113.0,108.0,118.0,110.0,116.0,3.0,10.0,6.0
P,W008,126,CP008,0.839,937,126.0,120.4,133.0,124.0,131.0,3.0,12.599999999999994,7.0
P,W009,138,CP009,0.918,981,138.0,132.0,143.0,134.0,142.0,3.0,11.0,8.0
P,W010,158,CP010,0.957,996,158.0,153.0,163.0,154.0,159.0,2.0,10.0,5.0
