object,replicate_id,replicate_kind,replicate_label,candidate_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
V,0,bootstrap,0,CP001,16,04-17,24,5.044955685395836,0.16842465713793686,8,8,near
V,0,bootstrap,0,CP002,30,05-01,31,6.72932580408586,0.18990291325728936,1,1,strict
V,0,bootstrap,0,CP003,45,05-16,46,18.18625901279213,15.927446884180473,1,1,strict
V,0,bootstrap,0,CP004,69,06-09,75,25.639310713581743,23.586072190576626,6,6,near
V,0,bootstrap,0,CP005,80,06-20,75,25.639310713581743,23.586072190576626,-5,5,matched
V,0,bootstrap,0,CP006,95,07-05,95,13.142345558866612,2.118506624412694,0,0,strict
V,0,bootstrap,0,CP007,114,07-24,114,19.754602524275178,15.556456328140067,0,0,strict
V,0,bootstrap,0,CP008,136,08-15,135,10.753381631215653,5.7300655338355835,-1,1,strict
V,0,bootstrap,0,CP009,161,09-09,165,41.93509528946055,10.433909805442916,4,4,matched
V,1,bootstrap,1,CP001,16,04-17,27,5.015462999305077,1.6010081028476861,11,11,no_match
V,1,bootstrap,1,CP002,30,05-01,27,5.015462999305077,1.6010081028476861,-3,3,matched
V,1,bootstrap,1,CP003,45,05-16,44,22.84682769023634,20.30697806471902,-1,1,strict
V,1,bootstrap,1,CP004,69,06-09,77,31.736433196272515,30.332509354302488,8,8,near
V,1,bootstrap,1,CP005,80,06-20,77,31.736433196272515,30.332509354302488,-3,3,matched
V,1,bootstrap,1,CP006,95,07-05,93,9.984028156178697,4.279903262116109,-2,2,strict
V,1,bootstrap,1,CP007,114,07-24,113,24.08108695845477,21.842322122548556,-1,1,strict
V,1,bootstrap,1,CP008,136,08-15,135,6.314555723510161,0.5413637843069186,-1,1,strict
V,1,bootstrap,1,CP009,161,09-09,163,33.2658041930962,2.8458239428974004,2,2,strict
V,2,bootstrap,2,CP001,16,04-17,33,5.863101556264458,0.9418965694635046,17,17,no_match
V,2,bootstrap,2,CP002,30,05-01,33,5.863101556264458,0.9418965694635046,3,3,matched
V,2,bootstrap,2,CP003,45,05-16,45,28.94678117431983,26.340209008822725,0,0,strict
V,2,bootstrap,2,CP004,69,06-09,76,30.340259155043782,28.21329987593461,7,7,near
V,2,bootstrap,2,CP005,80,06-20,76,30.340259155043782,28.21329987593461,-4,4,matched
V,2,bootstrap,2,CP006,95,07-05,103,4.934580081165818,1.1641909607334568,8,8,near
V,2,bootstrap,2,CP007,114,07-24,115,39.21192363258829,37.14270883150694,1,1,strict
V,2,bootstrap,2,CP008,136,08-15,142,3.572504146947818,0.8121850607928449,6,6,near
V,2,bootstrap,2,CP009,161,09-09,159,26.534083340040393,4.107358667079922,-2,2,strict
V,3,bootstrap,3,CP001,16,04-17,29,14.822483784613228,6.3926470740158,13,13,no_match
V,3,bootstrap,3,CP002,30,05-01,29,14.822483784613228,6.3926470740158,-1,1,strict
V,3,bootstrap,3,CP003,45,05-16,44,22.91361695288559,21.209634461165102,-1,1,strict
V,3,bootstrap,3,CP004,69,06-09,64,31.932573249922022,29.909447377018317,-5,5,matched
V,3,bootstrap,3,CP005,80,06-20,84,21.154912286605132,14.789096264116376,4,4,matched
V,3,bootstrap,3,CP006,95,07-05,96,13.305316862304451,9.530138406343381,1,1,strict
V,3,bootstrap,3,CP007,114,07-24,118,14.506738090622001,11.25892518217067,4,4,matched
V,3,bootstrap,3,CP008,136,08-15,137,13.964306497524905,4.614877784593983,1,1,strict
V,3,bootstrap,3,CP009,161,09-09,162,53.50192676830534,24.5418848025152,1,1,strict
V,4,bootstrap,4,CP001,16,04-17,22,9.006097483614056,0.020996657828110443,6,6,near
V,4,bootstrap,4,CP002,30,05-01,22,9.006097483614056,0.020996657828110443,-8,8,near
V,4,bootstrap,4,CP003,45,05-16,42,13.82976421052667,11.420172510006216,-3,3,matched
V,4,bootstrap,4,CP004,69,06-09,69,24.556574351868953,22.498785157752557,0,0,strict
V,4,bootstrap,4,CP005,80,06-20,69,24.556574351868953,22.498785157752557,-11,11,no_match
V,4,bootstrap,4,CP006,95,07-05,95,7.135901656822693,1.3259325284013936,0,0,strict
V,4,bootstrap,4,CP007,114,07-24,114,22.962980223432208,19.173850919643396,0,0,strict
V,4,bootstrap,4,CP008,136,08-15,135,26.564393771783834,25.264613939768385,-1,1,strict
V,4,bootstrap,4,CP009,161,09-09,164,58.71628930448408,20.828588428746954,3,3,matched
V,5,bootstrap,5,CP001,16,04-17,19,9.632397316369119,0.05991160824471464,3,3,matched
V,5,bootstrap,5,CP002,30,05-01,29,13.761798666852123,10.636163272313725,-1,1,strict
V,5,bootstrap,5,CP003,45,05-16,40,12.217564396080405,1.7242009738215707,-5,5,matched
V,5,bootstrap,5,CP004,69,06-09,80,23.408352229940707,19.730949344347895,11,11,no_match
V,5,bootstrap,5,CP005,80,06-20,80,23.408352229940707,19.730949344347895,0,0,strict
V,5,bootstrap,5,CP006,95,07-05,97,17.11449962429198,9.199703092289035,2,2,strict
V,5,bootstrap,5,CP007,114,07-24,112,12.62120445866844,2.312853086301546,-2,2,strict
V,5,bootstrap,5,CP008,136,08-15,141,9.280358840937854,0.38066061630480696,5,5,matched
V,5,bootstrap,5,CP009,161,09-09,161,13.194767435900943,0.054026565492087286,0,0,strict
V,6,bootstrap,6,CP001,16,04-17,16,2.8535476256263235,0.011004302632511287,0,0,strict
V,6,bootstrap,6,CP002,30,05-01,30,2.129736837836679,0.2742494958810666,0,0,strict
V,6,bootstrap,6,CP003,45,05-16,45,26.994285502433378,23.87441984464066,0,0,strict
V,6,bootstrap,6,CP004,69,06-09,64,12.985067950699225,6.150359749280462,-5,5,matched
V,6,bootstrap,6,CP005,80,06-20,81,26.815018584774705,20.204900171650774,1,1,strict
V,6,bootstrap,6,CP006,95,07-05,92,10.35036878964695,0.9809446549783498,-3,3,matched
V,6,bootstrap,6,CP007,114,07-24,114,26.84444031129138,22.673889510038933,0,0,strict
V,6,bootstrap,6,CP008,136,08-15,137,6.854902008489537,0.2830275523997132,1,1,strict
V,6,bootstrap,6,CP009,161,09-09,162,41.49254541705335,17.014701598416174,1,1,strict
V,7,bootstrap,7,CP001,16,04-17,17,8.635108506559696,2.715862127229965,1,1,strict
V,7,bootstrap,7,CP002,30,05-01,30,7.629323182887432,0.3035203733228746,0,0,strict
V,7,bootstrap,7,CP003,45,05-16,45,20.081161019717342,14.358199732693361,0,0,strict
V,7,bootstrap,7,CP004,69,06-09,67,21.65119450626622,19.4581872184298,-2,2,strict
V,7,bootstrap,7,CP005,80,06-20,76,17.134091165398775,0.3253300344673029,-4,4,matched
V,7,bootstrap,7,CP006,95,07-05,97,16.41964703278098,11.044528929638567,2,2,strict
V,7,bootstrap,7,CP007,114,07-24,117,19.063173120934863,15.255627581029053,3,3,matched
V,7,bootstrap,7,CP008,136,08-15,149,17.015813352785308,3.151747296382112,13,13,no_match
V,7,bootstrap,7,CP009,161,09-09,167,27.762856075069234,0.05378026014428272,6,6,near
V,8,bootstrap,8,CP001,16,04-17,18,8.608864711560194,2.7901907011809826,2,2,strict
V,8,bootstrap,8,CP002,30,05-01,18,8.608864711560194,2.7901907011809826,-12,12,no_match
V,8,bootstrap,8,CP003,45,05-16,44,15.654810231358438,12.912050604645962,-1,1,strict
V,8,bootstrap,8,CP004,69,06-09,66,14.899521231340668,5.090596437707555,-3,3,matched
V,8,bootstrap,8,CP005,80,06-20,81,17.75188408911772,15.234502072709835,1,1,strict
V,8,bootstrap,8,CP006,95,07-05,101,15.454197976948816,1.3654946945465145,6,6,near
V,8,bootstrap,8,CP007,114,07-24,117,15.542551750010736,8.880733592396304,3,3,matched
V,8,bootstrap,8,CP008,136,08-15,136,5.925310514428601,1.9427308053059802,0,0,strict
V,8,bootstrap,8,CP009,161,09-09,160,52.37413266623887,36.81658548517969,-1,1,strict
V,9,bootstrap,9,CP001,16,04-17,18,16.138738292333862,6.743511981794624,2,2,strict
V,9,bootstrap,9,CP002,30,05-01,18,16.138738292333862,6.743511981794624,-12,12,no_match
V,9,bootstrap,9,CP003,45,05-16,45,34.06783116682833,31.50278566261052,0,0,strict
V,9,bootstrap,9,CP004,69,06-09,64,11.331080048891508,4.245713688424324,-5,5,matched
V,9,bootstrap,9,CP005,80,06-20,83,11.054963287985801,4.152055618914332,3,3,matched
V,9,bootstrap,9,CP006,95,07-05,96,6.668830830613744,1.2464718163001516,1,1,strict
V,9,bootstrap,9,CP007,114,07-24,115,20.881191386397752,17.40138969759504,1,1,strict
V,9,bootstrap,9,CP008,136,08-15,136,18.511927063590385,12.762446862843815,0,0,strict
V,9,bootstrap,9,CP009,161,09-09,162,33.95683043819013,18.326066626791917,1,1,strict
V,10,bootstrap,10,CP001,16,04-17,19,6.164588552954892,0.21844474067610165,3,3,matched
V,10,bootstrap,10,CP002,30,05-01,29,5.942903306655436,0.12723729753058954,-1,1,strict
V,10,bootstrap,10,CP003,45,05-16,44,23.048292202441882,20.99908528311448,-1,1,strict
V,10,bootstrap,10,CP004,69,06-09,66,11.996473190577667,0.6014668985126352,-3,3,matched
V,10,bootstrap,10,CP005,80,06-20,79,28.118964253638296,24.617857316833618,-1,1,strict
