feature_index,object_name,lat_value,raw_mean_day,raw_std_day,z_mean_day,z_std_day
0,V,10.0,1.1287841210249299,0.7781317045842304,7.714463988252516e-16,0.9999999999999999
1,V,12.0,1.3875097955885316,0.720207529184087,-4.669280834994944e-16,1.0
2,V,14.0,1.6366530582105745,0.7137969973368832,4.77078694010353e-16,0.9999999999999998
3,V,16.0,2.003429350304231,0.8738481172063427,1.502290355607069e-15,1.0
4,V,18.0,2.2694929123254473,1.061443401468341,-2.0301221021717148e-17,1.0
5,V,20.0,2.442780875036755,1.250247025695879,1.1368683772161603e-15,1.0
6,V,22.0,2.8762503339241072,1.5921199892777826,8.932537249555546e-16,1.0
7,V,24.0,3.032103483006638,1.7665840414256972,4.466268624777773e-16,1.0
8,V,26.0,2.6619286570103036,1.8067836716260792,-1.1571695982378775e-15,0.9999999999999997
9,V,28.0,2.1239377179134444,1.497176266993266,-2.1316282072803005e-16,1.0
10,V,30.0,1.542325563115779,1.2507112458395762,4.0602442043434296e-17,0.9999999999999999
