scope,object,config_id,candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days,object_support_class,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status
H_only,H,SMOOTH_INPUT_5D,CP001,18,0.634,0.88,0.046,0.074,21.029865752835818,1.0,object_candidate,smooth_input,smoothed_fields_input,smooth5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
H_only,H,SMOOTH_INPUT_5D,CP002,35,0.698,0.955,0.018,0.027,12.931412841924956,2.0,object_strong_candidate,smooth_input,smoothed_fields_input,smooth5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
H_only,H,SMOOTH_INPUT_5D,CP003,55,0.611,0.868,0.081,0.051,5.483339674529304,2.0,object_candidate,smooth_input,smoothed_fields_input,smooth5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
H_only,H,SMOOTH_INPUT_5D,CP004,60,0.31,0.636,0.268,0.096,5.695189172922729,4.0,object_weak_candidate,smooth_input,smoothed_fields_input,smooth5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
H_only,H,SMOOTH_INPUT_5D,CP005,77,0.722,0.95,0.046,0.004,16.075813374830076,2.0,object_strong_candidate,smooth_input,smoothed_fields_input,smooth5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
H_only,H,SMOOTH_INPUT_5D,CP006,95,0.775,0.937,0.025,0.038,17.9406109132752,1.0,object_candidate,smooth_input,smoothed_fields_input,smooth5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
H_only,H,SMOOTH_INPUT_5D,CP007,113,0.777,0.963,0.037,0.0,37.53514610939881,1.0,object_strong_candidate,smooth_input,smoothed_fields_input,smooth5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
H_only,H,SMOOTH_INPUT_5D,CP008,129,0.724,0.943,0.025,0.032,8.85173253014485,1.0,object_candidate,smooth_input,smoothed_fields_input,smooth5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
H_only,H,SMOOTH_INPUT_5D,CP009,145,0.433,0.67,0.174,0.156,4.901514154576538,3.0,object_weak_candidate,smooth_input,smoothed_fields_input,smooth5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
H_only,H,SMOOTH_INPUT_5D,CP010,155,0.79,0.972,0.022,0.006,13.463859551786639,1.0,object_strong_candidate,smooth_input,smoothed_fields_input,smooth5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
