scope,object,config_id,candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days,object_support_class,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP001,18,0.627,0.829,0.123,0.048,6.329037144979477,1.0,object_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP002,26,0.791,0.868,0.131,0.001,8.47100982166079,1.0,object_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP003,34,0.825,0.872,0.11,0.018,8.854647741699987,1.0,object_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP004,46,0.957,0.994,0.004,0.002,14.979946476672353,1.0,object_strong_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP005,78,0.622,0.895,0.072,0.033,7.922131466123053,2.0,object_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP006,84,0.463,0.789,0.18,0.031,8.719998635127055,4.0,object_weak_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP007,91,0.512,0.792,0.187,0.021,9.959992467918942,3.0,object_weak_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP008,98,0.547,0.664,0.247,0.089,10.830721770079887,3.0,object_weak_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP009,111,0.831,0.989,0.011,0.0,20.06602006640832,2.0,object_strong_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP010,135,0.667,0.888,0.105,0.007,17.083792076821748,2.0,object_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,CP011,162,0.948,0.994,0.001,0.005,23.281910515482203,1.0,object_strong_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
