scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,baseline_candidate_day,perturbed_candidate_day,candidate_match_class,baseline_strict_fraction,perturbed_strict_fraction,baseline_match_fraction,perturbed_match_fraction,match_fraction_delta,baseline_near_fraction,perturbed_near_fraction,baseline_support_class,perturbed_support_class,support_class_changed,bootstrap_status
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,18,18.0,SAME_DAY,0.582,0.582,0.745,0.745,0.0,0.025,0.025,joint_weak_candidate,joint_weak_candidate,0.0,run
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,45,45.0,SAME_DAY,0.901,0.901,0.993,0.993,0.0,0.006,0.006,joint_strong_candidate,joint_strong_candidate,0.0,run
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,81,81.0,SAME_DAY,0.574,0.574,0.951,0.951,0.0,0.043,0.043,joint_strong_candidate,joint_strong_candidate,0.0,run
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,96,96.0,SAME_DAY,0.551,0.551,0.807,0.807,0.0,0.041,0.041,joint_candidate,joint_candidate,0.0,run
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,113,113.0,SAME_DAY,0.814,0.814,0.987,0.987,0.0,0.005,0.005,joint_strong_candidate,joint_strong_candidate,0.0,run
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,132,132.0,SAME_DAY,0.467,0.467,0.899,0.899,0.0,0.082,0.082,joint_candidate,joint_candidate,0.0,run
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,135,135.0,SAME_DAY,0.485,0.485,0.854,0.854,0.0,0.133,0.133,joint_candidate,joint_candidate,0.0,run
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,160,160.0,SAME_DAY,0.7,0.7,0.962,0.962,0.0,0.029,0.029,joint_strong_candidate,joint_strong_candidate,0.0,run
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,18,16.0,STRICT_SHIFT_LE_2D,0.582,0.727,0.745,0.927,0.18200000000000005,0.025,0.022,joint_weak_candidate,joint_candidate,1.0,run
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,45,45.0,SAME_DAY,0.901,0.888,0.993,0.995,0.0020000000000000018,0.006,0.005,joint_strong_candidate,joint_strong_candidate,0.0,run
