scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,baseline_candidate_day,perturbed_candidate_day,candidate_match_class,baseline_band_start,baseline_band_end,perturbed_band_start,perturbed_band_end,band_start_delta,band_end_delta,baseline_band_width,perturbed_band_width,band_width_delta
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,18,16,STRICT_SHIFT_LE_2D,16,20,14,18,-2,-2,5,5,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,81,80,STRICT_SHIFT_LE_2D,75,86,75,86,0,0,12,12,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,113,113,SAME_DAY,107,117,108,117,1,0,11,10,-1
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,132,130,STRICT_SHIFT_LE_2D,130,134,128,132,-2,-2,5,5,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,135,135,SAME_DAY,128,138,132,137,4,-1,11,6,-5
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,160,160,SAME_DAY,155,164,154,164,-1,0,10,11,1
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,18,19,STRICT_SHIFT_LE_2D,16,20,17,21,1,1,5,5,0
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,45,44,STRICT_SHIFT_LE_2D,40,48,39,48,-1,0,9,10,1
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,81,81,SAME_DAY,75,86,73,91,-2,5,12,19,7
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,96,96,SAME_DAY,94,99,94,100,0,1,6,7,1
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,113,113,SAME_DAY,107,117,108,116,1,-1,11,9,-2
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,132,134,STRICT_SHIFT_LE_2D,130,134,130,139,0,5,5,10,5
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,135,134,STRICT_SHIFT_LE_2D,128,138,130,139,2,1,11,10,-1
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,160,159,STRICT_SHIFT_LE_2D,155,164,156,163,1,-1,10,8,-2
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,132,135,MATCH_SHIFT_LE_5D,130,134,128,138,-2,4,5,11,6
