scope,object,config_id,sensitivity_group,changed_factor,changed_value,candidate_id,perturbed_candidate_day,perturbed_candidate_date,perturbed_peak_score,nearest_joint_candidate_day,distance_to_nearest_joint_candidate,nearest_joint_lineage_status,nearest_joint_derived_window_id,nearest_strict_accepted_window_id,distance_to_nearest_strict_anchor,matched_object_native_baseline_candidate_id,matched_object_native_baseline_candidate_day,object_support_class,was_v10_window_conditioned_main_peak,v10_window_id_if_main,candidate_provenance_class
joint_all,joint_all,BASELINE,baseline,none,baseline,CP001,18,04-19,3.021425291663116,18,0,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,BASELINE,baseline,none,baseline,CP002,45,05-16,5.878578493131532,45,0,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,BASELINE,baseline,none,baseline,CP003,81,06-21,9.238311473412097,81,0,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,BASELINE,baseline,none,baseline,CP004,96,07-06,6.44414632933013,96,0,derived_non_strict_candidate_window,W004,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,BASELINE,baseline,none,baseline,CP005,113,07-23,9.678099825113602,113,0,strict_accepted_main_window,W005,W113,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,BASELINE,baseline,none,baseline,CP006,132,08-11,3.7541518352022365,132,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,BASELINE,baseline,none,baseline,CP007,135,08-14,3.7666081070788318,135,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,BASELINE,baseline,none,baseline,CP008,160,09-08,7.120567750300529,160,0,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,CP001,16,04-17,1.8893871513437321,18,2,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,CP002,45,05-16,3.711217956015139,45,0,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,CP003,57,05-28,0.6402641353782885,45,12,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,CP004,67,06-07,2.261580088378947,81,14,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,CP005,80,06-20,5.169094393335747,81,1,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,CP006,96,07-06,3.920243941505593,96,0,derived_non_strict_candidate_window,W004,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,CP007,113,07-23,5.889721986854356,113,0,strict_accepted_main_window,W005,W113,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,CP008,130,08-09,2.184562381311342,132,2,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,CP009,135,08-14,2.2069828612871003,135,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,CP010,160,09-08,4.172076280440698,160,0,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_24,detector_width,detector_width,24,CP001,19,04-20,4.7408836506995415,18,1,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_WIDTH_24,detector_width,detector_width,24,CP002,44,05-15,8.255855539428058,45,1,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_24,detector_width,detector_width,24,CP003,81,06-21,14.23606045729994,81,0,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_24,detector_width,detector_width,24,CP004,96,07-06,9.68541073211033,96,0,derived_non_strict_candidate_window,W004,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_WIDTH_24,detector_width,detector_width,24,CP005,113,07-23,14.017654817441791,113,0,strict_accepted_main_window,W005,W113,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_24,detector_width,detector_width,24,CP006,134,08-13,5.924194977336668,135,1,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_WIDTH_24,detector_width,detector_width,24,CP007,159,09-07,10.993570331656452,160,1,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_PEN_3,detector_penalty,detector_penalty,3.0,CP001,18,04-19,3.021425291663116,18,0,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_PEN_3,detector_penalty,detector_penalty,3.0,CP002,45,05-16,5.878578493131532,45,0,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_PEN_3,detector_penalty,detector_penalty,3.0,CP003,81,06-21,9.238311473412097,81,0,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_PEN_3,detector_penalty,detector_penalty,3.0,CP004,96,07-06,6.44414632933013,96,0,derived_non_strict_candidate_window,W004,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_PEN_3,detector_penalty,detector_penalty,3.0,CP005,113,07-23,9.678099825113602,113,0,strict_accepted_main_window,W005,W113,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_PEN_3,detector_penalty,detector_penalty,3.0,CP006,132,08-11,3.7541518352022365,132,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_PEN_3,detector_penalty,detector_penalty,3.0,CP007,135,08-14,3.7666081070788318,135,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_PEN_3,detector_penalty,detector_penalty,3.0,CP008,160,09-08,7.120567750300529,160,0,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_PEN_5,detector_penalty,detector_penalty,5.0,CP001,18,04-19,3.021425291663116,18,0,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_PEN_5,detector_penalty,detector_penalty,5.0,CP002,45,05-16,5.878578493131532,45,0,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_PEN_5,detector_penalty,detector_penalty,5.0,CP003,81,06-21,9.238311473412097,81,0,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_PEN_5,detector_penalty,detector_penalty,5.0,CP004,96,07-06,6.44414632933013,96,0,derived_non_strict_candidate_window,W004,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_PEN_5,detector_penalty,detector_penalty,5.0,CP005,113,07-23,9.678099825113602,113,0,strict_accepted_main_window,W005,W113,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_PEN_5,detector_penalty,detector_penalty,5.0,CP006,132,08-11,3.7541518352022365,132,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_PEN_5,detector_penalty,detector_penalty,5.0,CP007,135,08-14,3.7666081070788318,135,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,DET_PEN_5,detector_penalty,detector_penalty,5.0,CP008,160,09-08,7.120567750300529,160,0,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,CP001,18,04-19,3.021425291663116,18,0,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,CP002,45,05-16,5.878578493131532,45,0,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,CP003,81,06-21,9.238311473412097,81,0,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,CP004,96,07-06,6.44414632933013,96,0,derived_non_strict_candidate_window,W004,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,CP005,113,07-23,9.678099825113602,113,0,strict_accepted_main_window,W005,W113,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,CP006,135,08-14,3.7666081070788318,135,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,CP007,160,09-08,7.120567750300529,160,0,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,CP001,18,04-19,3.021425291663116,18,0,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,CP002,45,05-16,5.878578493131532,45,0,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,CP003,81,06-21,9.238311473412097,81,0,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,CP004,96,07-06,6.44414632933013,96,0,derived_non_strict_candidate_window,W004,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,CP005,113,07-23,9.678099825113602,113,0,strict_accepted_main_window,W005,W113,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,CP006,135,08-14,3.7666081070788318,135,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,CP007,160,09-08,7.120567750300529,160,0,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,CP001,18,04-19,3.021425291663116,18,0,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,CP002,45,05-16,5.878578493131532,45,0,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,CP003,81,06-21,9.238311473412097,81,0,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,CP004,96,07-06,6.44414632933013,96,0,derived_non_strict_candidate_window,W004,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,CP005,113,07-23,9.678099825113602,113,0,strict_accepted_main_window,W005,W113,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,CP006,132,08-11,3.7541518352022365,132,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,CP007,135,08-14,3.7666081070788318,135,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,CP008,160,09-08,7.120567750300529,160,0,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,CP001,18,04-19,3.021425291663116,18,0,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,CP002,45,05-16,5.878578493131532,45,0,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,CP003,81,06-21,9.238311473412097,81,0,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,CP004,96,07-06,6.44414632933013,96,0,derived_non_strict_candidate_window,W004,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,CP005,113,07-23,9.678099825113602,113,0,strict_accepted_main_window,W005,W113,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,CP006,132,08-11,3.7541518352022365,132,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,CP007,135,08-14,3.7666081070788318,135,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,CP008,160,09-08,7.120567750300529,160,0,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,BAND_Q30,candidate_band,band_floor_quantile,0.30,CP001,18,04-19,3.021425291663116,18,0,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
