mode,feature_index,lat,H18_profile_diff,H35_profile_diff,H18_contribution_fraction,H35_contribution_fraction,same_sign
anomaly,0,15.0,5.804739405195707e-14,-1.8237263551175906e-14,0.014142206473930418,0.0046485245085153785,False
anomaly,1,15.25,7.537674188521729e-14,1.2916087952261376e-13,0.018364191269615866,0.03292201773130372,True
anomaly,2,15.5,-1.491350253167588e-13,-7.046215462954327e-15,0.036334074164236056,0.0017960208328354872,True
anomaly,3,15.75,6.189616720399094e-14,1.4237500067793008e-13,0.015079891024225021,0.03629018565170528,True
anomaly,4,16.0,7.628465760313298e-14,-1.6825059863852706e-13,0.018585388650711004,0.04288565711346249,False
anomaly,5,16.25,5.46723160570966e-14,3.4145525912915927e-15,0.013319929252902842,0.0008703406276765806,True
anomaly,6,16.5,-1.2813454001540475e-13,-1.439835904824981e-14,0.03121768256673114,0.0036700201612142516,True
anomaly,7,16.75,-2.052679014418067e-15,-2.1316282072803006e-14,0.000500098426823789,0.005433340334628364,True
anomaly,8,17.0,1.8257000849391465e-14,-4.831690603168681e-14,0.0044479908155000475,0.012315571425157625,False
anomaly,9,17.25,1.9796510110205013e-14,-1.8982346558813233e-14,0.004823064635617888,0.004838439876693361,False
anomaly,10,17.5,-9.673249855445142e-14,-1.2150774213953102e-14,0.02356713836407106,0.003097129762505173,True
anomaly,11,17.75,4.36786409510306e-14,-3.113805509732022e-14,0.010641517486163895,0.007936827356868585,False
anomaly,12,18.0,-2.6566403398141524e-14,-3.889974762058854e-14,0.0064724277163925,0.009915217251861739,True
anomaly,13,18.25,6.704760203825168e-14,1.41484355095953e-13,0.016334945730003957,0.03606316761226074,True
anomaly,14,18.5,-4.776426168165118e-15,9.51288430744373e-14,0.0011636905701092016,0.02424753896094913,False
anomaly,15,18.75,1.0983806456958216e-13,5.94536765498156e-14,0.026760074473792174,0.015154240206466933,True
anomaly,16,19.0,-5.273806083197188e-14,2.30235583684488e-14,0.01284868265839581,0.005868510648466654,False
anomaly,17,19.25,-5.402098521598317e-14,-1.3277280509606094e-13,0.013161244175160678,0.03384266706578241,True
anomaly,18,19.5,-2.6546666099925966e-14,-1.5937868309063357e-14,0.006467619077673041,0.004062428074270744,True
anomaly,19,19.75,-3.436263619328707e-14,6.65146949864316e-15,0.008371840010579007,0.001695403419231258,False
anomaly,20,20.0,-7.448856346551716e-14,1.7230661342182428e-14,0.01814780252724019,0.004391950103824594,False
anomaly,21,20.25,-4.691555785838217e-14,5.3231493287360836e-14,0.011430134236155255,0.013568258224530276,False
anomaly,22,20.5,2.3487384876514422e-15,-2.37834443497478e-14,0.0005722280076156817,0.006062199169654795,False
anomaly,23,20.75,-1.815831435831367e-14,9.021919014331717e-14,0.004423947621902749,0.02299610987924653,False
anomaly,24,21.0,5.094196669435607e-14,-3.033622735731317e-14,0.012411096534924995,0.007732448235484996,False
anomaly,25,21.25,-5.546180798571893e-14,-8.80283500413902e-15,0.013512274801681223,0.002243768323374306,True
anomaly,26,21.5,-4.496156533504189e-14,1.020023571780055e-13,0.010954079002928763,0.025999539675332764,False
anomaly,27,21.75,9.199554698271742e-14,-1.268318783331779e-13,0.022413065071400777,0.03232837499103877,False
anomaly,28,22.0,1.3095697366022959e-13,-1.1131836193574903e-14,0.03190531790361385,0.002837411063639257,False
anomaly,29,22.25,-7.356091044938593e-14,-7.184376550463235e-15,0.017921796507425595,0.001831236927596967,True
anomaly,30,22.5,3.171783823240225e-14,-1.1723955140041652e-14,0.007727482422171432,0.0029883371840456,False
anomaly,31,22.75,-2.8362497535757333e-14,4.373785284567728e-14,0.006910013839863316,0.01114840942734857,False
anomaly,32,23.0,-7.875181988007777e-15,3.418500050934704e-14,0.0019186468490643446,0.008713468018126228,False
anomaly,33,23.25,4.466550586180852e-14,7.981763398371791e-14,0.01088194942213687,0.020344841030775097,True
anomaly,34,23.5,-5.072485641398493e-14,-5.186961971048731e-14,0.012358201509010942,0.013221128147595686,True
anomaly,35,23.75,1.3322676295501878e-14,-5.77513345787237e-14,0.003245831135635169,0.014720327610298699,False
anomaly,36,24.0,7.776495496929986e-14,-9.868649107779169e-15,0.01894603655467047,0.002515435340105724,False
anomaly,37,24.25,-2.0132044179869506e-14,6.015928496102182e-14,0.0049048114938487,0.015334093833284495,False
anomaly,38,24.5,1.8829382497642654e-14,-1.247397247223287e-14,0.004587441338364372,0.003179510269893635,False
anomaly,39,24.75,1.6184584536757837e-15,-3.939564723825444e-14,0.0003943083749956798,0.010041617877702051,False
anomaly,40,25.0,5.289595921769635e-15,4.0343037552601246e-14,0.0012887151768151486,0.010283099670352201,True
