mode,h_metric,group_fraction,year,group,h_metric_value,h_metric_z
anomaly,H_west_extent_lon_transition,0.3,1979,middle,0.0,-0.09746850200999621
anomaly,H_west_extent_lon_transition,0.3,1980,high,11.949999999999989,1.4671191683146436
anomaly,H_west_extent_lon_transition,0.3,1981,low,-7.900000000000006,-1.1317984263250316
anomaly,H_west_extent_lon_transition,0.3,1982,high,17.299999999999997,2.167583104401409
anomaly,H_west_extent_lon_transition,0.3,1983,low,-12.25,-1.7013345238909046
anomaly,H_west_extent_lon_transition,0.3,1984,middle,0.0,-0.09746850200999621
anomaly,H_west_extent_lon_transition,0.3,1985,middle,0.25,-0.06473654237977358
anomaly,H_west_extent_lon_transition,0.3,1986,low,-11.299999999999997,-1.5769530772960583
anomaly,H_west_extent_lon_transition,0.3,1987,low,-0.45000000000000284,-0.15638602934439727
anomaly,H_west_extent_lon_transition,0.3,1988,middle,0.0,-0.09746850200999621
anomaly,H_west_extent_lon_transition,0.3,1989,high,11.700000000000003,1.434387208684423
anomaly,H_west_extent_lon_transition,0.3,1990,middle,0.29999999999999716,-0.05819015045372943
anomaly,H_west_extent_lon_transition,0.3,1991,middle,2.0,0.16438717503178477
anomaly,H_west_extent_lon_transition,0.3,1992,middle,3.3499999999999943,0.34113975703498617
anomaly,H_west_extent_lon_transition,0.3,1993,low,-14.799999999999997,-2.0352005121191747
anomaly,H_west_extent_lon_transition,0.3,1994,middle,0.0,-0.09746850200999621
anomaly,H_west_extent_lon_transition,0.3,1995,low,-13.5,-1.8649943220420175
anomaly,H_west_extent_lon_transition,0.3,1996,low,-1.75,-0.32659221942155453
anomaly,H_west_extent_lon_transition,0.3,1997,high,4.400000000000006,0.4786139874819227
anomaly,H_west_extent_lon_transition,0.3,1998,middle,2.8500000000000085,0.2756758377745428
anomaly,H_west_extent_lon_transition,0.3,1999,middle,0.0,-0.09746850200999621
anomaly,H_west_extent_lon_transition,0.3,2000,middle,0.0,-0.09746850200999621
anomaly,H_west_extent_lon_transition,0.3,2001,middle,1.0,0.03345933651089428
anomaly,H_west_extent_lon_transition,0.3,2002,low,-0.45000000000000284,-0.15638602934439727
anomaly,H_west_extent_lon_transition,0.3,2003,middle,1.9500000000000028,0.15784078310574062
anomaly,H_west_extent_lon_transition,0.3,2004,high,13.400000000000006,1.656964534169937
anomaly,H_west_extent_lon_transition,0.3,2005,low,-1.1000000000000085,-0.24148912438297684
anomaly,H_west_extent_lon_transition,0.3,2006,high,4.299999999999997,0.4655212036298325
anomaly,H_west_extent_lon_transition,0.3,2007,low,-13.650000000000006,-1.884633497820152
anomaly,H_west_extent_lon_transition,0.3,2008,middle,0.0,-0.09746850200999621
anomaly,H_west_extent_lon_transition,0.3,2009,middle,0.0,-0.09746850200999621
anomaly,H_west_extent_lon_transition,0.3,2010,middle,0.0,-0.09746850200999621
anomaly,H_west_extent_lon_transition,0.3,2011,high,4.150000000000006,0.44588202785170006
anomaly,H_west_extent_lon_transition,0.3,2012,low,-1.6500000000000057,-0.31349943556946624
anomaly,H_west_extent_lon_transition,0.3,2013,middle,1.0,0.03345933651089428
anomaly,H_west_extent_lon_transition,0.3,2014,high,4.900000000000006,0.5440779067423679
anomaly,H_west_extent_lon_transition,0.3,2015,high,9.799999999999997,1.1856243154947301
