target_label,target_day,sigma,local_max_day_within_radius,energy_raw,energy_norm,energy_percentile,has_local_ridge_nearby,nearest_ridge_id
H19,19,2.0,19,0.04812418757803629,1.0,95.40229885057471,True,R001
H19,19,3.0,18,0.043570251609724504,1.0,95.40229885057471,True,R001
H19,19,4.0,18,0.04014226770637215,0.9922316110629354,94.82758620689654,True,R001
H19,19,5.0,18,0.03729282106014012,1.0,95.40229885057471,True,R001
H19,19,7.0,19,0.03287720560778536,1.0,95.40229885057471,True,R001
H19,19,9.0,21,0.029763814825206757,1.0,95.40229885057471,True,R001
H19,19,11.0,22,0.027063885171781273,0.9997563634796487,94.82758620689654,True,R001
H19,19,14.0,22,0.02281049312750974,0.9861841862466968,91.95402298850574,False,
H35,35,2.0,36,0.03953037146332951,0.798907980434484,85.63218390804597,True,R002
H35,35,3.0,36,0.03478028474321197,0.7640726444586664,81.60919540229885,True,R002
H35,35,4.0,35,0.030896925694667222,0.7200758764157725,79.88505747126436,True,R002
H35,35,5.0,34,0.028278969908982494,0.6986335748957158,78.16091954022988,False,
H35,35,7.0,32,0.0263554590007938,0.7650134187335789,73.5632183908046,False,
H35,35,9.0,32,0.02527172390398572,0.8250944938026659,75.86206896551724,False,
H35,35,11.0,32,0.024338865741755075,0.8844928106647798,82.75862068965517,False,
H35,35,14.0,32,0.022801168828976398,0.9857271790083195,91.37931034482759,False,
H45,45,2.0,46,0.012746931709206674,0.13236033584128892,19.54022988505747,False,
H45,45,3.0,42,0.011095202250352331,0.11866715457974918,17.241379310344826,False,
H45,45,4.0,42,0.012682485066259228,0.18389620192286932,23.563218390804597,False,
H45,45,5.0,42,0.014143831558713819,0.22275787608707884,31.609195402298848,False,
H45,45,7.0,42,0.016058857362206337,0.38918965730030336,40.229885057471265,False,
H45,45,9.0,42,0.017167786325894364,0.5085190127740516,45.97701149425287,False,
H45,45,11.0,42,0.018059942669470565,0.618905353493582,48.275862068965516,False,
H45,45,14.0,42,0.019178631196728864,0.8081775313526297,62.068965517241374,False,
H57,57,2.0,54,0.0214326444928714,0.3485178365474313,42.5287356321839,False,
H57,57,3.0,54,0.01890277148806659,0.33141912832312376,41.37931034482759,False,
H57,57,4.0,55,0.016365679268876436,0.29231862943202813,38.50574712643678,False,
H57,57,5.0,60,0.01574864221648613,0.27678567364368584,39.08045977011494,False,
H57,57,7.0,60,0.016792899324835475,0.41598203221469227,41.95402298850574,False,
H57,57,9.0,60,0.017481270579007963,0.5207650878786562,47.701149425287355,False,
H57,57,11.0,60,0.018126131932285752,0.6217050434723805,49.42528735632184,False,
H57,57,14.0,60,0.018788181100360454,0.7890405936379674,58.04597701149425,False,
