year,mode,window_start,window_end,window_name,information_form,source_feature,source_value
1979,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,13.0
1980,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,20.75
1981,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,14.5
1982,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
1983,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
1984,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,28.0
1985,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
1986,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,21.25
1987,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,19.5
1988,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,29.25
1989,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,21.5
1990,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,20.0
1991,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
1992,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,27.5
1993,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,22.5
1994,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,28.25
1995,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
1996,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
1997,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,16.25
1998,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,21.25
1999,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2000,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,11.0
2001,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2002,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,29.0
2003,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,20.0
2004,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2005,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2006,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,17.5
2007,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2008,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,17.25
2009,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2010,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2011,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,25.5
2012,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2013,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2014,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2015,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,17.5
2016,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,17.75
2017,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,27.25
2018,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2019,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2020,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2021,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,28.5
2022,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
2023,anomaly,0,11,sliding_000_011,pre_state,H_zonal_width_sliding_pre_state,30.0
1979,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,22.25
1980,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,21.3
1981,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,17.2
1982,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
1983,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,21.3
1984,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,17.8
1985,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
1986,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,21.8
1987,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,20.2
1988,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
1989,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,26.25
1990,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,16.55
1991,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,24.25
1992,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
1993,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
1994,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,23.25
1995,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,17.0
1996,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
1997,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,19.35
1998,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,20.5
1999,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
2000,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,26.7
2001,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
2002,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,25.85
2003,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,18.65
2004,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
2005,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,19.75
2006,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,21.6
2007,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
2008,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,18.7
2009,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
2010,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,15.0
2011,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,13.25
2012,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,19.2
2013,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
2014,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,21.4
2015,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,23.8
2016,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,20.2
2017,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,26.3
2018,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
2019,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,25.6
2020,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
2021,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,22.35
2022,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,30.0
2023,anomaly,0,11,sliding_000_011,post_state,H_zonal_width_sliding_post_state,26.3
1979,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,19.09375
1980,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,21.5
1981,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,16.25
1982,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,30.0
1983,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,24.3125
1984,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,20.125
1985,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,28.5
1986,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,22.125
1987,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,20.46875
1988,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,29.90625
1989,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,25.15625
1990,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,16.6875
1991,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,26.40625
1992,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,27.96875
1993,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,28.3125
1994,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,25.125
1995,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,20.34375
1996,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,30.0
1997,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,18.0625
1998,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,21.96875
1999,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,30.0
2000,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,23.28125
2001,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,30.0
2002,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,26.125
2003,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,18.9375
2004,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,30.0
2005,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,23.28125
2006,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,20.46875
2007,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,30.0
2008,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,17.84375
2009,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,30.0
2010,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,20.625
2011,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,14.75
2012,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,23.25
2013,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,30.0
2014,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,24.625
2015,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,21.09375
2016,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,18.625
2017,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,27.25
2018,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,30.0
2019,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,26.09375
2020,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,30.0
2021,anomaly,0,11,sliding_000_011,window_mean,H_zonal_width_sliding_window_mean,22.9375
