mode,pair,similarity_metric,status,n_years,observed_mean_similarity,null_mean_similarity,null_p90_similarity,null_p95_similarity,observed_minus_null,permutation_p,decision
anomaly,E1_E2,cosine,ok,45,0.22984204795023636,0.05729223598288825,0.13241497480499156,0.1555278837743035,0.17254981196734812,0.001996007984031936,strong_coupled_above_null
anomaly,E1_E2,pearson,ok,45,0.14318781882907983,0.04333719756249462,0.14016733670275394,0.15650385042534096,0.0998506212665852,0.07984031936127745,coupled_above_null
anomaly,E1_E2,neg_euclidean,ok,45,-2.4456936450066613,-2.7565342187607196,-2.620933695696408,-2.5921496423494097,0.31084057375405827,0.001996007984031936,strong_coupled_above_null
anomaly,E2_M,cosine,ok,45,-0.031141525419563453,-0.032870159784443916,0.0578792317061511,0.0820765005516377,0.0017286343648804624,0.4870259481037924,not_above_null
anomaly,E2_M,pearson,ok,45,0.05440246533472067,-0.03969918991890952,0.06272261275962752,0.08664162090761178,0.09410165525363019,0.1277445109780439,not_above_null
anomaly,E2_M,neg_euclidean,ok,45,-3.017018804888691,-2.998283009014578,-2.8468013097143254,-2.8070405884739174,-0.018735795874113226,0.5588822355289421,not_above_null
anomaly,E1_M,cosine,ok,45,-0.14431023895290734,-0.09161952775493896,-0.008656136947585599,0.013489975477361991,-0.05269071119796838,0.8063872255489022,not_above_null
anomaly,E1_M,pearson,ok,45,-0.20365864936995917,-0.11026877839105272,-0.020413908960661344,0.011280673416699485,-0.09338987097890646,0.906187624750499,not_above_null
anomaly,E1_M,neg_euclidean,ok,45,-3.1974366345835508,-3.1544174740401316,-3.018605063910168,-2.9812058153709127,-0.043019160543419144,0.6487025948103793,not_above_null
local_background_removed,E1_E2,cosine,ok,45,0.16140526622687054,0.034251530967753976,0.11931150688547557,0.14720958406964538,0.12715373525911655,0.04590818363273453,strong_coupled_above_null
local_background_removed,E1_E2,pearson,ok,45,0.06828095632182968,-0.013193200910938813,0.08306903145099162,0.10606416753495145,0.08147415723276849,0.1536926147704591,not_above_null
local_background_removed,E1_E2,neg_euclidean,ok,45,-2.4921645774204526,-2.707801870941774,-2.5769871353709024,-2.530428752786187,0.21563729352132155,0.01996007984031936,strong_coupled_above_null
local_background_removed,E2_M,cosine,ok,45,-0.03968484420842945,-0.02626461551688319,0.06634577573368042,0.09888616309160325,-0.01342022869154626,0.5668662674650699,not_above_null
local_background_removed,E2_M,pearson,ok,45,-0.030512870854753366,-0.004169685348613958,0.09388946014635871,0.11846242919941864,-0.026343185506139406,0.6487025948103793,not_above_null
local_background_removed,E2_M,neg_euclidean,ok,45,-2.9405373725930657,-3.060551348838194,-2.901062540502577,-2.8682127708139062,0.12001397624512844,0.17165668662674652,not_above_null
local_background_removed,E1_M,cosine,ok,45,-0.14390279728300104,-0.09132080015388679,-0.00403041344718937,0.015560627651167634,-0.05258199712911425,0.7744510978043913,not_above_null
local_background_removed,E1_M,pearson,ok,45,-0.07664345834708762,-0.07277777175252723,0.013673410624937722,0.03574819908571834,-0.003865686594560394,0.5369261477045908,not_above_null
local_background_removed,E1_M,neg_euclidean,ok,45,-3.3023970177496533,-3.2314122215833976,-3.0925020933113436,-3.06550644493304,-0.07098479616625575,0.7405189620758483,not_above_null
raw,E1_E2,cosine,ok,45,0.13622369057615474,-0.055052192836419385,0.025626308488576464,0.04471723090261069,0.19127588341257412,0.003992015968063872,strong_coupled_above_null
raw,E1_E2,pearson,ok,45,0.13511310149921701,-0.09949496045056228,-0.007727688985406611,0.010132180516346205,0.2346080619497793,0.001996007984031936,strong_coupled_above_null
raw,E1_E2,neg_euclidean,ok,45,-2.7029457743454386,-3.0127511646505445,-2.9057123532556215,-2.8650487383619225,0.3098053903051059,0.001996007984031936,strong_coupled_above_null
raw,E2_M,cosine,ok,45,0.1055028440094177,-0.0029197684276835657,0.06725791967779265,0.08279976421238532,0.10842261243710127,0.01996007984031936,strong_coupled_above_null
raw,E2_M,pearson,ok,45,0.21134879143170587,0.06421508414909381,0.15691174249252887,0.17924694065536395,0.14713370728261205,0.01996007984031936,strong_coupled_above_null
raw,E2_M,neg_euclidean,ok,45,-2.618797053494394,-2.8311656954712947,-2.7232396467203235,-2.690058964126379,0.21236864197690064,0.00998003992015968,strong_coupled_above_null
raw,E1_M,cosine,ok,45,-0.2679897408471111,-0.22561942808069166,-0.15757441607988001,-0.13229452121374569,-0.04237031276641942,0.782435129740519,not_above_null
raw,E1_M,pearson,ok,45,-0.3252458272957305,-0.2580432265776702,-0.18482171246555254,-0.15869480696108568,-0.06720260071806028,0.874251497005988,not_above_null
raw,E1_M,neg_euclidean,ok,45,-3.6184131609906633,-3.5941917635056333,-3.488784805971183,-3.465178623511505,-0.02422139748503005,0.6187624750499002,not_above_null
