mode,pair,similarity_metric,object_removed,status,n_years,observed_drop_mean,null_drop_mean,null_drop_p90,observed_drop_minus_null,permutation_p,contribution_class,interpretation_hint
anomaly,E1_E2,cosine,P,ok,45,0.039558527842027465,0.042702674376522434,0.06779274214959172,-0.0031441465344949696,0.564870259481038,secondary_dimension,P contributes positively but not above the shuffled null p90; treat as secondary.
anomaly,E1_E2,cosine,V,ok,45,-0.02594255596974207,0.01217638125029817,0.04575926409972023,-0.03811893722004024,0.9221556886227545,negative_or_disruptive_dimension,Removing V increases similarity; V is not aligned with this pair's common configuration direction.
anomaly,E1_E2,cosine,H,ok,45,0.02141617462044838,-0.03593438278529396,0.008546811689564884,0.05735055740574234,0.04590818363273453,key_coupling_dimension,H removal substantially weakens E1_E2 configuration coupling under this metric; H may be a key configuration dimension.
anomaly,E1_E2,cosine,Je,ok,45,-0.04308436558896754,-0.02666263517401995,0.025053279654883957,-0.01642173041494759,0.6506986027944112,negative_or_disruptive_dimension,Removing Je increases similarity; Je is not aligned with this pair's common configuration direction.
anomaly,E1_E2,cosine,Jw,ok,45,0.03648360037298138,-0.01593863891997222,0.032492972458185235,0.0524222392929536,0.07984031936127745,key_coupling_dimension,Jw removal substantially weakens E1_E2 configuration coupling under this metric; Jw may be a key configuration dimension.
anomaly,E1_E2,pearson,P,ok,45,0.03093923872791103,0.030156165812374104,0.06570626275998916,0.0007830729155369268,0.4870259481037924,secondary_dimension,P contributes positively but not above the shuffled null p90; treat as secondary.
anomaly,E1_E2,pearson,V,ok,45,-0.04992047667259154,-0.005600347884428269,0.035937333176767415,-0.04432012878816327,0.93812375249501,negative_or_disruptive_dimension,Removing V increases similarity; V is not aligned with this pair's common configuration direction.
anomaly,E1_E2,pearson,H,ok,45,0.04701537956024415,-0.02670531321606155,0.03593547819492637,0.0737206927763057,0.059880239520958084,key_coupling_dimension,H removal substantially weakens E1_E2 configuration coupling under this metric; H may be a key configuration dimension.
anomaly,E1_E2,pearson,Je,ok,45,0.01480357527116212,-0.01399352205368115,0.06892399953589275,0.02879709732484327,0.34331337325349304,secondary_dimension,Je contributes positively but not above the shuffled null p90; treat as secondary.
anomaly,E1_E2,pearson,Jw,ok,45,0.04513239277781659,0.0007590787921250341,0.07130867701614184,0.044373313985691554,0.21756487025948104,secondary_dimension,Jw contributes positively but not above the shuffled null p90; treat as secondary.
anomaly,E1_E2,neg_euclidean,P,ok,45,-0.12534370070856657,-0.1769922856073094,-0.1446033249989875,0.05164858489874283,0.031936127744510975,negative_or_disruptive_dimension,Removing P increases similarity; P is not aligned with this pair's common configuration direction.
anomaly,E1_E2,neg_euclidean,V,ok,45,-0.3192794211795229,-0.27455170281936786,-0.2270418240260203,-0.044727718360155044,0.8902195608782435,negative_or_disruptive_dimension,Removing V increases similarity; V is not aligned with this pair's common configuration direction.
anomaly,E1_E2,neg_euclidean,H,ok,45,-0.2835605808890085,-0.40740066659650664,-0.34314106511744585,0.12384008570749816,0.00998003992015968,negative_or_disruptive_dimension,Removing H increases similarity; H is not aligned with this pair's common configuration direction.
