mode,year,object,window,strength
anomaly,1979,H,E1,11.049581082321724
anomaly,1980,H,E1,17.437215335256273
anomaly,1981,H,E1,12.669980185634593
anomaly,1982,H,E1,34.300858031695974
anomaly,1983,H,E1,35.465640746734685
anomaly,1984,H,E1,22.729988418529384
anomaly,1985,H,E1,27.662786724997986
anomaly,1986,H,E1,8.364460669156191
anomaly,1987,H,E1,16.2624871258833
anomaly,1988,H,E1,18.086147103328855
anomaly,1989,H,E1,21.585805031415767
anomaly,1990,H,E1,30.57712631955023
anomaly,1991,H,E1,19.780302804841824
anomaly,1992,H,E1,23.70258406665542
anomaly,1993,H,E1,13.461843312196436
anomaly,1994,H,E1,15.795472428760679
anomaly,1995,H,E1,22.693858715390583
anomaly,1996,H,E1,33.334618924533686
anomaly,1997,H,E1,10.79844767145434
anomaly,1998,H,E1,33.32038284382789
anomaly,1999,H,E1,9.616456601063947
anomaly,2000,H,E1,26.96935234526953
anomaly,2001,H,E1,9.007146918336783
anomaly,2002,H,E1,31.83746667766334
anomaly,2003,H,E1,44.75991477424286
anomaly,2004,H,E1,9.37603442813998
anomaly,2005,H,E1,13.107344176852589
anomaly,2006,H,E1,15.358977975823667
anomaly,2007,H,E1,21.412189408708905
anomaly,2008,H,E1,12.061426070208642
anomaly,2009,H,E1,16.951873657723826
anomaly,2010,H,E1,19.504675110311076
anomaly,2011,H,E1,37.8342858729723
anomaly,2012,H,E1,15.178857667596848
anomaly,2013,H,E1,14.017590285265483
anomaly,2014,H,E1,25.81563952435298
anomaly,2015,H,E1,10.63261253794806
anomaly,2016,H,E1,27.48174765327621
anomaly,2017,H,E1,11.337645405994168
anomaly,2018,H,E1,29.7424176310735
anomaly,2019,H,E1,19.034232576106493
anomaly,2020,H,E1,23.367113706890862
anomaly,2021,H,E1,16.78834094525996
anomaly,2022,H,E1,19.182940047345923
anomaly,2023,H,E1,17.54770167451848
anomaly,1979,H,E2,11.115960398685548
anomaly,1980,H,E2,8.517054959059426
