mode,cluster_id,object,n_years,n_window_days,between_year_variance,within_window_noise,snr_between_over_within,median_window_cv,mean_window_cv,peak_day_iqr,bootstrap_rank_corr_median,bootstrap_rank_corr_p10,bootstrap_fraction_rank_corr_ge_0_8,median_bootstrap_ci_width,ci_width_to_between_year_sd,object_window_usability
anomaly,E1,P,45,12,0.7433251395726554,0.5196539536396388,1.4304233314593313,0.1473687065345072,0.16958030225800255,8.0,0.9776021080368906,0.9383399209486166,1.0,0.4431834835297841,0.519845243894486,usable_for_yearwise_mapping
anomaly,E1,V,45,12,0.20158668602510962,0.1374445962280843,1.4666759665772322,0.18210465856469743,0.19577041058828712,9.0,0.9658761528326746,0.9233992094861659,0.998,0.27241152203620134,0.6135846250514012,usable_for_yearwise_mapping
anomaly,E1,H,45,12,65.28649088911511,38.57113370495301,1.69262566634721,0.22812636304832962,0.2482261017070652,9.0,0.981159420289855,0.9389855072463767,1.0,4.2915065489401165,0.5371283003216467,usable_for_yearwise_mapping
anomaly,E1,Je,45,12,15.773189129830154,8.20963644637955,1.9213017814917017,0.3044247130888701,0.3887472958001502,8.0,0.9767457180500658,0.9418577075098814,1.0,2.424513520931243,0.6173689363597578,usable_for_yearwise_mapping
anomaly,E1,Jw,45,12,21.55487584005559,8.783845227306028,2.4539225455665203,0.34605029494551925,0.7098664719410311,8.0,0.9848484848484849,0.9524901185770751,1.0,2.2622517933731663,0.49277435370834555,usable_for_yearwise_mapping
anomaly,E2,P,45,12,0.8430579173029661,0.5163300247138871,1.6327888694222175,0.15085948154498968,0.16224575076392428,7.0,0.9707509881422924,0.9278392621870883,0.998,0.5014907640794548,0.5523497376438249,usable_for_yearwise_mapping
anomaly,E2,V,45,12,0.21903095235187325,0.15036371599573714,1.4566742441815297,0.19560218214460634,0.19658460920178072,7.0,0.9721343873517787,0.9293017127799736,0.998,0.2771202739938847,0.5988188634416942,usable_for_yearwise_mapping
anomaly,E2,H,45,12,47.40917131375577,30.276972166055355,1.565849156042968,0.23334753505666098,0.2525189713245929,7.0,0.9703557312252964,0.9188010540184453,0.996,4.182804907024412,0.6143506829555503,usable_for_yearwise_mapping
anomaly,E2,Je,45,12,10.05248419992926,9.449627648685375,1.063796857786951,0.3184804605833349,0.3791173949352001,8.0,0.9659420289855072,0.909604743083004,0.994,2.0901530793968037,0.6666859663077398,usable_for_yearwise_mapping
anomaly,E2,Jw,45,12,17.16247639430377,9.366184753526172,1.83238712943823,0.33850708899667,0.5937876949829897,7.0,0.9814229249011858,0.9454281949934124,1.0,2.2674024611368866,0.5535011861348414,usable_for_yearwise_mapping
anomaly,M,P,45,9,1.6446913809813937,0.5794989991454741,2.8381263529424694,0.12238074279654575,0.13115656965138267,5.0,0.9771409749670619,0.9427799736495388,1.0,0.6425917042421441,0.5067255759379938,usable_for_yearwise_mapping
anomaly,M,V,45,9,0.2925273008628552,0.13731482006193207,2.130340342934495,0.1560482767857721,0.17220166616689586,7.0,0.9756916996047431,0.9285770750988143,0.996,0.33502096646988644,0.6264244549972477,usable_for_yearwise_mapping
anomaly,M,H,45,9,50.45611269277881,19.275908211713496,2.61757382005561,0.1632666388517514,0.19742648218566677,7.0,0.9763504611330698,0.9412911725955204,1.0,3.173655097627197,0.45183799922378076,usable_for_yearwise_mapping
anomaly,M,Je,45,9,13.141026831550763,7.322769935932256,1.794543177857737,0.30826339903284344,0.4477773868902975,6.0,0.9785902503293809,0.9266139657444006,0.998,2.4166768088021686,0.6741923838104639,usable_for_yearwise_mapping
