mode,mapping_method,alpha,source_removed,status,n_years,full_skill_cv_r2,skill_without_source_cv_r2,skill_drop,null_drop_mean,null_drop_p90,null_drop_p95,permutation_p,contribution_class,interpretation_hint
anomaly,ridge,1.0,P,ok,45,-0.18087805436472015,-0.14252790180254493,-0.03835015256217522,-0.03120237599324198,0.004184048910765912,0.01436549736613179,0.6218905472636815,negative_or_unstable_dimension,Removing P_E2 improves or destabilizes mapping; P is not a positive mapping dimension under this metric.
anomaly,ridge,1.0,V,ok,45,-0.18087805436472015,-0.14904367200412016,-0.03183438236059999,-0.023202734555937833,0.012016686857355525,0.021591546009960882,0.5920398009950248,negative_or_unstable_dimension,Removing V_E2 improves or destabilizes mapping; V is not a positive mapping dimension under this metric.
anomaly,ridge,1.0,H,ok,45,-0.18087805436472015,-0.17286150269559708,-0.008016551669123073,-0.03264637645164203,-0.001113130821386067,0.0061520420468700225,0.15920398009950248,negative_or_unstable_dimension,Removing H_E2 improves or destabilizes mapping; H is not a positive mapping dimension under this metric.
anomaly,ridge,1.0,Je,ok,45,-0.18087805436472015,-0.10994302046598792,-0.07093503389873224,-0.02915758710090477,0.0050141614765769164,0.021379187718382858,0.9800995024875622,negative_or_unstable_dimension,Removing Je_E2 improves or destabilizes mapping; Je is not a positive mapping dimension under this metric.
anomaly,ridge,1.0,Jw,ok,45,-0.18087805436472015,-0.1368222850926879,-0.04405576927203225,-0.031038240024312058,0.0025587146891543587,0.01548131933788008,0.6965174129353234,negative_or_unstable_dimension,Removing Jw_E2 improves or destabilizes mapping; Jw is not a positive mapping dimension under this metric.
local_background_removed,ridge,1.0,P,ok,45,-0.10702002897569529,-0.14261717790626993,0.03559714893057464,-0.02927358563657424,0.005792703517749045,0.015930212826993907,0.024875621890547265,key_mapping_dimension,Removing P_E2 substantially weakens E2-to-M mapping; P may be a key preconfiguration dimension.
local_background_removed,ridge,1.0,V,ok,45,-0.10702002897569529,-0.06225129181201439,-0.044768737163680905,-0.027587236300765313,0.00626945452751872,0.019361759413087248,0.7611940298507462,negative_or_unstable_dimension,Removing V_E2 improves or destabilizes mapping; V is not a positive mapping dimension under this metric.
local_background_removed,ridge,1.0,H,ok,45,-0.10702002897569529,-0.060272674171446106,-0.046747354804249186,-0.027142414143619543,0.004101497535088256,0.011084884018634032,0.8208955223880597,negative_or_unstable_dimension,Removing H_E2 improves or destabilizes mapping; H is not a positive mapping dimension under this metric.
local_background_removed,ridge,1.0,Je,ok,45,-0.10702002897569529,-0.10243373697612213,-0.004586291999573167,-0.03529769838856294,0.0027131694785549917,0.01481636615535231,0.12437810945273632,negative_or_unstable_dimension,Removing Je_E2 improves or destabilizes mapping; Je is not a positive mapping dimension under this metric.
local_background_removed,ridge,1.0,Jw,ok,45,-0.10702002897569529,-0.08488143221402233,-0.022138596761672957,-0.028377281780900345,-0.0017556456134099302,0.008643156986691639,0.3383084577114428,negative_or_unstable_dimension,Removing Jw_E2 improves or destabilizes mapping; Jw is not a positive mapping dimension under this metric.
raw,ridge,1.0,P,ok,45,-0.1582845171624394,-0.10792505806025954,-0.05035945910217987,-0.02291634833599342,0.011655289909311216,0.024377004060451523,0.9253731343283582,negative_or_unstable_dimension,Removing P_E2 improves or destabilizes mapping; P is not a positive mapping dimension under this metric.
raw,ridge,1.0,V,ok,45,-0.1582845171624394,-0.11748848998216554,-0.040796027180273864,-0.02915233127020522,-0.0032347560355409474,0.004194189108590414,0.7064676616915423,negative_or_unstable_dimension,Removing V_E2 improves or destabilizes mapping; V is not a positive mapping dimension under this metric.
raw,ridge,1.0,H,ok,45,-0.1582845171624394,-0.16256337502061835,0.004278857858178942,-0.02548958468481475,0.0047367688052588576,0.0193147787626141,0.11442786069651742,secondary_mapping_dimension,Removing H_E2 weakens mapping but not above null threshold; treat as secondary.
raw,ridge,1.0,Je,ok,45,-0.1582845171624394,-0.10869860483722626,-0.049585912325213144,-0.028201719999078608,3.547446585303456e-05,0.012413833661922979,0.8756218905472637,negative_or_unstable_dimension,Removing Je_E2 improves or destabilizes mapping; Je is not a positive mapping dimension under this metric.
raw,ridge,1.0,Jw,ok,45,-0.1582845171624394,-0.11976385836981707,-0.03852065879262234,-0.027789854470758976,0.002551881503585116,0.015108446502470747,0.6517412935323383,negative_or_unstable_dimension,Removing Jw_E2 improves or destabilizes mapping; Jw is not a positive mapping dimension under this metric.
