year,mode,cluster_id,object,window_day_min,window_day_max,strength_raw,note,strength_z
1979,anomaly,E1,P,12,23,2.916325137235147,,-0.27924972916451196
1980,anomaly,E1,P,12,23,3.46286414620299,,0.16809267543895945
1981,anomaly,E1,P,12,23,2.044605724344571,,-0.9927524287036413
1982,anomaly,E1,P,12,23,2.0647518525770807,,-0.9762628144234081
1983,anomaly,E1,P,12,23,3.553027481642267,,0.2418914027405066
1984,anomaly,E1,P,12,23,2.3547526650991264,,-0.7388970295811309
1985,anomaly,E1,P,12,23,2.893588205882324,,-0.2978599168689258
1986,anomaly,E1,P,12,23,2.6229534988732435,,-0.519374536349127
1987,anomaly,E1,P,12,23,2.0418867221893584,,-0.9949779330908433
1988,anomaly,E1,P,12,23,2.515178767584886,,-0.6075881984280281
1989,anomaly,E1,P,12,23,2.336818462334844,,-0.7535761819519226
1990,anomaly,E1,P,12,23,3.97902860538628,,0.590573498496713
1991,anomaly,E1,P,12,23,2.506341770928787,,-0.6148212838414149
1992,anomaly,E1,P,12,23,1.7839367265441224,,-1.2061101110799615
1993,anomaly,E1,P,12,23,2.047476996570593,,-0.9904022912005831
1994,anomaly,E1,P,12,23,2.922119900335063,,-0.27450671317354103
1995,anomaly,E1,P,12,23,3.6663789764057406,,0.33466964802742905
1996,anomaly,E1,P,12,23,2.764213791167491,,-0.4037529287547532
1997,anomaly,E1,P,12,23,3.8635732905947258,,0.4960732756477647
1998,anomaly,E1,P,12,23,2.939675146546207,,-0.26013773689803193
1999,anomaly,E1,P,12,23,3.629133086006596,,0.30418387135026775
2000,anomaly,E1,P,12,23,1.975179377568033,,-1.049577922218741
2001,anomaly,E1,P,12,23,2.2426668954637154,,-0.8306392783278909
2002,anomaly,E1,P,12,23,2.9080078843627497,,-0.286057404076244
2003,anomaly,E1,P,12,23,3.8483138118479623,,0.48358338599018247
2004,anomaly,E1,P,12,23,2.547309444915128,,-0.581289225760746
2005,anomaly,E1,P,12,23,2.2598285199216153,,-0.8165924816200087
2006,anomaly,E1,P,12,23,1.6138026827024716,,-1.3453648962429992
2007,anomaly,E1,P,12,23,1.6912828244941482,,-1.2819473681811624
2008,anomaly,E1,P,12,23,3.2238184398231096,,-0.027566333977517263
2009,anomaly,E1,P,12,23,5.066976379069585,,1.4810592006638907
2010,anomaly,E1,P,12,23,2.7520475831551687,,-0.4137109750384329
2011,anomaly,E1,P,12,23,2.8054687789944515,,-0.3699857041768543
2012,anomaly,E1,P,12,23,2.9121333099717654,,-0.28268074151114164
2013,anomaly,E1,P,12,23,1.7321746414301993,,-1.248477399127491
2014,anomaly,E1,P,12,23,2.486781096075266,,-0.6308317042891081
2015,anomaly,E1,P,12,23,2.2303011355692988,,-0.8407606579094954
