year,mode,target_metric,target_family,target_value
1979,anomaly,P_total_strength_transition,P_strength,3.967764227558213
1980,anomaly,P_total_strength_transition,P_strength,1.092988959199512
1981,anomaly,P_total_strength_transition,P_strength,0.12745862892053506
1982,anomaly,P_total_strength_transition,P_strength,1.4184080535736525
1983,anomaly,P_total_strength_transition,P_strength,0.8703575037573854
1984,anomaly,P_total_strength_transition,P_strength,1.3683277133713752
1985,anomaly,P_total_strength_transition,P_strength,1.01396145821524
1986,anomaly,P_total_strength_transition,P_strength,0.0841896465994374
1987,anomaly,P_total_strength_transition,P_strength,1.6578553360249542
1988,anomaly,P_total_strength_transition,P_strength,0.42963090853256647
1989,anomaly,P_total_strength_transition,P_strength,2.1808008119914613
1990,anomaly,P_total_strength_transition,P_strength,0.19655255621508516
1991,anomaly,P_total_strength_transition,P_strength,0.46594846896973774
1992,anomaly,P_total_strength_transition,P_strength,-0.5750040205451734
1993,anomaly,P_total_strength_transition,P_strength,1.320632315905251
1994,anomaly,P_total_strength_transition,P_strength,0.6042219334736636
1995,anomaly,P_total_strength_transition,P_strength,-2.1668405163895343
1996,anomaly,P_total_strength_transition,P_strength,0.7272818567836534
1997,anomaly,P_total_strength_transition,P_strength,-0.3143532771428994
1998,anomaly,P_total_strength_transition,P_strength,0.4258111541254941
1999,anomaly,P_total_strength_transition,P_strength,-0.030001301777466516
2000,anomaly,P_total_strength_transition,P_strength,1.2848209412373377
2001,anomaly,P_total_strength_transition,P_strength,-1.0945333820285015
2002,anomaly,P_total_strength_transition,P_strength,-0.11304197018487683
2003,anomaly,P_total_strength_transition,P_strength,0.1978378560179559
2004,anomaly,P_total_strength_transition,P_strength,1.2378453072532523
2005,anomaly,P_total_strength_transition,P_strength,-0.4547767298559826
2006,anomaly,P_total_strength_transition,P_strength,0.5804476684348581
2007,anomaly,P_total_strength_transition,P_strength,0.19492222812997895
2008,anomaly,P_total_strength_transition,P_strength,-3.175967070419132
2009,anomaly,P_total_strength_transition,P_strength,-0.4688386585915367
2010,anomaly,P_total_strength_transition,P_strength,1.1788786499094739
2011,anomaly,P_total_strength_transition,P_strength,0.31270001667008884
2012,anomaly,P_total_strength_transition,P_strength,1.7434472233497087
2013,anomaly,P_total_strength_transition,P_strength,0.9310533637630156
2014,anomaly,P_total_strength_transition,P_strength,-0.05199349535034781
2015,anomaly,P_total_strength_transition,P_strength,1.355065323417132
2016,anomaly,P_total_strength_transition,P_strength,0.6753084756181895
