object,window_id,break_day,main_peak_day,top_detector_feature_group,top_detector_group_contribution,top_detector_group_share,total_detector_delta_norm,top_semantic_metric,top_semantic_metric_group,top_semantic_metric_delta_z,dominant_change_content,secondary_change_content,detector_semantic_consistency,content_confidence_note,source_v10_2_support,edge_limited_flag,forbidden_interpretation_note
P,W001,18,18,profile_structure,1.0759253347476783,0.6818390218974492,1.25617498492971,P_total_strength,strength,0.37122623367045304,lat_profile_reorganization,rainband_redistribution,mixed_or_inconsistent,detector_change_concentrated;semantic_mixed_or_inconsistent,0.793,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
P,W002,34,34,profile_structure,3.1869622630715746,0.6712526472997371,2.178940919261467,P_total_strength,strength,0.7303795885829093,lat_profile_reorganization,rainband_redistribution,mixed_or_inconsistent,detector_change_concentrated;semantic_mixed_or_inconsistent,0.6,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
P,W003,45,45,profile_structure,5.929701801328255,0.4740009010260808,3.5369330827763794,P_centroid_lat,position,-1.536468834203586,lat_profile_reorganization,rainband_redistribution,partial,detector_change_mixed;semantic_partial,0.985,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
P,W004,65,65,profile_structure,3.993695182858861,0.812947323750909,2.216441404138834,P_total_strength,strength,0.8485211686901925,lat_profile_reorganization,strength_change,mixed_or_inconsistent,detector_change_concentrated;semantic_mixed_or_inconsistent,0.811,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
P,W005,82,82,profile_structure,13.73833177504304,0.9071579460601011,3.8915762618364567,P_spread_lat,rainband_width,0.8352130989360192,lat_profile_reorganization,rainband_width_change,partial,detector_change_concentrated;semantic_partial,0.916,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
P,W006,95,95,profile_structure,7.476854666258815,0.8544144359844741,2.9581839795385396,P_spread_lat,rainband_width,0.6913953969271855,lat_profile_reorganization,rainband_redistribution,partial,detector_change_concentrated;semantic_partial,0.695,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
P,W007,113,113,profile_structure,5.584082177775056,0.6900741303520087,2.84464467986138,P_centroid_lat,position,-0.9447022550577111,lat_profile_reorganization,rainband_redistribution,partial,detector_change_concentrated;semantic_partial,0.938,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
P,W008,126,126,profile_structure,1.1781583388978962,0.8472559483206692,1.1792191340890394,P_spread_lat,rainband_width,-0.33484345566308205,lat_profile_reorganization,rainband_width_change,partial,detector_change_concentrated;semantic_partial,0.839,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
P,W009,138,138,profile_structure,0.6570273955257248,0.9351667327825255,0.8381991472507088,P_centroid_lat,position,-0.1613962201109309,lat_profile_reorganization,position_shift,partial,detector_change_concentrated;semantic_partial,0.918,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
P,W010,158,158,profile_structure,4.527358404163752,0.8296870344932289,2.3359593795445255,P_centroid_lat,position,-0.7757106248238544,lat_profile_reorganization,position_shift,partial,detector_change_concentrated;semantic_partial,0.957,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
V,W001,16,16,profile_structure,1.1869560836255153,0.9750696853384684,1.1033149376704554,V_strength,strength,0.11368594701133838,lat_profile_reorganization,strength_change,mixed_or_inconsistent,detector_change_concentrated;semantic_mixed_or_inconsistent,0.589,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
V,W002,30,30,profile_structure,1.5646463071368086,0.9121671439803726,1.3096971341867776,V_pos_centroid_lat,position,-0.28790400289311535,lat_profile_reorganization,position_shift,partial,detector_change_concentrated;semantic_partial,0.669,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
V,W003,45,45,profile_structure,4.406231167860339,0.6656374385478755,2.5728517869229712,V_NS_diff,latitudinal_structure,-1.0520466767343282,lat_profile_reorganization,latitudinal_structure_change,partial,detector_change_concentrated;semantic_partial,0.984,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
V,W004,80,80,profile_structure,5.168577710875095,0.679230853011282,2.758524355499229,V_NS_diff,latitudinal_structure,1.179312500303503,lat_profile_reorganization,latitudinal_structure_change,partial,detector_change_concentrated;semantic_partial,0.901,False,"Do not infer precursor, causality, pathway, or cross-object influence from V10.8_a alone."
