object,window_id,start_day,end_day,center_day,main_peak_day,member_candidate_ids,source_v10_2_support,detector_width_from_v10_2,reconstructed_flank_half_width,left_start,left_end,right_start,right_end,left_n_days,right_n_days,edge_limited_flag,insufficient_flank_flag
P,W001,16,20,18,18,CP001,0.793,20,10,8,17,19,28,10,10,False,False
P,W002,32,36,34,34,CP002,0.6,20,10,24,33,35,44,10,10,False,False
P,W003,38,48,43,45,CP003,0.985,20,10,35,44,46,55,10,10,False,False
P,W004,63,67,65,65,CP004,0.811,20,10,55,64,66,75,10,10,False,False
P,W005,74,91,82,82,CP005,0.916,20,10,72,81,83,92,10,10,False,False
P,W006,93,97,95,95,CP006,0.695,20,10,85,94,96,105,10,10,False,False
P,W007,110,116,113,113,CP007,0.938,20,10,103,112,114,123,10,10,False,False
P,W008,124,128,126,126,CP008,0.839,20,10,116,125,127,136,10,10,False,False
P,W009,136,140,138,138,CP009,0.918,20,10,128,137,139,148,10,10,False,False
P,W010,153,161,157,158,CP010,0.957,20,10,148,157,159,168,10,10,False,False
V,W001,14,18,16,16,CP001,0.589,20,10,6,15,17,26,10,10,False,False
V,W002,28,32,30,30,CP002,0.669,20,10,20,29,31,40,10,10,False,False
V,W003,40,49,44,45,CP003,0.984,20,10,35,44,46,55,10,10,False,False
V,W004,67,86,76,80,CP005;CP004,0.901,20,10,70,79,81,90,10,10,False,False
V,W005,93,97,95,95,CP006,0.943,20,10,85,94,96,105,10,10,False,False
V,W006,109,123,116,114,CP007,0.933,20,10,104,113,115,124,10,10,False,False
V,W007,134,139,136,136,CP008,0.833,20,10,126,135,137,146,10,10,False,False
V,W008,158,164,161,161,CP009,0.879,20,10,151,160,162,171,10,10,False,False
H,W001,17,21,19,19,CP001,0.784,20,10,9,18,20,29,10,10,False,False
H,W002,32,37,34,35,CP002,0.908,20,10,25,34,36,45,10,10,False,False
H,W003,55,59,57,57,CP003,0.724,20,10,47,56,58,67,10,10,False,False
H,W004,72,82,77,77,CP004,0.942,20,10,67,76,78,87,10,10,False,False
H,W005,91,98,94,95,CP005,0.889,20,10,85,94,96,105,10,10,False,False
H,W006,110,118,114,115,CP006,0.996,20,10,105,114,116,125,10,10,False,False
H,W007,127,131,129,129,CP007,0.887,20,10,119,128,130,139,10,10,False,False
H,W008,151,158,154,155,CP008,0.936,20,10,145,154,156,165,10,10,False,False
Je,W001,24,28,26,26,CP001,0.825,20,10,16,25,27,36,10,10,False,False
Je,W002,31,35,33,33,CP002,0.763,20,10,23,32,34,43,10,10,False,False
Je,W003,43,50,46,46,CP003,0.978,20,10,36,45,47,56,10,10,False,False
Je,W004,79,83,81,81,CP004,0.714,20,10,71,80,82,91,10,10,False,False
Je,W005,92,96,94,94,CP005,0.606,20,10,84,93,95,104,10,10,False,False
Je,W006,103,117,110,111,CP006,0.986,20,10,101,110,112,121,10,10,False,False
Je,W007,132,144,138,136,CP007,0.842,20,10,126,135,137,146,10,10,False,False
Je,W008,159,165,162,162,CP008,0.981,20,10,152,161,163,172,10,10,False,False
Jw,W001,37,49,43,41,CP001,0.913,20,10,31,40,42,51,10,10,False,False
Jw,W002,78,86,82,83,CP002,0.806,20,10,73,82,84,93,10,10,False,False
Jw,W003,97,114,106,104,CP003,0.898,20,10,94,103,105,114,10,10,False,False
Jw,W004,127,135,131,130,CP004,0.923,20,10,120,129,131,140,10,10,False,False
Jw,W005,148,156,152,152,CP005,0.729,20,10,142,151,153,162,10,10,False,False
