day,score
4,
5,-293.6167209239108
6,-291.30943458570647
7,-289.62726043910374
8,-288.22579383646837
9,-286.9728804758156
10,-285.72443268268444
11,-284.5288013596005
12,-283.49177028665935
13,-282.63083995050033
14,-281.95735963114777
15,-281.4855997312938
16,-281.1935244013405
17,-281.0827275352331
18,-281.08615465293593
19,-281.2454454164733
20,-281.47195341285436
21,-281.71355867403815
22,-281.84894087840456
23,-281.83452635310977
24,-281.7809485223748
25,-281.7324035725589
26,-281.63678024872746
27,-281.5802041226109
28,-281.53494843720205
29,-281.50113959178344
30,-281.51582849078056
31,-281.62307857619584
32,-281.63494381308806
33,-281.50893692648384
34,-281.2265405831673
35,-280.8636178082258
36,-280.41089598994586
37,-279.8511368054597
38,-279.37145240303636
39,-278.85494126681795
40,-278.51868037452607
41,-278.40323876049814
42,-278.2534514080636
43,-278.1137426280204
44,-278.0892770127087
45,-278.2567206307584
46,-278.73465668454344
47,-279.45876245371153
48,-280.3178086100564
49,-281.2474370331462
50,-281.96310244000347
51,-282.63459319913
52,-283.350485196141
53,-284.12479105473636
54,-284.72060286742067
55,-284.8523300062279
56,-284.6492032756166
57,-284.28740422576277
58,-283.8532371195661
59,-283.3891831690783
60,-282.7936180068991
61,-282.0264261506522
62,-281.2146525121314
63,-280.50461187320974
64,-279.92945137027255
65,-279.43319991126396
66,-278.9727110849373
67,-278.4936228870777
68,-277.9138043530184
69,-277.1471283589984
70,-276.31924043899784
71,-275.3402567638553
72,-274.3619741779362
73,-273.35158223884537
74,-272.3019658473698
75,-271.3760166626094
76,-270.67726873800046
77,-270.22545258041356
78,-270.0155410966639
79,-270.0416443822931
80,-270.21755159335436
81,-270.5098006991949
82,-270.75688448967776
83,-271.01525182523096
84,-271.49446440324436
85,-271.97193197684356
86,-272.5559248726785
87,-272.9765749303097
88,-273.53700399477
89,-273.9597091677887
90,-274.0881724009182
91,-274.30661633452837
92,-274.24594708034977
93,-274.1940169867569
94,-274.1319761061409
95,-274.0757426501817
96,-274.0061604270146
97,-273.96990105711194
98,-273.8809716784864
99,-273.7831615834067
100,-273.6886123821609
101,-273.4464853258048
102,-273.2107445105502
103,-273.00091330100554
104,-272.5034894286057
105,-272.0131406489152
106,-271.49427149259293
107,-270.88352401796755
108,-270.3368605759593
109,-269.92598898656854
110,-269.7851706073892
111,-269.80984788166745
112,-270.11607486720703
113,-270.7411085959693
114,-271.5847994929068
115,-272.7386994469068
116,-274.3223225955151
117,-275.99434498413024
118,-277.83494283709615
119,-279.8626890367376
120,-281.86999227039064
121,-283.48555728633045
122,-284.78049793998565
123,-285.7177332051975
124,-286.4127599593326
125,-286.6308784496512
126,-286.40189858131737
127,-286.00167626462616
128,-285.28847781665985
129,-284.4029374679112
130,-283.59523617928863
131,-282.9511513680885
132,-282.55395523882794
133,-282.2797533746656
134,-282.04314188611664
135,-281.7907938477158
136,-281.6031392946889
137,-281.5997888402403
138,-281.8426385090116
139,-282.063830141616
140,-282.2016412322527
141,-282.2256827510654
142,-282.1993125250039
143,-282.13077192156715
144,-282.0280409403935
145,-281.7050237540357
146,-281.0516736639113
147,-280.15476745757206
148,-279.23665875174777
149,-278.32244760971776
150,-277.42402291053315
151,-276.56181123679596
152,-275.67958781353553
153,-274.7948615998666
154,-274.02141623482646
155,-273.44989922033363
156,-273.0258247195094
157,-272.64059532301366
158,-272.2407295845454
159,-271.9332452213292
160,-271.7129619459574
161,-271.66767611191665
162,-271.78365181680323
163,-271.94647369963866
164,-272.17141479893087
165,-272.3916143984751
166,-272.7659093027098
167,-273.28343592028574
168,-273.8715363342898
169,-274.50979020663044
170,-275.24828499360143
171,-276.0868967372854
172,-277.03157228637133
173,-278.1099220849094
174,-279.4784840336313
175,-281.19037330081534
176,-283.3164513171408
177,-286.0504541607839
178,-289.8231397911228
