width,pen,window_id,start_day,end_day,center_day,main_peak_day,n_support_points
12,1.0,RW01,16,16,16,16,1
12,1.0,RW02,42,47,45,45,1
12,1.0,RW03,75,86,83,83,1
12,1.0,RW04,94,99,96,96,1
12,1.0,RW05,110,116,113,113,1
12,1.0,RW06,127,128,127,127,1
12,1.0,RW07,155,164,161,161,1
12,2.0,RW01,16,16,16,16,1
12,2.0,RW02,42,47,45,45,1
12,2.0,RW03,75,86,83,83,1
12,2.0,RW04,94,99,96,96,1
12,2.0,RW05,110,116,113,113,1
12,2.0,RW06,127,128,127,127,1
12,2.0,RW07,155,164,161,161,1
12,4.0,RW01,16,16,16,16,1
12,4.0,RW02,42,47,45,45,1
12,4.0,RW03,75,86,83,83,1
12,4.0,RW04,94,99,96,96,1
12,4.0,RW05,110,116,113,113,1
12,4.0,RW06,127,128,127,127,1
12,4.0,RW07,155,164,161,161,1
12,8.0,RW01,16,16,16,16,1
12,8.0,RW02,42,47,45,45,1
12,8.0,RW03,75,86,83,83,1
12,8.0,RW04,94,99,96,96,1
12,8.0,RW05,110,116,113,113,1
12,8.0,RW06,127,128,127,127,1
12,8.0,RW07,155,164,161,161,1
16,1.0,RW01,42,47,45,45,1
16,1.0,RW02,75,85,80,80,1
16,1.0,RW03,94,99,96,96,1
16,1.0,RW04,109,116,113,113,1
16,1.0,RW05,135,135,135,135,1
16,1.0,RW06,155,163,160,160,1
16,2.0,RW01,42,47,45,45,1
16,2.0,RW02,75,85,80,80,1
16,2.0,RW03,94,99,96,96,1
16,2.0,RW04,109,116,113,113,1
16,2.0,RW05,135,135,135,135,1
16,2.0,RW06,155,163,160,160,1
16,4.0,RW01,42,47,45,45,1
16,4.0,RW02,75,85,80,80,1
16,4.0,RW03,94,99,96,96,1
16,4.0,RW04,109,116,113,113,1
16,4.0,RW05,135,135,135,135,1
16,4.0,RW06,155,163,160,160,1
16,8.0,RW01,42,47,45,45,1
16,8.0,RW02,75,85,80,80,1
16,8.0,RW03,94,99,96,96,1
16,8.0,RW04,109,116,113,113,1
16,8.0,RW05,135,135,135,135,1
16,8.0,RW06,155,163,160,160,1
20,1.0,RW01,43,47,45,45,1
20,1.0,RW02,76,85,81,81,1
20,1.0,RW03,109,116,113,113,1
20,1.0,RW04,135,135,135,135,1
20,1.0,RW05,156,163,160,160,1
20,2.0,RW01,43,47,45,45,1
20,2.0,RW02,76,85,81,81,1
20,2.0,RW03,109,116,113,113,1
20,2.0,RW04,135,135,135,135,1
20,2.0,RW05,156,163,160,160,1
20,4.0,RW01,43,47,45,45,1
20,4.0,RW02,76,85,81,81,1
20,4.0,RW03,109,116,113,113,1
20,4.0,RW04,135,135,135,135,1
20,4.0,RW05,156,163,160,160,1
20,8.0,RW01,43,47,45,45,1
20,8.0,RW02,76,85,81,81,1
20,8.0,RW03,109,116,113,113,1
20,8.0,RW04,135,135,135,135,1
20,8.0,RW05,156,163,160,160,1
24,1.0,RW01,44,44,44,44,1
24,1.0,RW02,75,87,81,81,1
24,1.0,RW03,109,115,113,113,1
24,1.0,RW04,134,134,134,134,1
24,1.0,RW05,157,163,159,159,1
24,2.0,RW01,44,44,44,44,1
24,2.0,RW02,75,87,81,81,1
24,2.0,RW03,109,115,113,113,1
24,2.0,RW04,134,134,134,134,1
24,2.0,RW05,157,163,159,159,1
24,4.0,RW01,44,44,44,44,1
24,4.0,RW02,75,87,81,81,1
24,4.0,RW03,109,115,113,113,1
24,4.0,RW04,134,134,134,134,1
24,4.0,RW05,157,163,159,159,1
24,8.0,RW01,44,44,44,44,1
24,8.0,RW02,75,87,81,81,1
24,8.0,RW03,109,115,113,113,1
24,8.0,RW04,134,134,134,134,1
24,8.0,RW05,157,163,159,159,1
28,1.0,RW01,44,44,44,44,1
28,1.0,RW02,74,87,80,80,1
28,1.0,RW03,108,114,111,111,1
28,1.0,RW04,159,162,160,160,1
28,2.0,RW01,44,44,44,44,1
28,2.0,RW02,74,87,80,80,1
28,2.0,RW03,108,114,111,111,1
28,2.0,RW04,159,162,160,160,1
28,4.0,RW01,44,44,44,44,1
28,4.0,RW02,74,87,80,80,1
28,4.0,RW03,108,114,111,111,1
28,4.0,RW04,159,162,160,160,1
28,8.0,RW01,44,44,44,44,1
28,8.0,RW02,74,87,80,80,1
28,8.0,RW03,108,114,111,111,1
28,8.0,RW04,159,162,160,160,1
