year,point_id,formal_point_day,nearest_yearwise_peak_day,nearest_yearwise_peak_score,best_match_peak_rank_within_year,day_offset,best_match_exists,near_point_flag,strict_point_flag
1979,RP001,45,41,22.855568155099448,,-4,True,False,False
1979,RP002,81,77,34.961467754428455,,-4,True,False,False
1979,RP003,113,112,46.216527849102235,,-1,True,True,True
1979,LP006,132,135,29.66792898817714,,3,True,True,False
1979,RP004,135,135,29.66792898817714,,0,True,True,True
1979,RP005,160,167,16.563992003488032,,7,True,False,False
1980,RP001,45,39,20.426665986453862,,-6,True,False,False
1980,RP002,81,84,27.22765425947775,,3,True,True,False
1980,RP003,113,120,26.816493656611605,,7,True,False,False
1980,LP006,132,120,26.816493656611605,,-12,True,False,False
1980,RP004,135,120,26.816493656611605,,-15,True,False,False
1980,RP005,160,157,28.29778046233703,,-3,True,True,False
1981,RP001,45,35,17.67720087620576,,-10,True,False,False
1981,RP002,81,79,39.59737142417114,,-2,True,True,True
1981,RP003,113,104,25.952030361984384,,-9,True,False,False
1981,LP006,132,125,21.41056909605779,,-7,True,False,False
1981,RP004,135,125,21.41056909605779,,-10,True,False,False
1981,RP005,160,159,40.33286374231299,,-1,True,True,True
1982,RP001,45,43,29.388677297644193,,-2,True,True,True
1982,RP002,81,81,43.06433900282269,,0,True,True,True
1982,RP003,113,113,35.98623978425035,,0,True,True,True
1982,LP006,132,139,15.64137194430375,,7,True,False,False
1982,RP004,135,139,15.64137194430375,,4,True,False,False
1982,RP005,160,157,17.470126257489518,,-3,True,True,False
1983,RP001,45,35,18.003382508250272,,-10,True,False,False
1983,RP002,81,70,19.581557583807978,,-11,True,False,False
1983,RP003,113,105,32.726630620419115,,-8,True,False,False
1983,LP006,132,126,48.84578974631426,,-6,True,False,False
1983,RP004,135,126,48.84578974631426,,-9,True,False,False
1983,RP005,160,167,26.479354141460377,,7,True,False,False
1984,RP001,45,39,18.71707089489041,,-6,True,False,False
1984,RP002,81,73,36.99383211252645,,-8,True,False,False
1984,RP003,113,121,21.448076919818135,,8,True,False,False
1984,LP006,132,134,21.947168401357253,,2,True,True,True
1984,RP004,135,134,21.947168401357253,,-1,True,True,True
1984,RP005,160,154,35.89672163288009,,-6,True,False,False
1985,RP001,45,52,21.815108818052824,,7,True,False,False
1985,RP002,81,87,24.317437784918273,,6,True,False,False
1985,RP003,113,110,16.685616229790575,,-3,True,True,False
1985,LP006,132,129,16.013400878156162,,-3,True,True,False
1985,RP004,135,129,16.013400878156162,,-6,True,False,False
1985,RP005,160,167,28.126229046301045,,7,True,False,False
1986,RP001,45,31,17.605132425783786,,-14,True,False,False
1986,RP002,81,70,15.427901909076013,,-11,True,False,False
1986,RP003,113,116,39.00324148463578,,3,True,True,False
1986,LP006,132,138,22.80201134615114,,6,True,False,False
1986,RP004,135,138,22.80201134615114,,3,True,True,False
1986,RP005,160,154,31.176071512552447,,-6,True,False,False
1987,RP001,45,45,16.491421228280192,,0,True,True,True
1987,RP002,81,88,30.809373345473634,,7,True,False,False
1987,RP003,113,129,33.073867343822506,,16,True,False,False
1987,LP006,132,129,33.073867343822506,,-3,True,True,False
1987,RP004,135,129,33.073867343822506,,-6,True,False,False
1987,RP005,160,153,37.743001423964486,,-7,True,False,False
1988,RP001,45,27,31.49980535093905,,-18,True,False,False
1988,RP002,81,89,30.354435653096267,,8,True,False,False
1988,RP003,113,114,26.51499489725567,,1,True,True,True
1988,LP006,132,136,28.699880887466033,,4,True,False,False
1988,RP004,135,136,28.699880887466033,,1,True,True,True
1988,RP005,160,158,21.186131878704508,,-2,True,True,True
1989,RP001,45,35,10.599656824280931,,-10,True,False,False
1989,RP002,81,75,22.25600106287361,,-6,True,False,False
1989,RP003,113,114,45.80765703522821,,1,True,True,True
1989,LP006,132,128,31.320328443603902,,-4,True,False,False
1989,RP004,135,128,31.320328443603902,,-7,True,False,False
1989,RP005,160,156,36.619907401064644,,-4,True,False,False
1990,RP001,45,40,15.784128205114959,,-5,True,False,False
1990,RP002,81,88,18.214651265869946,,7,True,False,False
1990,RP003,113,113,25.113015136881494,,0,True,True,True
1990,LP006,132,133,40.24265221265858,,1,True,True,True
1990,RP004,135,133,40.24265221265858,,-2,True,True,True
1990,RP005,160,133,40.24265221265858,,-27,True,False,False
1991,RP001,45,47,39.91165931994307,,2,True,True,True
1991,RP002,81,87,32.14390499474068,,6,True,False,False
1991,RP003,113,119,23.6909288978663,,6,True,False,False
1991,LP006,132,131,21.019802635571494,,-1,True,True,True
1991,RP004,135,131,21.019802635571494,,-4,True,False,False
1991,RP005,160,148,21.68834614914431,,-12,True,False,False
1992,RP001,45,47,25.024764043787062,,2,True,True,True
