replicate_id,status,n_valid_days,n_detected_local_peaks
0,success,175,10
1,success,175,10
2,success,175,11
3,success,175,10
4,success,175,9
5,success,175,12
6,success,175,8
7,success,175,8
8,success,175,9
9,success,175,9
10,success,175,9
11,success,175,9
12,success,175,8
13,success,175,7
14,success,175,9
15,success,175,11
16,success,175,10
17,success,175,9
18,success,175,9
19,success,175,9
20,success,175,9
21,success,175,8
22,success,175,9
23,success,175,9
24,success,175,9
25,success,175,8
26,success,175,8
27,success,175,11
28,success,175,7
29,success,175,10
30,success,175,13
31,success,175,8
32,success,175,8
33,success,175,9
34,success,175,10
35,success,175,8
36,success,175,9
37,success,175,10
38,success,175,7
39,success,175,8
40,success,175,7
41,success,175,9
42,success,175,8
43,success,175,9
44,success,175,10
45,success,175,9
46,success,175,11
47,success,175,9
48,success,175,11
49,success,175,8
50,success,175,7
51,success,175,10
52,success,175,9
53,success,175,7
54,success,175,7
55,success,175,10
56,success,175,10
57,success,175,11
58,success,175,9
59,success,175,8
60,success,175,8
61,success,175,9
62,success,175,9
63,success,175,9
64,success,175,9
65,success,175,9
66,success,175,8
67,success,175,8
68,success,175,9
69,success,175,11
70,success,175,10
71,success,175,9
72,success,175,10
73,success,175,10
74,success,175,8
75,success,175,9
76,success,175,8
77,success,175,6
78,success,175,10
79,success,175,7
80,success,175,10
81,success,175,8
82,success,175,9
83,success,175,9
84,success,175,9
85,success,175,8
86,success,175,10
87,success,175,8
88,success,175,10
89,success,175,11
90,success,175,10
91,success,175,8
92,success,175,9
93,success,175,9
94,success,175,12
95,success,175,12
96,success,175,8
97,success,175,8
98,success,175,8
99,success,175,9
100,success,175,7
101,success,175,9
102,success,175,9
103,success,175,8
104,success,175,7
105,success,175,9
106,success,175,7
107,success,175,9
108,success,175,8
109,success,175,6
110,success,175,9
111,success,175,8
112,success,175,11
113,success,175,8
114,success,175,8
115,success,175,9
116,success,175,9
117,success,175,8
118,success,175,8
119,success,175,7
120,success,175,8
121,success,175,8
122,success,175,8
123,success,175,8
124,success,175,8
125,success,175,8
126,success,175,10
127,success,175,10
128,success,175,9
129,success,175,8
130,success,175,7
131,success,175,8
132,success,175,8
133,success,175,10
134,success,175,6
135,success,175,8
136,success,175,7
137,success,175,8
138,success,175,8
139,success,175,8
140,success,175,8
141,success,175,6
142,success,175,6
143,success,175,9
144,success,175,9
145,success,175,6
146,success,175,8
147,success,175,8
148,success,175,10
149,success,175,8
150,success,175,10
151,success,175,9
152,success,175,9
153,success,175,8
154,success,175,9
155,success,175,9
156,success,175,9
157,success,175,9
158,success,175,10
159,success,175,9
160,success,175,8
161,success,175,8
162,success,175,11
163,success,175,8
164,success,175,10
165,success,175,8
166,success,175,7
167,success,175,10
168,success,175,9
169,success,175,9
170,success,175,10
171,success,175,8
172,success,175,8
173,success,175,8
174,success,175,8
175,success,175,7
176,success,175,10
177,success,175,9
178,success,175,8
179,success,175,8
180,success,175,9
181,success,175,8
182,success,175,12
183,success,175,8
184,success,175,9
185,success,175,10
186,success,175,10
187,success,175,7
188,success,175,9
189,success,175,9
190,success,175,9
191,success,175,9
192,success,175,8
193,success,175,6
194,success,175,11
195,success,175,8
196,success,175,10
197,success,175,7
198,success,175,8
199,success,175,10
200,success,175,11
201,success,175,10
202,success,175,8
203,success,175,10
204,success,175,9
205,success,175,8
206,success,175,10
207,success,175,11
208,success,175,11
209,success,175,7
210,success,175,11
211,success,175,10
212,success,175,8
213,success,175,10
214,success,175,9
215,success,175,11
216,success,175,8
217,success,175,11
218,success,175,8
219,success,175,10
220,success,175,9
221,success,175,9
222,success,175,9
