object,replicate_id,replicate_kind,replicate_label,candidate_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
H,0,bootstrap,0,CP001,38,05-09,36,0.10210305283738287,0.0996797490282914,-2,2,strict
H,0,bootstrap,0,CP002,48,05-19,55,0.1256136180374977,0.07566467467784135,7,7,near
H,0,bootstrap,0,CP003,58,05-29,55,0.1256136180374977,0.07566467467784135,-3,3,matched
H,1,bootstrap,1,CP001,38,05-09,40,0.3951746177884659,0.3766118585924016,2,2,strict
H,1,bootstrap,1,CP002,48,05-19,40,0.3951746177884659,0.3766118585924016,-8,8,near
H,1,bootstrap,1,CP003,58,05-29,56,0.05860132804148282,0.03437377622183215,-2,2,strict
H,2,bootstrap,2,CP001,38,05-09,37,0.4846772002437407,0.48047734581755697,-1,1,strict
H,2,bootstrap,2,CP002,48,05-19,47,0.033693378653223055,0.02741867508190654,-1,1,strict
H,2,bootstrap,2,CP003,58,05-29,56,0.1053959368841155,0.05599045515732286,-2,2,strict
H,3,bootstrap,3,CP001,38,05-09,36,0.26154913699804694,0.2563476774147159,-2,2,strict
H,3,bootstrap,3,CP002,48,05-19,46,0.0075549733388699455,0.0027083741855698715,-2,2,strict
H,3,bootstrap,3,CP003,58,05-29,56,0.22325320959824954,0.08787203319749151,-2,2,strict
H,4,bootstrap,4,CP001,38,05-09,41,0.1964330004308471,0.1741633572775295,3,3,matched
H,4,bootstrap,4,CP002,48,05-19,41,0.1964330004308471,0.1741633572775295,-7,7,near
H,4,bootstrap,4,CP003,58,05-29,41,0.1964330004308471,0.1741633572775295,-17,17,no_match
H,5,bootstrap,5,CP001,38,05-09,38,0.2657132412850244,0.26085073353724664,0,0,strict
H,5,bootstrap,5,CP002,48,05-19,52,0.014276993972610364,0.0016242241213514207,4,4,matched
H,5,bootstrap,5,CP003,58,05-29,52,0.014276993972610364,0.0016242241213514207,-6,6,near
H,6,bootstrap,6,CP001,38,05-09,38,0.42811279800418367,0.4221676457213717,0,0,strict
H,6,bootstrap,6,CP002,48,05-19,48,0.08843998344907306,0.0712305800915804,0,0,strict
H,6,bootstrap,6,CP003,58,05-29,48,0.08843998344907306,0.0712305800915804,-10,10,no_match
H,7,bootstrap,7,CP001,38,05-09,38,0.22929621236816758,0.22293281305474671,0,0,strict
H,7,bootstrap,7,CP002,48,05-19,38,0.22929621236816758,0.22293281305474671,-10,10,no_match
H,7,bootstrap,7,CP003,58,05-29,38,0.22929621236816758,0.22293281305474671,-20,20,no_match
H,8,bootstrap,8,CP001,38,05-09,39,0.19193537891420434,0.1745146205378423,1,1,strict
H,8,bootstrap,8,CP002,48,05-19,39,0.19193537891420434,0.1745146205378423,-9,9,no_match
H,8,bootstrap,8,CP003,58,05-29,57,0.06465006016886013,0.0122479891038198,-1,1,strict
H,9,bootstrap,9,CP001,38,05-09,37,0.43355925032912496,0.4174794207614827,-1,1,strict
H,9,bootstrap,9,CP002,48,05-19,48,0.052627111567243784,0.03400294070399981,0,0,strict
H,9,bootstrap,9,CP003,58,05-29,48,0.052627111567243784,0.03400294070399981,-10,10,no_match
H,10,bootstrap,10,CP001,38,05-09,37,0.40824359746953265,0.4004593017500635,-1,1,strict
H,10,bootstrap,10,CP002,48,05-19,48,0.019713662826593856,0.004724513255493237,0,0,strict
H,10,bootstrap,10,CP003,58,05-29,56,0.03803159799063814,0.018357303016231147,-2,2,strict
H,11,bootstrap,11,CP001,38,05-09,39,0.2743706999927359,0.26191815409432434,1,1,strict
H,11,bootstrap,11,CP002,48,05-19,39,0.2743706999927359,0.26191815409432434,-9,9,no_match
