baseline_config,field,day,R_diff,S_pattern,dR_diff,dS_pattern,dRdiff_smooth3,dSpattern_smooth3
C0_full_stage,H,0,,,0.0,0.0,0.0,0.0
C0_full_stage,H,1,,,0.0,0.0,0.0,0.0
C0_full_stage,H,2,,,0.0,0.0,0.0,0.0
C0_full_stage,H,3,,,0.0,0.0,0.0,0.0
C0_full_stage,H,4,-0.0125824459477486,-0.2284349638222797,0.0,0.0,2.1913931552399596e-05,0.0012267012667436978
C0_full_stage,H,5,-0.0125167041530914,-0.2247548600220486,6.574179465719879e-05,0.0036801038002310937,0.0001227203948506664,0.006869660218604939
C0_full_stage,H,6,-0.0122142847631966,-0.2078259831664649,0.0003024193898948004,0.016928876855583724,0.000290782293222733,0.016277453755407872
C0_full_stage,H,7,-0.0117100990680804,-0.1796026025560561,0.0005041856951161997,0.0282233806104088,0.0004277827682885333,0.0239464863936663
C0_full_stage,H,8,-0.0112333558482258,-0.1529154008410497,0.00047674321985459976,0.02668720171500638,0.000451231230528067,0.02525908784373786
C0_full_stage,H,9,-0.0108605910716124,-0.1320487196352513,0.00037276477661340145,0.020866681205798404,0.0003614030503787333,0.020230672832258562
C0_full_stage,H,10,-0.0106258899169442,-0.1189105840592804,0.00023470115466819874,0.013138135575970905,0.0003232455612230337,0.01809468732134367
C0_full_stage,H,11,-0.0102636191645567,-0.0986313388770187,0.00036227075238750087,0.020279245182261693,0.0002768229037762333,0.015496033010522936
C0_full_stage,H,12,-0.0100301223602837,-0.0855606206036825,0.00023349680427300033,0.01307071827333621,0.00026263886693696686,0.014702036921019101
C0_full_stage,H,13,-0.0098379733161333,-0.0748044732962231,0.00019214904415039945,0.010756147307459399,0.00020317808142900016,0.0113735323699363
C0_full_stage,H,14,-0.0096540849202697,-0.0645107417672098,0.0001838883958636007,0.010293731529013292,0.0001437559490066667,0.008047191546937999
C0_full_stage,H,15,-0.0095988545132637,-0.0614190459628685,5.5230407005999946e-05,0.0030916958043413073,0.00011002883326650022,0.006159210127299632
C0_full_stage,H,16,-0.0095078868163338,-0.0563268429143242,9.096769692990003e-05,0.005092203048544297,0.0001322235765257995,0.007401630712860136
C0_full_stage,H,17,-0.0092574141906923,-0.0423058496286294,0.0002504726256414985,0.014020993285694804,0.00020628139802343336,0.011547250280315032
C0_full_stage,H,18,-0.0089800103191934,-0.0267772951219234,0.00027740387149890154,0.015528554506705997,0.00018098828969679952,0.010131388961685134
C0_full_stage,H,19,-0.0089649219472434,-0.0259326760292688,1.5088371949998486e-05,0.0008446190926546006,8.79545106256668e-05,0.0049235304647394324
C0_full_stage,H,20,-0.0089935506588153,-0.0275352582344111,-2.8628711571899654e-05,-0.0016025822051423007,5.6043465518832804e-05,0.003137209312730901
C0_full_stage,H,21,-0.0088118799226369,-0.0173656671837307,0.00018167073617839959,0.010169591050680403,0.0001471000712993005,0.0082343893139235
C0_full_stage,H,22,-0.0085236217333455,-0.0012295080874983,0.00028825818929140157,0.016136159096232398,0.0002126288137181999,0.011902566844790968
C0_full_stage,H,23,-0.0083556642176607,0.0081724422999618,0.0001679575156847985,0.009401950387460101,0.0002179411016403667,0.012199938875358599
C0_full_stage,H,24,-0.0081580566177158,0.0192341494423451,0.0001976075999449,0.0110617071423833,0.00014276840713086636,0.007991910783322
C0_full_stage,H,25,-0.0080953165119529,0.0227462242624677,6.274010576290054e-05,0.0035120748201225988,5.852126229513357e-05,0.0032759117832104993
C0_full_stage,H,26,-0.0081801004307753,0.0180001776495933,-8.478391882239984e-05,-0.004746046612874401,-5.671983004756619e-05,-0.003175070945280734
C0_full_stage,H,27,-0.0083282161078585,0.0097089366065029,-0.00014811567708319928,-0.008291241043090399,-4.783605645850009e-05,-0.002677773767496
C0_full_stage,H,28,-0.0082388246813284,0.0147129029599797,8.939142653009886e-05,0.0050039663534768,-8.000039556966404e-06,-0.00044782738483349974
