day,lat,Je_raw_profile_value
0,25.0,
0,27.0,
0,29.0,
0,31.0,
0,33.0,
0,35.0,
0,37.0,
0,39.0,
0,41.0,
0,43.0,
0,45.0,
1,25.0,
1,27.0,
1,29.0,
1,31.0,
1,33.0,
1,35.0,
1,37.0,
1,39.0,
1,41.0,
1,43.0,
1,45.0,
2,25.0,
2,27.0,
2,29.0,
2,31.0,
2,33.0,
2,35.0,
2,37.0,
2,39.0,
2,41.0,
2,43.0,
2,45.0,
3,25.0,
3,27.0,
3,29.0,
3,31.0,
3,33.0,
3,35.0,
3,37.0,
3,39.0,
3,41.0,
3,43.0,
3,45.0,
4,25.0,38.68204249899863
4,27.0,44.66863438932491
4,29.0,49.05152910777707
4,31.0,51.09759189966759
4,33.0,50.63306693306823
4,35.0,48.083506936829195
4,37.0,44.26476804539957
4,39.0,40.01249447783246
4,41.0,35.67219876201885
4,43.0,31.327392471984734
4,45.0,26.994221087495983
5,25.0,38.343559313731134
5,27.0,44.15488499688191
5,29.0,48.48155667686785
5,31.0,50.53707589231551
5,33.0,50.15840293523634
5,35.0,47.67259862689669
5,37.0,43.93744249531691
5,39.0,39.728519338225865
5,41.0,35.468682902989876
5,43.0,31.291079235201526
5,45.0,27.128331433489368
6,25.0,38.00005221402489
6,27.0,43.72128836288067
6,29.0,48.04872937387886
6,31.0,50.14021359899191
6,33.0,49.738657656919216
6,35.0,47.25922822110464
6,37.0,43.57055982967866
6,39.0,39.49016911307169
6,41.0,35.36906364584385
6,43.0,31.308614784216388
6,45.0,27.20279309602546
7,25.0,37.67572333834454
7,27.0,43.408605495397495
7,29.0,47.76664520373109
7,31.0,49.94389376806466
7,33.0,49.60173504061935
7,35.0,47.122744326633516
7,37.0,43.3796546913317
7,39.0,39.29149402314104
7,41.0,35.20297461938336
7,43.0,31.211656514684783
7,45.0,27.20183649186156
8,25.0,37.38735902329053
8,27.0,43.18695826577375
8,29.0,47.671200802170944
8,31.0,50.10664828862842
8,33.0,49.93114796525093
8,35.0,47.37255629480589
8,37.0,43.48476395470944
8,39.0,39.27621927023536
8,41.0,35.07598400522956
8,43.0,31.01447790411066
8,45.0,26.971282710520633
9,25.0,37.209925871263515
9,27.0,43.11296883754623
9,29.0,47.69395017240312
9,31.0,50.22649662706296
9,33.0,50.101787999747
9,35.0,47.538363018502636
9,37.0,43.612631253241425
9,39.0,39.360183179061664
9,41.0,35.072936994570796
9,43.0,30.90742333462672
9,45.0,26.807083277698
10,25.0,37.25214922338406
10,27.0,43.1940236004454
10,29.0,47.72333093356532
10,31.0,50.22130628466522
10,33.0,50.12797769169128
10,35.0,47.563770905893215
10,37.0,43.57006079801703
10,39.0,39.22136611316522
10,41.0,34.82989083909524
10,43.0,30.561683003658512
10,45.0,26.42288696896686
11,25.0,37.32270740342778
11,27.0,43.255214299404955
11,29.0,47.65246296617866
11,31.0,50.06038525528524
11,33.0,49.98067717036536
11,35.0,47.47957294005389
11,37.0,43.40319692728439
11,39.0,38.869286389009005
11,41.0,34.31493383736565
11,43.0,30.021529986047597
11,45.0,25.936744553808385
12,25.0,37.22557272394426
12,27.0,43.044915754794346
12,29.0,47.296621508973445
12,31.0,49.713118425868835
12,33.0,49.7233797062813
12,35.0,47.2930724552353
12,37.0,43.24708933067573
12,39.0,38.708418645445576
12,41.0,34.06038103464582
12,43.0,29.651425365156204
12,45.0,25.55540083527473
13,25.0,36.921310773118535
13,27.0,42.65188329640171
13,29.0,46.854825567160454
13,31.0,49.301109950876445
13,33.0,49.34569398466817
13,35.0,46.963147496092105
13,37.0,43.03599962644395
13,39.0,38.476499714819504
13,41.0,33.73674350308309
13,43.0,29.302448097600447
13,45.0,25.208527575175722
14,25.0,36.48013971993066
