day,detector_score,half_width,detector_scope
0,,5,full_day0_70
1,,5,full_day0_70
2,,5,full_day0_70
3,,5,full_day0_70
4,,5,full_day0_70
5,0.8886470150870848,5,full_day0_70
6,0.7846958211664108,5,full_day0_70
7,0.7484838446546399,5,full_day0_70
8,0.8143874958730281,5,full_day0_70
9,0.9735609252841363,5,full_day0_70
10,1.1053908549380775,5,full_day0_70
11,1.3063644174305022,5,full_day0_70
12,1.5920866684751545,5,full_day0_70
13,1.943328444767168,5,full_day0_70
14,2.313498784315046,5,full_day0_70
15,2.681100196531993,5,full_day0_70
16,2.9758457826859575,5,full_day0_70
17,3.1369778652474736,5,full_day0_70
18,3.158206351220613,5,full_day0_70
19,3.0437350328243102,5,full_day0_70
20,2.7778426421155404,5,full_day0_70
21,2.4625495810339832,5,full_day0_70
22,2.256030264437069,5,full_day0_70
23,2.266831808596243,5,full_day0_70
24,2.461649477144156,5,full_day0_70
25,2.754125533844754,5,full_day0_70
26,3.044740779599057,5,full_day0_70
27,3.265437251808807,5,full_day0_70
28,3.369377823573273,5,full_day0_70
29,3.3708842579243115,5,full_day0_70
30,3.326301290129298,5,full_day0_70
31,3.2605164076190243,5,full_day0_70
32,3.182510403798597,5,full_day0_70
33,3.101638965820215,5,full_day0_70
34,3.0005553982607513,5,full_day0_70
35,2.8199862772845035,5,full_day0_70
36,2.555363463320524,5,full_day0_70
37,2.243898007512136,5,full_day0_70
38,1.956307287232935,5,full_day0_70
39,1.7318996596909835,5,full_day0_70
40,1.609153240966103,5,full_day0_70
41,1.6352919987847176,5,full_day0_70
42,1.772221315735525,5,full_day0_70
43,1.9185953658007548,5,full_day0_70
44,2.026210671466568,5,full_day0_70
45,2.0428691323930868,5,full_day0_70
46,1.959500562854418,5,full_day0_70
47,1.8311647922238181,5,full_day0_70
48,1.7218465476453622,5,full_day0_70
49,1.6715827841561288,5,full_day0_70
50,1.7013412864700386,5,full_day0_70
51,1.756366808826432,5,full_day0_70
52,1.7667945429719358,5,full_day0_70
53,1.73642423529703,5,full_day0_70
54,1.684197656718939,5,full_day0_70
55,1.6370950029085787,5,full_day0_70
56,1.6105681266531016,5,full_day0_70
57,1.5915887809054052,5,full_day0_70
58,1.568428336981663,5,full_day0_70
