object,day,profile_valid,profile_mean,profile_spatial_std,profile_amplitude,axis_lat,centroid_lat,spread_lat,NS_contrast,raw_profile_daily_speed
P,0,False,,,,,,,,
P,1,False,,,,,,,,
P,2,False,,,,,,,,
P,3,False,,,,,,,,
P,4,True,2.989699981045112,1.9147128785206933,5.392243451625903,27.0,26.492622017201686,5.510787168829174,0.1560506840876137,
P,5,True,3.0264157062886,2.0285031578126156,5.67431538591587,27.0,26.579243244086936,5.405309455975657,0.2722082595099238,0.13643360947888955
P,6,True,3.082119582663924,2.050820532923681,5.706511573983372,27.0,26.74748776974002,5.421287163904629,0.4258243450265824,0.10098416678876325
P,7,True,3.140421034877642,2.10172594006649,5.769299537113319,27.0,26.784485753750705,5.4367764371209875,0.4571379809164622,0.08600404507686508
P,8,True,3.183983527668455,2.16581907810877,5.942477141689771,27.0,26.672526417423104,5.39749370013784,0.3617672706645152,0.10652598936684503
P,9,True,3.1484420021391926,2.1324507700234583,5.906387458700101,27.0,26.54096648747298,5.407916945266201,0.26718790150795435,0.09611216102594441
P,10,True,3.120789381860309,2.0653193916465775,5.672070921770121,27.0,26.524998328559132,5.48348932250963,0.26180378239868096,0.09661775983552769
P,11,True,3.1405788924878855,2.038100543386114,5.558533705118461,27.0,26.512247259175954,5.52653060887365,0.26941188384745995,0.06803550082519867
P,12,True,3.1689420711279137,2.0595302126696815,5.632887916059105,27.0,26.44315528388315,5.529146442676592,0.2016770669947645,0.06815448054519335
P,13,True,3.21237134916543,2.0735601041856238,5.784868651071604,27.0,26.404864137306983,5.528351817067865,0.19402314845724167,0.06386371778020597
P,14,True,3.298145224834614,2.0673490356534208,5.729979737672369,27.0,26.411049503117614,5.57459052136414,0.10557649426801508,0.1313290086877203
P,15,True,3.333552603572702,2.0750817624180073,5.680097513150883,27.0,26.345932810306433,5.576292904608064,0.014499465454044902,0.06790517688985181
P,16,True,3.358874155944219,2.0671150770108877,5.8606716039721825,25.0,26.332363754253585,5.580349148820573,-0.04316088508622906,0.08062977041446605
P,17,True,3.3863656827935382,2.036050955550864,5.810625237056603,25.0,26.395734059803264,5.618797470977444,-0.017647870914641484,0.06899261620402625
P,18,True,3.487294196155147,2.104332106805886,6.0507093960111265,25.0,26.497098042732134,5.612302202365777,0.07017894646751488,0.14445187855498706
P,19,True,3.62439598211983,2.2343790265014807,6.302206257170537,25.0,26.587419123089532,5.572844450771913,0.16600509896638638,0.19694555804824257
P,20,True,3.7137020661172713,2.3111978982240933,6.5295284254960455,25.0,26.659257462547348,5.545703030082943,0.19228729216317886,0.14035149507262432
P,21,True,3.6773014887183266,2.261542206751999,6.497874920354751,25.0,26.592714620657294,5.567151823911817,0.07209263460606419,0.09932123745798839
P,22,True,3.650852029747931,2.1686925680593223,6.343311705935967,25.0,26.496291245015318,5.64683601161628,-0.08895686848387907,0.14402051116896245
P,23,True,3.6336776321075077,2.080417034455845,6.059932949680724,25.0,26.389878229277677,5.718224385814127,-0.14313805032545224,0.13490095081035697
P,24,True,3.6007688281888126,2.0225342573288967,5.935779459609833,25.0,26.21274171745984,5.73633414687389,-0.29788720086088727,0.11879730410084016
P,25,True,3.5792345274338864,1.9790185694539086,5.757440835632686,25.0,26.169534092578424,5.760248044846813,-0.299080503578105,0.08567155000536715
P,26,True,3.6571691198749834,2.021041697738222,5.770548631563145,25.0,26.13844301270404,5.752243091239699,-0.29870732003621336,0.11070491540145828
P,27,True,3.746646550173546,2.041878306816702,5.829428455252195,25.0,26.121101120430534,5.76801240604272,-0.36101179423947993,0.11015952827568053
P,28,True,3.809995680223043,1.9959743292080996,5.905220715255749,25.0,26.057544717595007,5.797456666871916,-0.500570522459824,0.1483709016616601
P,29,True,3.8852616231416386,2.0039751419274476,5.909546691320091,25.0,25.99185908681169,5.804074983118321,-0.5938784640121266,0.11226059581942917
P,30,True,4.030754254702022,2.0237432004666425,5.825490430992671,25.0,26.171504827604664,5.855394274041155,-0.37858908875423936,0.19588610128572045
P,31,True,4.113503463779671,2.0661405947767855,6.009293923583668,25.0,26.24853171830948,5.8564368210114175,-0.30356131739905035,0.11953247809385142
P,32,True,4.135415085097522,2.139195025319773,6.242339635778353,25.0,26.1910766881165,5.809119625757322,-0.3695517572489102,0.10150712821549579
P,33,True,4.203290639331015,2.199732085203228,6.344281489368327,25.0,26.213653445158208,5.810085792445872,-0.3542701963643582,0.11183034673598787
P,34,True,4.332698617054328,2.2309413979604487,6.534645749606511,25.0,26.18239481620933,5.844139388248097,-0.46689337089052785,0.16350310054958617
P,35,True,4.39228872428182,2.1669460280466537,6.5748625998489,25.0,26.144800501864434,5.927925708732062,-0.5804817693540336,0.13564442661807266
P,36,True,4.457846694364236,2.067758160033378,6.355370503027183,25.0,26.151869415969514,6.039889670553508,-0.6180332137268909,0.13082715013670138
P,37,True,4.587794289786682,2.074030754099575,6.2874029660439295,25.0,26.128389491582496,6.095640491865628,-0.5899780803457295,0.1770512516661598
P,38,True,4.654111337380513,2.0646369131601707,6.2977084273373345,25.0,26.069905380546246,6.139570304850353,-0.5998936409695226,0.1258206904156391
P,39,True,4.740796541078645,2.070820258798873,6.496373809188847,25.0,25.900113818665787,6.15863543954645,-0.8094050963115773,0.1542091191981976
P,40,True,4.901020399575266,2.1216354712213006,6.680614915349791,25.0,25.722660112574836,6.164983400917162,-1.0249048642974925,0.22503672953848988
P,41,True,5.059171165689127,2.1045663550660536,6.768829111681535,25.0,25.568655887099514,6.2207823484278535,-1.308370601766378,0.22847484047623795
P,42,True,5.145444821608456,2.075235563428399,6.831494083529549,25.0,25.394031794528363,6.266195461752283,-1.6088029716856553,0.20221306165859027
P,43,True,5.182254534954916,2.071023700426303,6.661207552425672,25.0,25.200493797901608,6.276116227388562,-1.8362785079225317,0.1904171574139185
P,44,True,5.254297353029354,2.158312076094021,6.744177747859293,25.0,25.014965341652882,6.222674284613887,-2.1007195986588822,0.18039339513760497
P,45,True,5.362518536786005,2.299847189299584,7.020349744317956,25.0,24.781161616449033,6.120318917387995,-2.4977017603688756,0.2634309694632561
P,46,True,5.440169298809776,2.442427531717559,7.304418565994027,25.0,24.599504738359386,6.035570620545565,-2.8698236851115593,0.24955374605683703
P,47,True,5.5290217578313845,2.5623170061743177,7.523765010220345,25.0,24.462417203362858,5.9864277461610005,-3.188614485189954,0.21504795521719908
P,48,True,5.574374238016661,2.635058964287173,7.600525026069949,23.0,24.33031297837194,5.9640886427407915,-3.4752996683458144,0.17805594213600992
P,49,True,5.587132960682199,2.6144141616463568,7.708743542190224,23.0,24.25295178600373,6.015927993046881,-3.6633002637744854,0.17933289170287803
P,50,True,5.679831975923419,2.5923977744377935,7.713286002120894,23.0,24.287665475690037,6.0410020063048835,-3.5908714397372643,0.14988256108827905
