window_id,object_A,object_B,claim,final_structure_class,evidence_level,allowed_statement,forbidden_statement
W045,H,Je,H-Je: co_transition_with_B_curve_tendency,co_transition_with_B_curve_tendency,Level2_curve_tendency_only,Use as profile-based timing structure with 2D mirror context; do not infer causality.,Do not write as causal/pathway result or full 2D field timing unless 2D mirror supports it.
W045,H,Jw,H-Jw: co_transition_with_A_curve_tendency,co_transition_with_A_curve_tendency,Level2_curve_tendency_only,Use as profile-based timing structure with 2D mirror context; do not infer causality.,Do not write as causal/pathway result or full 2D field timing unless 2D mirror supports it.
W045,H,P,H-P: co_transition_with_A_curve_tendency,co_transition_with_A_curve_tendency,Level2_curve_tendency_only,Use as profile-based timing structure with 2D mirror context; do not infer causality.,Do not write as causal/pathway result or full 2D field timing unless 2D mirror supports it.
W045,H,V,H-V: co_transition_with_A_curve_tendency,co_transition_with_A_curve_tendency,Level2_curve_tendency_only,Use as profile-based timing structure with 2D mirror context; do not infer causality.,Do not write as causal/pathway result or full 2D field timing unless 2D mirror supports it.
W045,Je,Jw,Je-Jw: co_transition_with_A_curve_tendency,co_transition_with_A_curve_tendency,Level2_curve_tendency_only,Use as profile-based timing structure with 2D mirror context; do not infer causality.,Do not write as causal/pathway result or full 2D field timing unless 2D mirror supports it.
W045,Je,P,Je-P: co_transition_with_A_curve_tendency,co_transition_with_A_curve_tendency,Level2_curve_tendency_only,Use as profile-based timing structure with 2D mirror context; do not infer causality.,Do not write as causal/pathway result or full 2D field timing unless 2D mirror supports it.
W045,Je,V,Je-V: co_transition_with_A_curve_tendency,co_transition_with_A_curve_tendency,Level2_curve_tendency_only,Use as profile-based timing structure with 2D mirror context; do not infer causality.,Do not write as causal/pathway result or full 2D field timing unless 2D mirror supports it.
W045,Jw,P,Jw-P: co_transition_with_B_curve_tendency,co_transition_with_B_curve_tendency,Level2_curve_tendency_only,Use as profile-based timing structure with 2D mirror context; do not infer causality.,Do not write as causal/pathway result or full 2D field timing unless 2D mirror supports it.
W045,Jw,V,Jw-V: co_transition_with_A_curve_tendency,co_transition_with_A_curve_tendency,Level2_curve_tendency_only,Use as profile-based timing structure with 2D mirror context; do not infer causality.,Do not write as causal/pathway result or full 2D field timing unless 2D mirror supports it.
W045,P,V,P-V: co_transition_with_A_curve_tendency,co_transition_with_A_curve_tendency,Level2_curve_tendency_only,Use as profile-based timing structure with 2D mirror context; do not infer causality.,Do not write as causal/pathway result or full 2D field timing unless 2D mirror supports it.
