window_id,object_A,object_B,claim_type,gate_pass,evidence_level,required_evidence,available_evidence
W113,H,Je,co_transition,True,Level3_window_overlap,hardened family gate + co-transition veto,"{""window_id"": ""W113"", ""object_A"": ""H"", ""object_B"": ""Je"", ""raw_profile_window_family"": ""unresolved"", ""state_distance_family"": ""A_tendency"", ""state_pattern_family"": ""A_tendency"", ""growth_distance_family"": ""B_tendency"", ""growth_pattern_family"": ""B_tendency"", ""profile_2d_mirror_family"": ""B_supported"", ""selected_window_overlap_fraction"": 0.8888888888888888, ""co_transition_veto"": true}"
W113,H,Jw,branch_or_layer_split,False,downgraded_split,hardened family gate + co-transition veto,"{""window_id"": ""W113"", ""object_A"": ""H"", ""object_B"": ""Jw"", ""raw_profile_window_family"": ""B_tendency"", ""state_distance_family"": ""A_tendency"", ""state_pattern_family"": ""unresolved"", ""growth_distance_family"": ""B_supported"", ""growth_pattern_family"": ""B_tendency"", ""profile_2d_mirror_family"": ""A_supported"", ""selected_window_overlap_fraction"": 0.6470588235294118, ""co_transition_veto"": false}"
W113,H,P,co_transition_with_A_curve_tendency,True,Level2_curve_tendency_only,hardened family gate + co-transition veto,"{""window_id"": ""W113"", ""object_A"": ""H"", ""object_B"": ""P"", ""raw_profile_window_family"": ""unresolved"", ""state_distance_family"": ""A_tendency"", ""state_pattern_family"": ""A_tendency"", ""growth_distance_family"": ""A_tendency"", ""growth_pattern_family"": ""B_supported"", ""profile_2d_mirror_family"": ""A_supported"", ""selected_window_overlap_fraction"": 1.0, ""co_transition_veto"": true}"
W113,H,V,A_layer_specific_front_or_lead_candidate,True,Level4_window_or_curve_supported,hardened family gate + co-transition veto,"{""window_id"": ""W113"", ""object_A"": ""H"", ""object_B"": ""V"", ""raw_profile_window_family"": ""unresolved"", ""state_distance_family"": ""A_supported"", ""state_pattern_family"": ""A_supported"", ""growth_distance_family"": ""A_supported"", ""growth_pattern_family"": ""A_tendency"", ""profile_2d_mirror_family"": ""A_supported"", ""selected_window_overlap_fraction"": 0.0, ""co_transition_veto"": false}"
W113,Je,Jw,co_transition_with_B_curve_tendency,True,Level2_curve_tendency_only,hardened family gate + co-transition veto,"{""window_id"": ""W113"", ""object_A"": ""Je"", ""object_B"": ""Jw"", ""raw_profile_window_family"": ""unresolved"", ""state_distance_family"": ""unresolved"", ""state_pattern_family"": ""B_tendency"", ""growth_distance_family"": ""B_tendency"", ""growth_pattern_family"": ""unresolved"", ""profile_2d_mirror_family"": ""A_supported"", ""selected_window_overlap_fraction"": 0.7647058823529411, ""co_transition_veto"": true}"
W113,Je,P,co_transition,True,Level3_window_overlap,hardened family gate + co-transition veto,"{""window_id"": ""W113"", ""object_A"": ""Je"", ""object_B"": ""P"", ""raw_profile_window_family"": ""unresolved"", ""state_distance_family"": ""unresolved"", ""state_pattern_family"": ""unresolved"", ""growth_distance_family"": ""A_supported"", ""growth_pattern_family"": ""B_tendency"", ""profile_2d_mirror_family"": ""A_supported"", ""selected_window_overlap_fraction"": 0.9411764705882353, ""co_transition_veto"": true}"
W113,Je,V,A_layer_specific_front_or_lead_candidate,True,Level4_window_or_curve_supported,hardened family gate + co-transition veto,"{""window_id"": ""W113"", ""object_A"": ""Je"", ""object_B"": ""V"", ""raw_profile_window_family"": ""A_tendency"", ""state_distance_family"": ""A_supported"", ""state_pattern_family"": ""A_supported"", ""growth_distance_family"": ""A_supported"", ""growth_pattern_family"": ""A_tendency"", ""profile_2d_mirror_family"": ""A_supported"", ""selected_window_overlap_fraction"": 0.0, ""co_transition_veto"": false}"
W113,Jw,P,co_transition_with_A_curve_tendency,True,Level2_curve_tendency_only,hardened family gate + co-transition veto,"{""window_id"": ""W113"", ""object_A"": ""Jw"", ""object_B"": ""P"", ""raw_profile_window_family"": ""unresolved"", ""state_distance_family"": ""unresolved"", ""state_pattern_family"": ""A_tendency"", ""growth_distance_family"": ""A_supported"", ""growth_pattern_family"": ""B_tendency"", ""profile_2d_mirror_family"": ""A_supported"", ""selected_window_overlap_fraction"": 0.6470588235294118, ""co_transition_veto"": true}"
W113,Jw,V,A_layer_specific_front_or_lead_candidate,True,Level4_window_or_curve_supported,hardened family gate + co-transition veto,"{""window_id"": ""W113"", ""object_A"": ""Jw"", ""object_B"": ""V"", ""raw_profile_window_family"": ""A_tendency"", ""state_distance_family"": ""A_supported"", ""state_pattern_family"": ""A_supported"", ""growth_distance_family"": ""A_supported"", ""growth_pattern_family"": ""A_supported"", ""profile_2d_mirror_family"": ""A_supported"", ""selected_window_overlap_fraction"": 0.4444444444444444, ""co_transition_veto"": false}"
W113,P,V,A_layer_specific_front_or_lead_candidate,True,Level4_window_or_curve_supported,hardened family gate + co-transition veto,"{""window_id"": ""W113"", ""object_A"": ""P"", ""object_B"": ""V"", ""raw_profile_window_family"": ""unresolved"", ""state_distance_family"": ""A_supported"", ""state_pattern_family"": ""A_supported"", ""growth_distance_family"": ""A_supported"", ""growth_pattern_family"": ""A_supported"", ""profile_2d_mirror_family"": ""A_supported"", ""selected_window_overlap_fraction"": 0.0, ""co_transition_veto"": false}"
