window_id,basis,object_A,object_B,baseline_config,metric_family,metric_name,median,q025,q975,P_positive,P_negative,decision
W113,2d_field,H,Je,C0_full_stage,2d_dist_core_growth_share,2d_dist_core_growth_share,0.0033544767934164665,-0.14708745280147242,0.1807393884898593,0.522,0.478,unresolved
W113,2d_field,H,Je,C0_full_stage,2d_dist_early_growth_share,2d_dist_early_growth_share,-0.11234521527459945,-0.2659686349078027,0.01378476554741637,0.046,0.954,B_direction_tendency
W113,2d_field,H,Je,C0_full_stage,2d_dist_growth_center,2d_dist_growth_center,-0.9396794901665828,-3.7865710594745954,1.689715178612079,0.245,0.755,unresolved
W113,2d_field,H,Je,C0_full_stage,2d_dist_late_growth_share,2d_dist_late_growth_share,0.12065656850678196,-0.01836443451144932,0.23997861902869366,0.952,0.048,A_direction_tendency
W113,2d_field,H,Je,C0_full_stage,2d_dist_state_compare,2d_dist_state_compare,-0.0003637895707472305,-0.053364305623289,0.04698374069570279,0.496,0.504,unresolved
W113,2d_field,H,Je,C0_full_stage,2d_dist_state_core,2d_dist_state_core,-0.06982392139027882,-0.165201861612635,0.053988946979674414,0.135,0.865,B_direction_tendency
W113,2d_field,H,Je,C0_full_stage,2d_dist_state_early,2d_dist_state_early,0.0018922766886063092,-0.07066055113391864,0.05969292152458774,0.528,0.472,unresolved
W113,2d_field,H,Je,C0_full_stage,2d_dist_state_late,2d_dist_state_late,0.04139781110692747,-0.04478076502965996,0.10434435515965758,0.825,0.175,A_direction_tendency
W113,2d_field,H,Je,C0_full_stage,2d_pattern_core_growth_share,2d_pattern_core_growth_share,-0.026573252191083946,-0.164464688476932,0.10352994085229619,0.36,0.64,unresolved
W113,2d_field,H,Je,C0_full_stage,2d_pattern_early_growth_share,2d_pattern_early_growth_share,-0.04487795362119094,-0.1769530821311158,0.10097716230905847,0.268,0.732,unresolved
W113,2d_field,H,Je,C0_full_stage,2d_pattern_growth_center,2d_pattern_growth_center,-4.849579593844588,-9.228910580006481,-1.2528942737518762,0.002,0.998,B_direction_supported
W113,2d_field,H,Je,C0_full_stage,2d_pattern_late_growth_share,2d_pattern_late_growth_share,0.021827539651135597,-0.1235018935340982,0.1789997022689926,0.609,0.391,unresolved
W113,2d_field,H,Je,C0_full_stage,2d_pattern_state_compare,2d_pattern_state_compare,0.03509311409065724,-0.09013770310243673,0.1729499532372117,0.682,0.318,unresolved
W113,2d_field,H,Je,C0_full_stage,2d_pattern_state_core,2d_pattern_state_core,-0.0017039615709890654,-0.2267856635142704,0.22905602519890653,0.492,0.508,unresolved
W113,2d_field,H,Je,C0_full_stage,2d_pattern_state_early,2d_pattern_state_early,-0.02687498474685808,-0.10131644252610038,0.06332468569045362,0.278,0.722,unresolved
W113,2d_field,H,Je,C0_full_stage,2d_pattern_state_late,2d_pattern_state_late,0.11325485707340138,-0.13372476548451118,0.3825738307480429,0.8,0.2,A_direction_tendency
W113,2d_field,H,Je,C1_buffered_stage,2d_dist_core_growth_share,2d_dist_core_growth_share,-0.004880911838004598,-0.15911938766028424,0.18423256069071087,0.477,0.523,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_dist_early_growth_share,2d_dist_early_growth_share,-0.09023109781935729,-0.21049008394337285,0.027199315427644255,0.073,0.927,B_direction_tendency
W113,2d_field,H,Je,C1_buffered_stage,2d_dist_growth_center,2d_dist_growth_center,-0.9460660857943779,-3.4989516897055246,1.281938977657276,0.217,0.783,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_dist_late_growth_share,2d_dist_late_growth_share,0.1107326392758699,-0.02528663655395015,0.2365531186353695,0.936,0.064,A_direction_tendency
W113,2d_field,H,Je,C1_buffered_stage,2d_dist_state_compare,2d_dist_state_compare,-0.013209646197269942,-0.07302308758693941,0.04325125527316985,0.348,0.652,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_dist_state_core,2d_dist_state_core,-0.07343105063069028,-0.17436695203140243,0.055843179456468967,0.113,0.887,B_direction_tendency
W113,2d_field,H,Je,C1_buffered_stage,2d_dist_state_early,2d_dist_state_early,-0.010273007560858596,-0.09031749649216649,0.05248535491061259,0.385,0.615,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_dist_state_late,2d_dist_state_late,0.026947683089677932,-0.07117517411945833,0.09631764016794037,0.712,0.288,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_pattern_core_growth_share,2d_pattern_core_growth_share,-0.025637817335552454,-0.16554494419096705,0.1038074714716032,0.36,0.64,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_pattern_early_growth_share,2d_pattern_early_growth_share,-0.04598814216777253,-0.17736471908963666,0.0999641258464096,0.257,0.743,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_pattern_growth_center,2d_pattern_growth_center,-4.950388736966893,-9.280670846568944,-1.4322449188537476,0.002,0.998,B_direction_supported
W113,2d_field,H,Je,C1_buffered_stage,2d_pattern_late_growth_share,2d_pattern_late_growth_share,0.0272156127054895,-0.12127597193483797,0.1888379715188625,0.634,0.366,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_pattern_state_compare,2d_pattern_state_compare,0.01634952986565491,-0.13365926799508263,0.17388591407103954,0.589,0.411,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_pattern_state_core,2d_pattern_state_core,-0.01642205987664802,-0.2656519813364099,0.22449123904120194,0.445,0.555,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_pattern_state_early,2d_pattern_state_early,-0.02969054039013641,-0.13013339843197774,0.09124916118961104,0.302,0.698,unresolved
W113,2d_field,H,Je,C1_buffered_stage,2d_pattern_state_late,2d_pattern_state_late,0.08299348472691992,-0.19973646173207013,0.36885783769270564,0.704,0.296,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_dist_core_growth_share,2d_dist_core_growth_share,-0.004880911838004598,-0.15911938766028424,0.18423256069071087,0.477,0.523,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_dist_early_growth_share,2d_dist_early_growth_share,-0.09023109781935729,-0.21049008394337285,0.027199315427644255,0.073,0.927,B_direction_tendency
W113,2d_field,H,Je,C2_immediate_pre,2d_dist_growth_center,2d_dist_growth_center,-0.9460660857943779,-3.4989516897055246,1.281938977657276,0.217,0.783,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_dist_late_growth_share,2d_dist_late_growth_share,0.1107326392758699,-0.02528663655395015,0.2365531186353695,0.936,0.064,A_direction_tendency
W113,2d_field,H,Je,C2_immediate_pre,2d_dist_state_compare,2d_dist_state_compare,-0.013209646197269942,-0.07302308758693941,0.04325125527316985,0.348,0.652,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_dist_state_core,2d_dist_state_core,-0.07343105063069028,-0.17436695203140243,0.055843179456468967,0.113,0.887,B_direction_tendency
W113,2d_field,H,Je,C2_immediate_pre,2d_dist_state_early,2d_dist_state_early,-0.010273007560858596,-0.09031749649216649,0.05248535491061259,0.385,0.615,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_dist_state_late,2d_dist_state_late,0.026947683089677932,-0.07117517411945833,0.09631764016794037,0.712,0.288,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_pattern_core_growth_share,2d_pattern_core_growth_share,-0.025637817335552454,-0.16554494419096705,0.1038074714716032,0.36,0.64,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_pattern_early_growth_share,2d_pattern_early_growth_share,-0.04598814216777253,-0.17736471908963666,0.0999641258464096,0.257,0.743,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_pattern_growth_center,2d_pattern_growth_center,-4.950388736966893,-9.280670846568944,-1.4322449188537476,0.002,0.998,B_direction_supported
