window_id,object_A,object_B,baseline,branch,metric,delta_observed,delta_definition,A_growth_pulse_structure,B_growth_pulse_structure,delta_median,delta_q025,delta_q975,P_A_larger_or_earlier,P_B_larger_or_earlier,growth_process_decision
W045,P,V,C0_full_stage,dist,early_positive_area,0.060592376391251146,A_area - B_area; positive means A larger,core_dominant,core_dominant,0.04444512739992708,-0.1199258223741205,0.20796621449440492,0.703,0.297,unresolved
W045,P,V,C0_full_stage,dist,core_positive_area,0.11869312599739984,A_area - B_area; positive means A larger,core_dominant,core_dominant,0.09204558141632754,-0.04845933026552503,0.23195143846475821,0.911,0.089,A_direction_tendency
W045,P,V,C0_full_stage,dist,late_positive_area,-0.02359077328346071,A_area - B_area; positive means A larger,core_dominant,core_dominant,-0.04557110902401984,-0.21403558263270686,0.11556245881109088,0.308,0.692,unresolved
W045,P,V,C0_full_stage,dist,pre_anchor_positive_area,0.17928550238865093,A_area - B_area; positive means A larger,core_dominant,core_dominant,0.1451572123132527,-0.05546050642326059,0.30891321754838447,0.914,0.086,A_direction_tendency
W045,P,V,C0_full_stage,dist,post_anchor_positive_area,-0.02359077328346071,A_area - B_area; positive means A larger,core_dominant,core_dominant,-0.04557110902401984,-0.21403558263270686,0.11556245881109088,0.308,0.692,unresolved
W045,P,V,C0_full_stage,dist,growth_center_positive,-1.0432354716419567,B_center - A_center; positive means A earlier,core_dominant,core_dominant,-1.0948803684686652,-4.422057735446798,1.96468049980472,0.249,0.751,unresolved
W045,P,H,C0_full_stage,dist,early_positive_area,-0.1399290278179969,A_area - B_area; positive means A larger,core_dominant,multi_pulse_candidate,-0.13685736263899945,-0.350947706035196,0.09021255775936095,0.14,0.86,B_direction_tendency
W045,P,H,C0_full_stage,dist,core_positive_area,0.30317699014585164,A_area - B_area; positive means A larger,core_dominant,multi_pulse_candidate,0.25793424886617733,0.07568231631813867,0.4023038504085461,0.994,0.006,A_direction_supported
W045,P,H,C0_full_stage,dist,late_positive_area,0.031587444558944466,A_area - B_area; positive means A larger,core_dominant,multi_pulse_candidate,0.008487391407205724,-0.15042448101610198,0.23486049661551023,0.536,0.464,unresolved
W045,P,H,C0_full_stage,dist,pre_anchor_positive_area,0.1632479623278547,A_area - B_area; positive means A larger,core_dominant,multi_pulse_candidate,0.12675726722114627,-0.13378355068997094,0.3657443950248851,0.804,0.196,A_direction_tendency
W045,P,H,C0_full_stage,dist,post_anchor_positive_area,0.031587444558944466,A_area - B_area; positive means A larger,core_dominant,multi_pulse_candidate,0.008487391407205724,-0.15042448101610198,0.23486049661551023,0.536,0.464,unresolved
W045,P,H,C0_full_stage,dist,growth_center_positive,-3.0522573904062114,B_center - A_center; positive means A earlier,core_dominant,multi_pulse_candidate,-2.9950004388268567,-6.067352290966397,-0.11715262099222695,0.022,0.978,B_direction_supported
W045,P,Je,C0_full_stage,dist,early_positive_area,-0.04614132396572171,A_area - B_area; positive means A larger,core_dominant,early_dominant,-0.03926664981299241,-0.22316522035422853,0.167086449539681,0.347,0.653,unresolved
W045,P,Je,C0_full_stage,dist,core_positive_area,0.2452667807969835,A_area - B_area; positive means A larger,core_dominant,early_dominant,0.2166182044476303,0.06532777824769555,0.34355719669382023,0.996,0.004,A_direction_supported
W045,P,Je,C0_full_stage,dist,late_positive_area,0.037402000166120386,A_area - B_area; positive means A larger,core_dominant,early_dominant,0.02761135315436314,-0.11870489279059061,0.217245708118298,0.622,0.378,unresolved
W045,P,Je,C0_full_stage,dist,pre_anchor_positive_area,0.19912545683126176,A_area - B_area; positive means A larger,core_dominant,early_dominant,0.17706667944441729,-0.06149683483771506,0.3895260423194116,0.936,0.064,A_direction_tendency
