window_id,anchor_day,source_field,target_field,edge_type,prob_source_before_target,median_lag,order_confidence_label,boundary_censoring_flag,caution
W002,45,H,P,timing_order_not_causal,0.885,9.0,robust_censored_order,early:observed_left_edge;modal_left_edge,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W002,45,P,Je,timing_order_not_causal,0.729,2.0,moderate_order,none,candidate_relative_order_use_with_caution
W002,45,H,V,timing_order_not_causal,0.922,10.0,robust_censored_order,early:observed_left_edge;modal_left_edge,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W002,45,H,Je,timing_order_not_causal,0.899,10.0,robust_censored_order,early:observed_left_edge;modal_left_edge,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W002,45,H,Jw,timing_order_not_causal,0.916,6.0,robust_censored_order,early:observed_left_edge;modal_left_edge,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W002,45,Jw,Je,timing_order_not_causal,0.704,4.0,moderate_order,none,candidate_relative_order_use_with_caution
W003,81,V,P,timing_order_not_causal,0.772,2.0,moderate_order,early:modal_left_edge,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W003,81,H,P,timing_order_not_causal,0.729,3.0,moderate_order,none,candidate_relative_order_use_with_caution
W003,81,V,Je,timing_order_not_causal,0.788,8.0,moderate_order,early:modal_left_edge;late:observed_right_edge;modal_right_edge,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W003,81,V,Jw,timing_order_not_causal,0.738,3.0,moderate_order,early:modal_left_edge,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W005,113,P,H,timing_order_not_causal,0.742,3.0,moderate_order,early:modal_left_edge,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W005,113,Jw,P,timing_order_not_causal,0.713,4.0,moderate_order,early:modal_left_edge;late:modal_left_edge,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W005,113,Je,V,timing_order_not_causal,0.802,4.0,moderate_order,none,candidate_relative_order_use_with_caution
W005,113,Jw,V,timing_order_not_causal,0.953,8.0,robust_censored_order,early:modal_left_edge,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W005,113,Je,H,timing_order_not_causal,0.92,4.0,robust_order,none,relative_order_supported_not_causal
W005,113,Jw,H,timing_order_not_causal,0.966,9.0,robust_censored_order,early:modal_left_edge,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W005,113,Jw,Je,timing_order_not_causal,0.799,4.0,moderate_order,early:modal_left_edge,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W007,160,P,V,timing_order_not_causal,0.788,3.0,moderate_order,none,candidate_relative_order_use_with_caution
W007,160,P,Je,timing_order_not_causal,0.854,4.0,robust_order,none,relative_order_supported_not_causal
W007,160,H,V,timing_order_not_causal,0.768,7.0,moderate_order,none,candidate_relative_order_use_with_caution
W007,160,H,Je,timing_order_not_causal,0.793,6.0,moderate_order,none,candidate_relative_order_use_with_caution
